"layer","category","subcategory"
"cw_conquimica","ecological","pollution"
"cw_conpatogenos","ecological","pollution"
"cw_connutrientesmar","ecological","pollution"
"cw_conbasura","ecological","pollution"
"cw_conindustrial","ecological","pollution"
"sp_invasoras","ecological","alien_species"
"des_habitat_marino","ecological","habitat_destruction"
"des_habitat_costero","ecological","habitat_destruction"
"traf_maritimo","ecological","habitat_destruction"
"den_cencultivo","ecological","habitat_destruction"
"turismo_cost","ecological","habitat_destruction"
"pes_ilegal","ecological","fishing_pressure"
"inst_artesdepesca","ecological","fishing_pressure"
"cc_anomaliast","ecological","climate_change"
"cc_sataragonita","ecological","climate_change"
"cc_cotaind","ecological","climate_change"
"pres_n_proyexplora","social","social"
"pres_n_opa","social","social"
"pres_n_ocomunitarias","social","social"
"pres_n_fipa","social","social"
"pres_n_explora","social","social"
"pres_s_muniverde","social","social"
"pres_lim_playas","social","social"
"pres_in_municipales","social","social"
"pres_scam","social","social"
"pres_com_ccee","social","social"
"pres_com_prd","social","social"
"pres_con_eerr","social","social"
"pres_est_rrrdd","social","social"
