"goal","element","element_name","cw_conquimica","cw_conpatogenos","cw_connutrientesmar","cw_conbasura","cw_conindustrial","sp_invasoras","des_habitat_marino","des_habitat_costero","traf_maritimo","den_cencultivo","turismo_cost","pes_ilegal","inst_artesdepesca","cc_anomaliast","cc_sataragonita","cc_cotaind","pres_n_proyexplora","pres_n_opa","pres_n_ocomunitarias","pres_n_fipa","pres_n_explora","pres_s_muniverde","pres_lim_playas","pres_in_municipales","pres_scam","pres_com_ccee","pres_com_prd","pres_con_eerr","pres_est_rrrdd"
"AO",,,2,1,1,,3,1,2,1,1,2,,3,2,1,1,,1,2,1,2,1,,,1,2,,1,,2
"CP","Macrocystis",,1,,2,1,3,,1,,,1,,3,2,1,1,,,2,1,2,1,,,,1,,,,
"CP","Marismas y humedales",,2,,2,1,3,,,3,,,1,,,2,,3,,,2,,1,,,2,2,,,,2
"CP","Playas y dunas",,,,,,,,,3,,,2,,,,,3,,2,1,,1,,,1,2,,,,
"CP","Bosques y matorrales",,,,,,3,,,3,,,2,,,,,3,,,1,,1,,,1,1,,2,,2
"CS","Seagrass",,1,1,1,1,3,,1,2,1,,1,1,1,2,1,1,1,,1,,1,1,1,,1,,,,
"CS","Tidal flats",,2,1,2,2,3,,2,2,1,,1,,,2,1,3,1,,2,,2,1,1,2,2,,2,1,1
"CS","Kelp forest",,1,,1,,3,,3,,,1,,3,1,1,1,,1,2,1,2,2,1,1,,1,,,,
"CW",,,3,3,3,3,3,,2,3,2,2,1,,,2,2,,1,1,2,,1,2,2,2,2,1,1,1,2
"ECO","Acuicultura",,2,1,1,1,3,,2,,,2,,1,,2,2,,,,,2,1,,,,1,,,,1
"ECO","Alojamiento",,,,,,,,2,,,1,,,,1,1,,,,,,,,,,,,1,,
"ECO","Pesca",,1,1,,,2,,1,,1,1,,3,3,2,2,,,2,,2,1,,,1,1,,1,,1
"ECO","Transporte",,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,1
"ECO","Turismo",,,1,,2,1,,1,1,,1,1,,,,,1,,,2,,,1,1,1,2,1,1,1,2
"LIV","Acuicultura",,2,1,1,1,3,,2,,,2,,1,,2,2,,,,,2,1,,,,1,,,,1
"LIV","Alojamiento",,,,,,,,2,,,1,,,,1,1,,,,,,,,,,,,1,,
"LIV","Pesca",,1,1,,,2,,1,,1,1,,3,3,1,2,,,2,,2,1,,,1,1,,1,,1
"LIV","Transporte",,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,1
"LIV","Turismo",,,1,,2,1,,1,1,,1,1,,,,,1,,,2,,,1,1,1,2,1,1,1,2
"ICO",,,2,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,2,,1,1,1
"LSP","inland",,1,1,1,2,3,,,2,,,3,,,,,2,1,,1,,1,1,2,2,2,,2,1,2
"LSP","offshore",,2,,1,1,2,1,2,1,1,2,1,1,1,,,2,,1,1,1,1,1,1,1,1,,,,1
"FIS",,,2,1,1,1,3,1,2,1,,2,1,3,2,2,2,,,2,1,2,1,,,1,1,,1,,1
"MAR",,,2,1,2,1,3,1,3,1,,2,,1,,2,2,,,1,,2,1,,,,1,,,,2
"NP","Aceite",,,,,1,2,1,,,1,,,2,3,2,2,,,2,,2,1,,,,,,,,2
"NP","Harina",,,,,1,2,1,,,1,,,2,3,2,2,,,2,,2,1,,,,,,,,2
"NP","Algas",,1,,1,1,3,,1,2,,1,,2,2,2,1,1,,1,1,2,2,1,1,,1,,1,,1
"TR",,,1,2,1,3,3,,,3,1,1,2,,,1,,1,1,,1,,1,1,1,2,2,1,2,1,2
"SPP",,,2,1,2,2,3,1,1,3,2,1,2,1,1,1,1,1,2,,1,,2,2,2,1,1,,1,1,1
"HAB","Algas",,2,,1,2,3,1,1,,1,1,,3,2,1,1,1,1,2,1,2,1,1,,,1,,,,1
"HAB","Bentonico",,2,,2,1,3,1,2,1,1,2,1,3,2,2,2,1,1,2,1,2,2,1,,,1,,,,1
"HAB","Pastos",,2,,1,1,3,,2,,1,1,,,,2,2,1,1,,1,,2,1,,,1,,,,1
"HAB","Marismas y Humedales",,2,1,2,2,3,,,3,,,1,,,2,1,3,1,,2,,2,2,2,2,1,1,1,1,1
"HAB","Playas y Dunas",,,,,2,2,,,3,,,2,,,,,3,1,1,1,,1,1,3,1,1,,,,1
"HAB","Bosques y Matorrales",,1,,,1,1,,,3,,,1,,,,,3,1,,1,,1,1,2,1,1,2,2,2,1
