"layer","category","category_type","subcategory","weight"
"species_diversity","ecological","ecoystem","ecological",1
"state_fisheries","ecological","regulatory","fishing_pressure",1
"area_ramsar","ecological","regulatory","habitat_destruction",1
"z_bordecostero","ecological","regulatory","habitat_destruction",1
"por_sp_pm","ecological","regulatory","fishing_pressure",1
"areas_mp","ecological","regulatory","habitat_destruction",1
"cum_n_tratamiento","ecological","regulatory","pollution",1
"fsc_acuicultura","ecological","regulatory","fishing_pressure",1
"fsc_pesca","ecological","regulatory","fishing_pressure",1
"fsc_amerb","ecological","regulatory","habitat_destruction",1
"prc","ecological","regulatory","habitat_destruction",1
"prot","ecological","regulatory","habitat_destruction",1
"n_explora","social","social","social",1
"n_opa","social","social","social",1
"n_ocomunitarias","social","social","social",1
"n_fipa","social","social","social",1
"n_anid","social","social","social",1
"s_muniverde","social","social","climate_change",1
"lim_playas","social","social","social",1
"in_municipales","social","social","social",1
"scam","social","social","social",1
"com_ccee","social","social","climate_change",1
"com_prd","social","social","social",1
"con_eerr","social","social","climate_change",1
"est_rrdd","social","social","social",1
