"goal","element","element_name","species_diversity","state_fisheries","area_ramsar","z_bordecostero","por_sp_pm","areas_mp","cum_n_tratamiento","fsc_acuicultura","fsc_pesca","fsc_amerb","pcr","prot","n_proyexplora","n_opa","n_ocomunitarias","n_fipa","n_explora","s_muniverde","lim_playas","in_municipales","scam","com_ccee","com_prd","con_eerr","est_rrrdd"
"AO",,,"x","x",,"x","x","x","x",,"x","x",,"x","x","x","x","x","x",,,"x","x",,,,"x"
"CP","Macrocystis",,"x","x","x","x","x","x","x",,"x","x",,,,"x",,"x","x",,,,,,,,
"CP","Marismas y humedales",,"x",,"x","x",,"x","x",,,,"x","x",,,"x",,"x",,,"x","x",,,,"x"
"CP","Playas y dunas",,,,"x","x",,"x",,,,,"x",,,"x","x",,"x",,,,"x",,,,
"CP","Bosques y matorrales",,"x",,"x","x",,"x",,,,,"x","x",,,"x",,"x",,,"x","x",,"x",,"x"
"CS","Seagrass",,"x",,,"x",,"x",,,,,,,"x",,,,"x","x","x",,,,,,
"CS","Tidal flats",,"x",,"x","x",,"x","x",,,,"x","x","x",,"x",,"x","x","x","x","x",,"x",,"x"
"CS","Kelp forest",,"x","x","x","x","x","x","x",,"x","x",,,"x","x",,"x","x","x","x",,,,,,
"CW",,,"x",,"x","x",,"x","x","x",,,"x","x","x","x","x",,"x","x","x","x","x","x",,"x","x"
"ECO","Acuicultura",,"x",,,"x",,,"x","x",,,,"x",,,,"x","x",,,,,,,,"x"
"ECO","Alojamiento",,,,,,,,,,,,"x",,,,,,,,,,,,"x",,
"ECO","Pesca",,"x","x",,"x","x","x","x","x","x","x",,"x",,"x",,"x","x",,,"x",,,,,"x"
"ECO","Transporte",,,,,"x",,,,,,,,,,,,,,,,,,,,,"x"
"ECO","Turismo",,"x","x","x","x",,"x","x","x","x",,"x","x",,,"x",,,"x","x","x","x","x","x","x","x"
"LIV","Acuicultura",,"x",,,"x",,,"x","x",,,,"x",,,,"x","x",,,,,,,,"x"
"LIV","Alojamiento",,,,,,,,,,,,"x",,,,,,,,,,,,"x",,
"LIV","Pesca",,"x","x",,"x","x","x","x","x","x","x",,"x",,"x",,"x","x",,,"x",,,"x",,
"LIV","Transporte",,,,,"x",,,,,,,,,,,,,,,,,,,,,"x"
"LIV","Turismo",,"x","x","x","x",,"x","x","x","x",,"x","x",,,"x",,,"x","x","x","x","x","x","x","x"
"ICO",,,"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x",,"x",,"x",,,"x","x"
"LSP","inland",,"x",,"x","x",,"x","x",,,,"x","x","x",,"x",,"x","x","x","x","x",,"x","x","x"
"LSP","offshore",,"x",,,"x",,"x",,"x","x","x",,,"x","x","x","x","x",,"x",,,,,,"x"
"FIS",,,"x","x",,"x","x","x","x","x","x","x",,,,"x",,"x","x",,,,"x",,,,"x"
"MAR",,,"x",,,"x",,,"x","x",,,,,,,,"x","x",,,,"x",,,,"x"
"NP","Aceite",,"x","x",,,"x",,,,"x",,,,,"x",,"x",,,,,,,,,"x"
"NP","Harina",,"x","x",,,"x",,,,"x",,,,,"x",,"x",,,,,,,,,"x"
"NP","Algas",,"x","x",,"x",,"x","x","x","x","x",,,,"x",,"x","x","x","x",,,,,,"x"
"TR",,,"x","x","x","x","x","x","x","x","x",,"x","x","x",,"x",,"x","x","x","x","x","x","x","x","x"
"SPP",,,"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x",,,,"x"
"HAB","Algas",,"x","x",,"x","x","x",,"x","x","x",,,"x","x",,"x","x",,,,,,,,"x"
"HAB","Bentonico",,"x","x",,"x","x","x",,"x","x","x",,,"x","x",,"x","x",,,,,,,,"x"
"HAB","Pastos",,"x",,,"x",,"x",,,,,,,"x",,,,"x",,,,,,,,"x"
"HAB","Marismas y Humedales",,"x",,"x","x",,"x","x",,,,"x","x","x",,"x",,"x","x","x","x","x","x","x","x","x"
"HAB","Playas y Dunas",,"x",,"x","x",,"x",,,,,"x","x","x",,"x",,"x","x","x","x","x",,,,"x"
"HAB","Bosques y Matorrales",,"x",,"x","x",,"x","x",,,,"x","x","x",,"x",,"x","x","x","x","x","x","x","x","x"
