"targets","layer","filename","fld_value","units","name","description","layer_gl","path_in","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","year_min","year_max","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique","data_na"
"CS","cs_habitat_extent","cs_habitat_extent_chl2023.csv","m2","m^2","Extensión del los habitat que capturan carbono",,"","~/github/chl/comunas/layers/cs_habitat_extent_chl2021.csv","rgn_id",,"habitat","year","m2",,TRUE,2017,2021,383.450721004,14788659684.5,FALSE,,,,103,FALSE
"CS","cs_habitat_pref","cs_habitat_pref_chl2023.csv","p_ref","km^2","Punto de referencia, proyectada en 1990",,"","~/github/chl/comunas/layers/cs_habitat_pref_chl2021.csv","rgn_id",,"habitat",,"p_ref",,TRUE,,,411.813586509462,14788659684.5,FALSE,,,,103,FALSE
"CS","cs_area","cs_area_chl2023.csv","m2","m2","",,"","","rgn_id",,,,"m2",,TRUE,,,8370214.50527,32015173862.9,FALSE,,,,103,FALSE
"LSP","lsp_prot_area_offshore3mn","lsp_prot_area_offshore3mn_chl2023.csv","value_3","proporción","",,"","~/github/chl/comunas/layers/lsp_prot_area_offshore3mn_chl2021.csv","rgn_id",,,"year","value_3",,TRUE,2017,2021,0,100,FALSE,,,,103,FALSE
"LSP","lsp_prot_area_inland1mn","lsp_prot_area_inland1mn_chl2023.csv","value_1","proporción","",,"","~/github/chl/comunas/layers/lsp_prot_area_inland1mn_chl2021.csv","rgn_id",,,"year","value_1",,TRUE,2017,2021,0,97.2,FALSE,,,,103,FALSE
"ICO","ico_spp_trend","ico_spp_trend_chl2023.csv","trend","estatus","",,"ico_spp_extinction_status","~/github/chl/comunas/layers/ico_spp_trend_chl2021.csv","rgn_id",,"specie",,,"trend",TRUE,,,,,FALSE,,,,103,
"ICO","ico_spp_status","ico_spp_status_chl2023.csv","status","tendencia","",,"ico_spp_popn_trend","~/github/chl/comunas/layers/ico_spp_status_chl2021.csv","rgn_id",,"specie",,,"status",TRUE,,,,,FALSE,,,,103,
"TR","tr_factor","tr_factor_chl2023.csv","factor","factor","",,"","~/github/chl/comunas/layers/tr_factor_chl2021.csv","rgn_id",,,"year","factor",,TRUE,2017,2021,0.1,1,TRUE,,,,103,FALSE
"TR","tr_jobs_pct_tourism","tr_jobs_pct_tourism_chl2023.csv","ep","proporción","",,"","~/github/chl/comunas/layers/tr_jobs_pct_tourism_chl2021.csv","rgn_id",,,"year","ep",,TRUE,2017,2021,0,0.593,TRUE,,,,103,FALSE
"TR","tr_sustainability","tr_sustainability_chl2023.csv","s_score","factor","",,"","~/github/chl/comunas/layers/tr_sustainability_chl2021.csv","rgn_id",,,"year","s_score",,TRUE,2017,2021,1,1.11764705882353,FALSE,,,,103,FALSE
"SPP","spp_status","spp_status_chl2023.csv","score","score","",,"","",,,"region_id",,"score",,TRUE,,,73.3333333333333,100,FALSE,"dimension",,,103,FALSE
"SPP","spp_trend","spp_trend_chl2023.csv","score","tendencia","",,"","",,,"region_id",,"score",,TRUE,,,-0.5,0.125,FALSE,"dimension",,,103,FALSE
"HAB","hab_extension","hab_extension_chl2023.csv","value","km2","",,"","~/github/chl/comunas/layers/hab_extension_chl2021.csv","rgn_id",,"habitat","year","value",,TRUE,2017,2021,0,9353.96,FALSE,,,,103,FALSE
"HAB","hab_area","hab_area_chl2023.csv","area_km2","km2","",,"","","rgn_id",,,,"area_km2",,TRUE,,,74.92290982847,32216.824093879,FALSE,,,,103,FALSE
"spatial","rgn_area","regions_list.csv","area_km2","km2","",,"","~/github/chl/comunas/layers/regions_list.csv","rgn_id",,"rgn_name",,"area_km2",,TRUE,,,8.37021450527,32015.4221575,FALSE,,,,103,FALSE
"spatial","rgn_area_inland1mn","rgn_area_inland1mn_chl2023.csv","area_km2","km2","",,"","~/github/chl/comunas/layers/rgn_area_inland1mn_ch2021.csv","rgn_id",,,,"area_km2",,TRUE,,,27,454769,FALSE,,,,103,FALSE
"spatial","rgn_area_offshore3mn","rgn_area_offshore3mn_chl2023.csv","area_km2","km2","",,"","~/github/chl/comunas/layers/rgn_area_offshore_3mn_chl2021.csv","rgn_id",,,,"area_km2",,TRUE,,,84,209464,FALSE,,,,103,FALSE
"MAR","mar_harvest_tonnes","mar_harvest_tonnes_chl2023.csv","tonnes","toneladas","",,"","~/github/chl/comunas/layers/mar_harvest_tonnes_chl2023.csv","rgn_id",,"species_code","year","tonnes",,TRUE,2014,2022,0,286560339,FALSE,,,,103,FALSE
"MAR","mar_sustainability_scores","mar_sustainability_scores_chl2023.csv","sust_coeff","coeficiente","",,"","~/github/chl/comunas/layers/mar_sustainability_scores_chl2023.csv","rgn_id",,"species",,"sust_coeff",,TRUE,,,0.385,0.695,TRUE,,,,103,FALSE
