"rgn_id","m2"
1,266286306.41
2,1546448313.28
3,3549764186.65
4,1018944556.4
5,1177630673.12
6,16051036665.5
7,25608806740.3
8,1068106419.11
9,3101309923.97
10,1020533141.29
11,1322893889.97
12,684880816.038
13,1259700838.94
14,98005106.1625
15,332632332.709
16,350386255.064
17,4735613007.59
18,1589460684
19,514075002.346
20,949060092.485
21,13571185665.5
22,907948802.781
23,151287088.878
24,173981460.114
25,108363700.312
26,1404195178.14
27,818802140.416
28,1517423690.58
29,1049972490.58
30,626907492.129
31,80580467.3034
32,424246653.189
33,812626900.358
34,191008950.883
35,227959244.818
36,1966130534.85
37,618740605.822
38,3545930996.19
39,1186819349.7
40,421293809.501
41,2267428640.85
42,1705891298.33
43,3701647210.34
44,2111462997.7
45,639395954.306
46,1087565567.23
47,579772473.261
48,161796774.94
49,1048846168.24
50,229272332.734
51,279846847.494
52,148463861.672
53,627857237.115
54,1249498651.38
55,590529016.899
56,728562793.845
57,887795026.857
58,2403709655.71
59,32015173862.9
60,495566031.862
61,2226138319.12
62,274454990.081
63,355961527.027
64,804201958.714
65,191913729.76
66,1000151987.31
67,2614040124.01
68,2677451718.46
69,420062721.74
70,562296980.981
71,8370214.50527
72,21020698906.6
73,150702331.818
74,683725762.581
75,1104139918.1
76,7739734459.62
77,1484509069.16
78,811341545.435
79,415616435.147
80,486143333.159
81,4317689456.69
82,536511651.78
83,173550649.188
84,1728397761.44
85,1125175685.18
86,572347031.312
87,1021100329.46
88,344744673.604
89,4336329583.22
90,736089768.434
91,2750665229.45
92,2346261688.71
93,3213221503.49
94,367587852.501
95,635345742.429
96,146384379.2
97,14744743820.2
98,84641706.5221
99,646885460.502
100,384155309.626
101,534804094.165
102,339144617.072
103,351211150.589
