"rgn_id","variable","p_ref"
1,"Kelp forest",2.1129917948208
2,"Kelp forest",3122.01940262727
3,"Kelp forest",357.405875466672
4,"Kelp forest",350.143600953427
5,"Kelp forest",6.09733070117405
6,"Kelp forest",668428.000333158
7,"Kelp forest",8481304.56724777
8,"Kelp forest",839.766167232147
9,"Kelp forest",2704.44448665694
10,"Kelp forest",1.01355018516865
11,"Kelp forest",39.1728505972254
12,"Kelp forest",23.8917034770674
13,"Kelp forest",37.3670062997154
14,"Kelp forest",0.067795297269109
15,"Kelp forest",0.457704721523101
16,"Kelp forest",500.646397365628
17,"Kelp forest",14217.3384744575
18,"Kelp forest",1285.24391699525
19,"Kelp forest",12.5434172147505
20,"Kelp forest",867.621236624885
21,"Kelp forest",332261.214458746
22,"Kelp forest",30.327144264683
23,"Kelp forest",23.6378650829877
24,"Kelp forest",0.723794373468275
25,"Kelp forest",0
26,"Kelp forest",48.26885869626
27,"Kelp forest",215.889952415903
28,"Kelp forest",28.5710576625652
29,"Kelp forest",991.205392941975
30,"Kelp forest",2236.66232891696
31,"Kelp forest",36.637804121953
32,"Kelp forest",1.6978335399197
33,"Kelp forest",342.551557241497
34,"Kelp forest",0.132509468158636
35,"Kelp forest",0.316052250570515
36,"Kelp forest",862.417798950472
37,"Kelp forest",118.088429381514
38,"Kelp forest",17077.0047902398
39,"Kelp forest",509.709582200898
40,"Kelp forest",35.7074188702706
41,"Kelp forest",79.5717343401528
42,"Kelp forest",432.974169890854
43,"Kelp forest",97.9519131514443
44,"Kelp forest",196.75920098817
45,"Kelp forest",5.97096354533886
46,"Kelp forest",33.330683796319
47,"Kelp forest",129.564514646659
48,"Kelp forest",126.853685315897
49,"Kelp forest",547.257549067787
50,"Kelp forest",2.19570972109373
51,"Kelp forest",3.17167354671281
52,"Kelp forest",0.829553680226526
53,"Kelp forest",119.280864785296
54,"Kelp forest",231.634494395645
55,"Kelp forest",74.2026226145542
56,"Kelp forest",81.7453414224053
57,"Kelp forest",1130.41560401651
58,"Kelp forest",12.1575296707807
59,"Kelp forest",5530978.62985114
60,"Kelp forest",7.41185943357267
61,"Kelp forest",138.17426454872
62,"Kelp forest",4.91933151325008
63,"Kelp forest",5.75698476489736
64,"Kelp forest",36.1760569471194
65,"Kelp forest",95.7356626399938
66,"Kelp forest",51.7101083224424
67,"Kelp forest",9386.77038280975
68,"Kelp forest",4712.3635606182
69,"Kelp forest",19.9420028060905
70,"Kelp forest",238.134098113796
71,"Kelp forest",0
72,"Kelp forest",4679143.61736654
73,"Kelp forest",138.529010998973
74,"Kelp forest",182.718362711515
75,"Kelp forest",8963.21371697293
76,"Kelp forest",68491.7174744187
77,"Kelp forest",2185.50518941887
78,"Kelp forest",2627.91205879773
79,"Kelp forest",2.34006216097825
80,"Kelp forest",34.7137761339675
81,"Kelp forest",139739.474094385
82,"Kelp forest",16.3929482248162
83,"Kelp forest",0.239958790695091
84,"Kelp forest",1674.27952310737
85,"Kelp forest",395.91964091142
86,"Kelp forest",3.65142103443527
87,"Kelp forest",7.06272241423684
88,"Kelp forest",18.5546085632098
89,"Kelp forest",3282.90781593704
90,"Kelp forest",36.5542594655872
91,"Kelp forest",40690.8764811037
92,"Kelp forest",1100.38536070676
93,"Kelp forest",255.4674926148
94,"Kelp forest",11.2600453176131
95,"Kelp forest",172.311405101603
96,"Kelp forest",43.666767993862
97,"Kelp forest",404019.562417771
98,"Kelp forest",0.218423939396113
99,"Kelp forest",210.775403718627
100,"Kelp forest",1.34147119222878
101,"Kelp forest",22.5289121745366
102,"Kelp forest",2.64077417379978
103,"Kelp forest",2.98323001909977
1,"Seagrass",1.39028392139812
2,"Seagrass",0
3,"Seagrass",0.762205733505886
4,"Seagrass",277.054337506935
5,"Seagrass",1.57712185926303
6,"Seagrass",0
7,"Seagrass",0
8,"Seagrass",0
9,"Seagrass",557.808150879199
10,"Seagrass",3.6098892321766
11,"Seagrass",90.4832468791952
12,"Seagrass",0
13,"Seagrass",35.2894982371019
14,"Seagrass",0
15,"Seagrass",101.81265088117
16,"Seagrass",0
17,"Seagrass",0
18,"Seagrass",1.4749360541413
19,"Seagrass",0
20,"Seagrass",0
21,"Seagrass",0
22,"Seagrass",0
23,"Seagrass",0
24,"Seagrass",0
25,"Seagrass",43.3127280715047
26,"Seagrass",0.679602280812693
27,"Seagrass",0
28,"Seagrass",102.90070050876
29,"Seagrass",0.155413625804508
30,"Seagrass",0
31,"Seagrass",0
32,"Seagrass",0
33,"Seagrass",0
34,"Seagrass",0
35,"Seagrass",0
36,"Seagrass",5.70754409354548
37,"Seagrass",0
38,"Seagrass",0
39,"Seagrass",0
40,"Seagrass",0
41,"Seagrass",0
42,"Seagrass",5.35388807070661
43,"Seagrass",818.44257720081
44,"Seagrass",0
45,"Seagrass",0
46,"Seagrass",0
47,"Seagrass",0
48,"Seagrass",0
49,"Seagrass",0
50,"Seagrass",0
51,"Seagrass",0
52,"Seagrass",0
53,"Seagrass",0
54,"Seagrass",38.2145898704745
55,"Seagrass",101.499891335852
56,"Seagrass",0
57,"Seagrass",0
58,"Seagrass",418.720755071253
59,"Seagrass",0
60,"Seagrass",0
61,"Seagrass",0
62,"Seagrass",59.6063642836174
63,"Seagrass",0
64,"Seagrass",0
65,"Seagrass",0
66,"Seagrass",0
67,"Seagrass",0
68,"Seagrass",0
69,"Seagrass",189.950244640077
70,"Seagrass",0
71,"Seagrass",0
72,"Seagrass",0
73,"Seagrass",0
74,"Seagrass",0
75,"Seagrass",0
76,"Seagrass",0
77,"Seagrass",0
78,"Seagrass",0
79,"Seagrass",136.074963938027
80,"Seagrass",0
81,"Seagrass",0
82,"Seagrass",8.33502323286634
83,"Seagrass",0
84,"Seagrass",0
85,"Seagrass",0
86,"Seagrass",0
87,"Seagrass",0
88,"Seagrass",0
89,"Seagrass",258.000697376005
90,"Seagrass",0.648750084741605
91,"Seagrass",0
92,"Seagrass",0
93,"Seagrass",6.07716748101763
94,"Seagrass",0
95,"Seagrass",0
96,"Seagrass",0
97,"Seagrass",0
98,"Seagrass",0
99,"Seagrass",0
100,"Seagrass",99.8854669531874
101,"Seagrass",0
102,"Seagrass",186.044292394653
103,"Seagrass",179.442162219348
1,"Tidal Flats",72.1128582762491
2,"Tidal Flats",915.763137704184
3,"Tidal Flats",450.33167302331
4,"Tidal Flats",385.418220865093
5,"Tidal Flats",274.696043210059
6,"Tidal Flats",11066.6964626949
7,"Tidal Flats",3625.40302580292
8,"Tidal Flats",580.877865481761
9,"Tidal Flats",748.179252959389
10,"Tidal Flats",150.574087346858
11,"Tidal Flats",213.81377164018
12,"Tidal Flats",312.193367478756
13,"Tidal Flats",841.262510581268
14,"Tidal Flats",14.3749505098495
15,"Tidal Flats",71.1672529307662
16,"Tidal Flats",263.408856291684
17,"Tidal Flats",2091.77022187548
18,"Tidal Flats",406.606592486554
19,"Tidal Flats",450.833554274162
20,"Tidal Flats",753.157890276051
21,"Tidal Flats",10195.6454587295
22,"Tidal Flats",396.976402438993
23,"Tidal Flats",149.036942860222
24,"Tidal Flats",163.510599684343
25,"Tidal Flats",21.0188604344376
26,"Tidal Flats",995.902689399494
27,"Tidal Flats",121.319797308995
28,"Tidal Flats",353.590149955472
29,"Tidal Flats",638.071585371861
30,"Tidal Flats",317.968808751563
31,"Tidal Flats",81.8790203097726
32,"Tidal Flats",192.19264444842
33,"Tidal Flats",395.116862570608
34,"Tidal Flats",41.6543104635106
35,"Tidal Flats",33.9235198489369
36,"Tidal Flats",316.190402065636
37,"Tidal Flats",179.996475097375
38,"Tidal Flats",1492.62831248939
39,"Tidal Flats",475.42803523738
40,"Tidal Flats",46.4216210518067
41,"Tidal Flats",416.12879562437
42,"Tidal Flats",337.048227178276
43,"Tidal Flats",1958.35065416294
44,"Tidal Flats",463.653016986578
45,"Tidal Flats",149.691710434053
46,"Tidal Flats",192.141433389202
47,"Tidal Flats",301.102570574258
48,"Tidal Flats",164.404127510055
49,"Tidal Flats",212.867223624503
50,"Tidal Flats",37.5365745217795
51,"Tidal Flats",36.5634463520243
52,"Tidal Flats",58.3029205888714
53,"Tidal Flats",321.348772486402
54,"Tidal Flats",281.540401718248
55,"Tidal Flats",441.426317846616
56,"Tidal Flats",740.042566742377
57,"Tidal Flats",759.81511845856
58,"Tidal Flats",591.845591662106
59,"Tidal Flats",15255.8159525287
60,"Tidal Flats",179.835718241382
61,"Tidal Flats",221.390446804948
62,"Tidal Flats",67.8317052610433
63,"Tidal Flats",94.6821294036358
64,"Tidal Flats",269.739239954742
65,"Tidal Flats",139.249039526897
66,"Tidal Flats",115.065641899106
67,"Tidal Flats",2656.16534089452
68,"Tidal Flats",2720.5988122257
69,"Tidal Flats",147.168125586659
70,"Tidal Flats",246.978537134122
71,"Tidal Flats",7.97226912843713
72,"Tidal Flats",4602.90106724771
73,"Tidal Flats",152.380643322937
74,"Tidal Flats",151.344995733533
75,"Tidal Flats",635.762900598997
76,"Tidal Flats",3706.94323093018
77,"Tidal Flats",546.011385791579
78,"Tidal Flats",649.962864828875
79,"Tidal Flats",131.942165314221
80,"Tidal Flats",163.80505454591
81,"Tidal Flats",1345.36448414236
82,"Tidal Flats",500.326008658108
83,"Tidal Flats",60.580409554519
84,"Tidal Flats",1756.25086510686
85,"Tidal Flats",422.61948913615
86,"Tidal Flats",102.411400761493
87,"Tidal Flats",560.551638721692
88,"Tidal Flats",127.835336226263
89,"Tidal Flats",627.576142939415
90,"Tidal Flats",747.951843869243
91,"Tidal Flats",1252.12976094065
92,"Tidal Flats",1267.67022389426
93,"Tidal Flats",784.91511219849
94,"Tidal Flats",352.161648120259
95,"Tidal Flats",383.994380512243
96,"Tidal Flats",0
97,"Tidal Flats",9016.15061370763
98,"Tidal Flats",86.0057063367815
99,"Tidal Flats",613.175754674462
100,"Tidal Flats",82.544467622163
101,"Tidal Flats",129.770630033472
102,"Tidal Flats",72.3526933726299
103,"Tidal Flats",56.8910686134591
