"rgn_id","habitat","boolean"
1,"Algas",1
2,"Algas",1
3,"Algas",1
4,"Algas",1
5,"Algas",1
6,"Algas",1
7,"Algas",1
8,"Algas",1
9,"Algas",1
10,"Algas",1
11,"Algas",1
12,"Algas",1
13,"Algas",1
14,"Algas",1
15,"Algas",1
16,"Algas",1
17,"Algas",1
18,"Algas",1
19,"Algas",1
20,"Algas",1
21,"Algas",1
22,"Algas",1
23,"Algas",1
24,"Algas",1
26,"Algas",1
27,"Algas",1
28,"Algas",1
29,"Algas",1
30,"Algas",1
31,"Algas",1
33,"Algas",1
34,"Algas",1
35,"Algas",1
36,"Algas",1
37,"Algas",1
38,"Algas",1
39,"Algas",1
40,"Algas",1
41,"Algas",1
42,"Algas",1
43,"Algas",1
44,"Algas",1
45,"Algas",1
46,"Algas",1
47,"Algas",1
48,"Algas",1
49,"Algas",1
50,"Algas",1
51,"Algas",1
52,"Algas",1
53,"Algas",1
54,"Algas",1
55,"Algas",1
56,"Algas",1
57,"Algas",1
58,"Algas",1
59,"Algas",1
60,"Algas",1
61,"Algas",1
62,"Algas",1
63,"Algas",1
64,"Algas",1
65,"Algas",1
66,"Algas",1
67,"Algas",1
68,"Algas",1
69,"Algas",1
70,"Algas",1
71,"Algas",1
72,"Algas",1
73,"Algas",1
74,"Algas",1
75,"Algas",1
76,"Algas",1
77,"Algas",1
78,"Algas",1
79,"Algas",1
80,"Algas",1
81,"Algas",1
82,"Algas",1
83,"Algas",1
84,"Algas",1
85,"Algas",1
86,"Algas",1
87,"Algas",1
88,"Algas",1
89,"Algas",1
90,"Algas",1
91,"Algas",1
92,"Algas",1
93,"Algas",1
94,"Algas",1
95,"Algas",1
96,"Algas",1
97,"Algas",1
98,"Algas",1
99,"Algas",1
100,"Algas",1
101,"Algas",1
102,"Algas",1
103,"Algas",1
1,"Pastos",1
3,"Pastos",1
4,"Pastos",1
5,"Pastos",1
9,"Pastos",1
10,"Pastos",1
11,"Pastos",1
13,"Pastos",1
15,"Pastos",1
18,"Pastos",1
25,"Pastos",1
26,"Pastos",1
28,"Pastos",1
29,"Pastos",1
36,"Pastos",1
42,"Pastos",1
43,"Pastos",1
54,"Pastos",1
55,"Pastos",1
58,"Pastos",1
62,"Pastos",1
69,"Pastos",1
79,"Pastos",1
82,"Pastos",1
89,"Pastos",1
90,"Pastos",1
93,"Pastos",1
100,"Pastos",1
101,"Pastos",1
102,"Pastos",1
103,"Pastos",1
1,"Marismas y Humedales",1
2,"Marismas y Humedales",1
3,"Marismas y Humedales",1
4,"Marismas y Humedales",1
5,"Marismas y Humedales",1
6,"Marismas y Humedales",1
7,"Marismas y Humedales",1
8,"Marismas y Humedales",1
9,"Marismas y Humedales",1
10,"Marismas y Humedales",1
11,"Marismas y Humedales",1
12,"Marismas y Humedales",1
13,"Marismas y Humedales",1
14,"Marismas y Humedales",1
15,"Marismas y Humedales",1
16,"Marismas y Humedales",1
17,"Marismas y Humedales",1
18,"Marismas y Humedales",1
19,"Marismas y Humedales",1
20,"Marismas y Humedales",1
21,"Marismas y Humedales",1
22,"Marismas y Humedales",1
23,"Marismas y Humedales",1
24,"Marismas y Humedales",1
25,"Marismas y Humedales",1
26,"Marismas y Humedales",1
27,"Marismas y Humedales",1
28,"Marismas y Humedales",1
29,"Marismas y Humedales",1
30,"Marismas y Humedales",1
31,"Marismas y Humedales",1
32,"Marismas y Humedales",1
33,"Marismas y Humedales",1
34,"Marismas y Humedales",1
35,"Marismas y Humedales",1
36,"Marismas y Humedales",1
37,"Marismas y Humedales",1
39,"Marismas y Humedales",1
40,"Marismas y Humedales",1
41,"Marismas y Humedales",1
42,"Marismas y Humedales",1
43,"Marismas y Humedales",1
44,"Marismas y Humedales",1
45,"Marismas y Humedales",1
46,"Marismas y Humedales",1
47,"Marismas y Humedales",1
48,"Marismas y Humedales",1
49,"Marismas y Humedales",1
50,"Marismas y Humedales",1
51,"Marismas y Humedales",1
52,"Marismas y Humedales",1
53,"Marismas y Humedales",1
54,"Marismas y Humedales",1
55,"Marismas y Humedales",1
56,"Marismas y Humedales",1
57,"Marismas y Humedales",1
58,"Marismas y Humedales",1
59,"Marismas y Humedales",1
60,"Marismas y Humedales",1
61,"Marismas y Humedales",1
62,"Marismas y Humedales",1
63,"Marismas y Humedales",1
64,"Marismas y Humedales",1
65,"Marismas y Humedales",1
66,"Marismas y Humedales",1
67,"Marismas y Humedales",1
68,"Marismas y Humedales",1
69,"Marismas y Humedales",1
70,"Marismas y Humedales",1
71,"Marismas y Humedales",1
72,"Marismas y Humedales",1
73,"Marismas y Humedales",1
74,"Marismas y Humedales",1
75,"Marismas y Humedales",1
76,"Marismas y Humedales",1
77,"Marismas y Humedales",1
78,"Marismas y Humedales",1
79,"Marismas y Humedales",1
80,"Marismas y Humedales",1
