"rgn_id","habitat","area_km2"
1,"inland",27
2,"inland",5006
3,"inland",349
4,"inland",1617
5,"inland",1142
6,"inland",144723
7,"inland",185215
8,"inland",4565
9,"inland",303
10,"inland",894
11,"inland",1193
12,"inland",57
13,"inland",60
14,"inland",95
15,"inland",311
16,"inland",2795
17,"inland",13048
18,"inland",153
19,"inland",462
20,"inland",2315
21,"inland",9181
22,"inland",766
23,"inland",684
24,"inland",137
25,"inland",125
26,"inland",1255
27,"inland",924
28,"inland",1727
29,"inland",405
30,"inland",1155
31,"inland",903
32,"inland",225
33,"inland",1864
34,"inland",167
35,"inland",222
36,"inland",1623
37,"inland",745
38,"inland",900
39,"inland",8427
40,"inland",241
41,"inland",2065
42,"inland",1627
43,"inland",3316
44,"inland",1302
45,"inland",602
46,"inland",72
47,"inland",578
48,"inland",2043
49,"inland",906
50,"inland",301
51,"inland",257
52,"inland",116
53,"inland",1703
54,"inland",1225
55,"inland",241
56,"inland",63
57,"inland",3162
58,"inland",2269
59,"inland",454769
60,"inland",40
61,"inland",2017
62,"inland",318
63,"inland",303
64,"inland",675
65,"inland",176
66,"inland",893
67,"inland",9725
68,"inland",8876
69,"inland",397
70,"inland",2613
71,"inland",2923
72,"inland",191595
73,"inland",1231
74,"inland",931
75,"inland",3194
76,"inland",12666
77,"inland",3667
78,"inland",2649
79,"inland",407
80,"inland",632
81,"inland",62021
82,"inland",448
83,"inland",162
84,"inland",13107
85,"inland",2198
86,"inland",191
87,"inland",788
88,"inland",626
89,"inland",3895
90,"inland",599
91,"inland",35834
92,"inland",82
93,"inland",2855
94,"inland",388
95,"inland",73
96,"inland",7868
97,"inland",15511
98,"inland",85
99,"inland",615
100,"inland",584
101,"inland",469
102,"inland",221
103,"inland",277
1,"offshore",768
2,"offshore",6315
3,"offshore",10067
4,"offshore",414
5,"offshore",3336
6,"offshore",87172
7,"offshore",106417
8,"offshore",7036
9,"offshore",8707
10,"offshore",2637
11,"offshore",3412
12,"offshore",1685
13,"offshore",1858
14,"offshore",263
15,"offshore",912
16,"offshore",2435
17,"offshore",1681
18,"offshore",4283
19,"offshore",1283
20,"offshore",2401
21,"offshore",71484
22,"offshore",2322
23,"offshore",1505
24,"offshore",392
25,"offshore",232
26,"offshore",3819
27,"offshore",2225
28,"offshore",4838
29,"offshore",1177
30,"offshore",2123
31,"offshore",806
32,"offshore",881
33,"offshore",2169
34,"offshore",518
35,"offshore",648
36,"offshore",4904
37,"offshore",115
38,"offshore",14632
39,"offshore",5801
40,"offshore",726
41,"offshore",5981
42,"offshore",4696
43,"offshore",9849
44,"offshore",3692
45,"offshore",1813
46,"offshore",2401
47,"offshore",1683
48,"offshore",847
49,"offshore",2765
50,"offshore",587
51,"offshore",777
52,"offshore",346
53,"offshore",1371
54,"offshore",3476
55,"offshore",1326
56,"offshore",199
57,"offshore",3593
58,"offshore",6652
59,"offshore",209464
60,"offshore",1263
61,"offshore",5783
62,"offshore",758
63,"offshore",895
64,"offshore",2145
65,"offshore",1347
66,"offshore",2615
67,"offshore",6758
68,"offshore",8023
69,"offshore",1295
70,"offshore",3495
71,"offshore",84
72,"offshore",106397
73,"offshore",144
74,"offshore",147
75,"offshore",3556
76,"offshore",16733
77,"offshore",5978
78,"offshore",6609
79,"offshore",1108
80,"offshore",993
81,"offshore",32488
82,"offshore",1338
83,"offshore",407
84,"offshore",7473
85,"offshore",2346
86,"offshore",616
87,"offshore",2298
88,"offshore",973
89,"offshore",11542
90,"offshore",1841
91,"offshore",18712
92,"offshore",2438
93,"offshore",8502
94,"offshore",1008
95,"offshore",213
96,"offshore",1464
97,"offshore",64966
98,"offshore",199
99,"offshore",1658
100,"offshore",1275
101,"offshore",1371
102,"offshore",1043
103,"offshore",915
