"rgn_id","resilience_score"
7,1
91,1
67,1
72,1
68,1
81,1
84,1
48,1
96,1
59,1
97,1
6,1
21,1
38,1
76,1
75,1
73,1
20,1
78,1
16,1
31,1
33,1
77,1
2,1
17,1
39,1
23,1
8,1
57,1
70,1
71,1
53,1
37,1
74,1
80,1
85,1
47,0.5
30,0.5
99,0.5
56,0.5
94,0.5
90,0.5
82,0.5
13,0.5
92,1
12,1
52,1
49,1
4,1
55,1
29,1
86,1
40,1
88,1
65,1
95,1
24,1
98,1
22,1
19,1
64,1
26,1
32,1
50,1
101,1
63,0.5
66,0.5
51,0.5
60,0.5
87,0.5
83,0.5
14,0.5
35,0.5
34,0.5
1,0.5
15,0.5
100,0.5
102,0.5
25,0.5
79,0.5
69,0.5
103,0.5
62,0.5
45,0.5
54,0.5
11,0.5
61,0.5
28,0.5
46,0.5
44,0.5
36,0.5
42,0.5
27,0.5
9,0.5
18,0.5
89,0.5
3,0.5
58,0.5
93,0.5
43,0.5
41,0.5
10,1
5,1
