"rgn_id","spp","catch","year"
1,"CONGRIO NEGRO",3,2013
1,"CONGRIO NEGRO",4,2012
1,"CONGRIO NEGRO",2,2018
1,"CONGRIO NEGRO",2,2015
1,"MERLUZA COMUN",6,2012
1,"CONGRIO COLORADO",4,2018
1,"MERLUZA COMUN",15,2019
1,"LOCO",9,2020
1,"ALMEJA",3,2012
1,"LOCO",9,2019
1,"LOCO",10,2021
1,"MERLUZA COMUN",14,2020
1,"MERLUZA COMUN",15,2018
1,"CONGRIO NEGRO",1,2016
1,"CONGRIO NEGRO",4,2017
1,"CONGRIO NEGRO",1,2014
1,"SIERRA",3,2014
1,"CONGRIO COLORADO",6,2021
1,"CONGRIO COLORADO",5,2017
1,"MERLUZA COMUN",8,2013
1,"MERLUZA COMUN",6,2017
1,"JAIBA MORA",7,2013
1,"SIERRA",6,2016
1,"CONGRIO COLORADO",2,2016
1,"CONGRIO COLORADO",1,2020
1,"MERLUZA COMUN",10,2014
1,"SIERRA",2,2015
1,"JAIBA MORA",2,2014
1,"SIERRA",7,2017
1,"LOCO",6,2017
1,"JAIBA LIMON",1,2018
1,"CONGRIO NEGRO",7,2019
1,"MERLUZA COMUN",9,2021
1,"MERLUZA COMUN",4,2016
1,"COCHAYUYO",12,2012
1,"REINETA",1,2012
1,"SIERRA",6,2012
1,"LOCO",1,2018
1,"SIERRA",3,2013
1,"CHASCA",2,2017
1,"MERLUZA COMUN",11,2015
1,"JAIBA MORA",1,2016
1,"ALMEJA",6,2013
1,"CONGRIO COLORADO",5,2019
1,"LAPA NEGRA",2,2019
1,"CONGRIO COLORADO",3,2012
1,"PEJEGALLO",1,2020
1,"LAPA ROSADA",1,2013
1,"ALMEJA",6,2014
1,"CONGRIO COLORADO",1,2015
1,"LOCO",1,2012
1,"CONGRIO COLORADO",3,2013
1,"CONGRIO COLORADO",1,2014
1,"ALMEJA",1,2021
1,"CARACOL TEGULA",1,2018
1,"LAPA NEGRA",4,2021
1,"JAIBA MORA",2,2012
1,"COJINOBA DEL NORTE / PIAFRI",1,2013
1,"LAPA NEGRA",1,2016
1,"JUREL",1,2015
1,"COCHAYUYO",1,2017
1,"JAIBA MORA",3,2021
1,"ALMEJA",1,2017
1,"LAPA NEGRA",5,2015
1,"SIERRA",7,2021
1,"COJINOBA DEL NORTE / PIAFRI",2,2021
1,"COCHAYUYO",1,2018
1,"JAIBA PELUDA O PACHONA",3,2021
1,"JIBIA O CALAMAR ROJO",7,2018
1,"LAPA NEGRA",2,2017
1,"LAPA NEGRA",5,2013
1,"SIERRA",10,2020
1,"VIEJA O MULATA",1,2018
1,"LAPA NEGRA",5,2012
1,"JAIBA LIMON",2,2019
1,"SIERRA",5,2018
1,"CORVINA",1,2020
1,"LAPA NEGRA",3,2014
1,"ERIZO",3,2012
1,"ERIZO",1,2014
1,"CARACOL TEGULA",1,2021
1,"ERIZO",3,2013
1,"CONGRIO NEGRO",3,2021
1,"SIERRA",2,2019
1,"CONGRIO NEGRO",2,2020
2,"BACALAO DE PROFUNDIDAD",69,2019
2,"BACALAO DE PROFUNDIDAD",76,2021
2,"CARACOL PALO PALO",68,2012
2,"CULENGUE",4,2016
2,"CULENGUE",104,2017
2,"CULENGUE",122,2018
2,"CULENGUE",76,2019
2,"BACALAO DE PROFUNDIDAD",67,2013
2,"BACALAO DE PROFUNDIDAD",62,2014
2,"BACALAO DE PROFUNDIDAD",61,2015
2,"BACALAO DE PROFUNDIDAD",128,2016
2,"BACALAO DE PROFUNDIDAD",114,2017
2,"BACALAO DE PROFUNDIDAD",67,2018
2,"CARACOL PICUYO",8,2015
2,"CARACOL PICUYO",2,2016
2,"CARACOL PICUYO",5,2017
2,"CARACOL PALO PALO",87,2013
2,"CARACOL PALO PALO",82,2014
2,"CARACOL PALO PALO",2,2015
2,"CARACOL PALO PALO",16,2016
2,"CARACOL PALO PALO",24,2017
2,"CARACOL PALO PALO",59,2018
2,"CARACOL PALO PALO",9,2019
2,"CARACOL PALO PALO",3,2020
2,"CARACOL PALO PALO",7,2021
2,"CARACOL PICUYO",8,2013
2,"CORVINA",9,2021
2,"CULENGUE",169,2012
2,"CULENGUE",94,2013
2,"CULENGUE",77,2014
2,"CULENGUE",57,2015
2,"MACHA",17,2018
2,"MACHA",32,2019
2,"MERLUZA DEL SUR O AUSTRAL",119,2012
2,"MERLUZA DEL SUR O AUSTRAL",144,2013
2,"CULENGUE",4,2020
2,"ERIZO",200,2012
2,"ERIZO",158,2013
2,"ERIZO",130,2014
2,"ERIZO",257,2015
2,"ERIZO",123,2016
2,"ERIZO",105,2017
2,"ERIZO",96,2018
2,"ERIZO",237,2019
2,"ERIZO",263,2020
2,"ERIZO",139,2021
2,"HUEPO O NAVAJA DE MAR",122,2012
2,"HUEPO O NAVAJA DE MAR",142,2013
2,"HUEPO O NAVAJA DE MAR",22,2014
2,"HUEPO O NAVAJA DE MAR",58,2015
2,"HUEPO O NAVAJA DE MAR",1,2016
2,"HUEPO O NAVAJA DE MAR",13,2017
2,"HUEPO O NAVAJA DE MAR",47,2018
2,"HUEPO O NAVAJA DE MAR",77,2019
2,"HUEPO O NAVAJA DE MAR",12,2020
2,"JAIBA MARMOLA",432,2012
2,"JAIBA MARMOLA",338,2013
2,"CARACOL PICUYO",1,2019
2,"CAROLA",1,2017
2,"CAROLA",1,2020
2,"CAROLA",2,2021
2,"CENTOLLA",256,2012
2,"CENTOLLA",212,2013
2,"CENTOLLA",261,2014
2,"CENTOLLA",209,2015
2,"CENTOLLA",205,2016
2,"CENTOLLA",147,2017
2,"CENTOLLA",273,2018
2,"CENTOLLA",168,2019
2,"CENTOLLA",85,2020
2,"CENTOLLA",146,2021
2,"CHANCHARRO",2,2019
2,"CHANCHARRO",6,2020
2,"CHASCA",2,2016
2,"CHASCA",1,2019
2,"CHICOREA DE MAR",286,2012
2,"CHICOREA DE MAR",259,2013
2,"CHICOREA DE MAR",192,2014
2,"CHICOREA DE MAR",208,2015
2,"CHICOREA DE MAR",161,2016
2,"CHICOREA DE MAR",209,2017
2,"CHICOREA DE MAR",103,2018
2,"CHICOREA DE MAR",162,2019
2,"CHICOREA DE MAR",89,2020
2,"CHICOREA DE MAR",88,2021
2,"CHOLGA",276,2012
2,"CHOLGA",22,2014
2,"CHOLGA",82,2015
2,"CHOLGA",36,2016
2,"CHOLGA",2,2017
2,"CHOLGA",67,2018
2,"CHOLGA",31,2019
2,"CHOLGA",3,2020
2,"CHOLGA",2,2021
2,"CHORITO",30,2012
2,"CHORITO",21,2013
2,"CHORITO",18,2014
2,"CHORITO",150,2015
2,"CHORITO",96,2016
2,"CHORITO",48,2017
2,"CHORITO",66,2018
2,"CHORITO",73,2019
2,"CHORITO",57,2020
2,"CHORITO",15,2021
2,"CHORO",22,2012
2,"CHORO",26,2013
2,"CHORO",25,2014
2,"CHORO",120,2015
2,"CHORO",211,2016
2,"CHORO",110,2017
2,"CHORO",10,2018
2,"CHORO",68,2019
2,"CHORO",141,2020
2,"CHORO",27,2021
2,"COCHAYUYO",8,2012
2,"COCHAYUYO",55,2013
2,"COCHAYUYO",27,2014
2,"COCHAYUYO",42,2015
2,"COCHAYUYO",21,2017
2,"COCHAYUYO",131,2018
2,"COCHAYUYO",46,2019
2,"COCHAYUYO",20,2020
2,"COCHAYUYO",9,2021
2,"CONGRIO COLORADO",1,2013
2,"CONGRIO COLORADO",2,2014
2,"CONGRIO COLORADO",2,2015
2,"CONGRIO COLORADO",6,2016
2,"CONGRIO COLORADO",18,2017
2,"CONGRIO COLORADO",15,2018
2,"CONGRIO COLORADO",14,2019
2,"CONGRIO COLORADO",2,2020
2,"CONGRIO DORADO",10,2012
2,"CONGRIO DORADO",16,2013
2,"CONGRIO DORADO",15,2014
2,"CONGRIO DORADO",32,2015
2,"CONGRIO DORADO",28,2016
2,"CONGRIO DORADO",25,2017
2,"CONGRIO DORADO",34,2018
2,"CONGRIO DORADO",36,2019
2,"CONGRIO DORADO",26,2020
2,"CONGRIO DORADO",16,2021
2,"CORVINA",3,2015
2,"CORVINA",7,2016
2,"CORVINA",14,2017
2,"CORVINA",17,2018
2,"CORVINA",19,2019
2,"CORVINA",8,2020
2,"MACHA",117,2012
2,"MACHA",64,2013
2,"MACHA",49,2014
2,"MACHA",60,2016
2,"MACHA",63,2017
2,"ALMEJA",1496,2018
2,"ALMEJA",1133,2019
2,"ALMEJA",757,2020
2,"ALMEJA",629,2021
2,"BACALAO DE PROFUNDIDAD",56,2012
2,"TIBURON FUME, GRIS O GATA DE MAR",1,2020
2,"TIBURON FUME, GRIS O GATA DE MAR",1,2021
2,"TOLLO",2,2017
2,"TOLLO",1,2018
2,"TOLLO",2,2020
2,"TOLLO",1,2021
2,"TUMBAO",7,2012
2,"TUMBAO",34,2013
2,"TUMBAO",6,2014
2,"TUMBAO",4,2015
2,"TUMBAO",21,2017
2,"TUMBAO",12,2018
2,"TUMBAO",47,2019
2,"TUMBAO",1,2020
2,"TUMBAO",2,2021
2,"PULPO DEL SUR",72,2020
2,"ROLLIZO",9,2020
2,"TUMBAO",4,2014
2,"OSTRA CHILENA",6,2013
2,"OSTRA CHILENA",19,2014
2,"OSTRA CHILENA",19,2015
2,"JAIBA MARMOLA",334,2014
2,"JAIBA MARMOLA",355,2015
2,"JAIBA MARMOLA",327,2016
2,"JAIBA MARMOLA",419,2017
2,"JAIBA MARMOLA",823,2018
2,"JAIBA MARMOLA",860,2019
2,"JAIBA MARMOLA",635,2020
2,"JAIBA MARMOLA",856,2021
2,"JAIBA MORA",6,2012
2,"JAIBA MORA",8,2013
2,"JAIBA MORA",2,2014
2,"JAIBA MORA",1,2015
2,"JAIBA PANCHOTE O CANGREJO",1,2012
2,"JAIBA PANCHOTE O CANGREJO",1,2013
2,"JAIBA PANCHOTE O CANGREJO",2,2015
2,"JAIBA PANCHOTE O CANGREJO",8,2016
2,"JAIBA PANCHOTE O CANGREJO",17,2017
2,"JAIBA PANCHOTE O CANGREJO",11,2018
2,"JAIBA PANCHOTE O CANGREJO",11,2019
2,"JAIBA PANCHOTE O CANGREJO",13,2020
2,"JAIBA PANCHOTE O CANGREJO",17,2021
2,"JAIBA PELUDA O PACHONA",23,2012
2,"JAIBA PELUDA O PACHONA",18,2013
2,"JAIBA PELUDA O PACHONA",50,2014
2,"JAIBA PELUDA O PACHONA",51,2015
2,"JAIBA PELUDA O PACHONA",51,2016
2,"JAIBA PELUDA O PACHONA",9,2017
2,"JAIBA PELUDA O PACHONA",11,2018
2,"JAIBA PELUDA O PACHONA",29,2019
2,"JAIBA PELUDA O PACHONA",6,2020
2,"JAIBA PELUDA O PACHONA",1,2021
2,"JAIBA REINA",11,2016
2,"JAIBA REINA",1,2017
2,"JAIBA REINA",1,2018
2,"JAIBA REINA",1,2019
2,"JAIBA REINA",2,2021
2,"JAIBA REMADORA",1,2013
2,"JAIBA REMADORA",2,2014
2,"JAIBA REMADORA",1,2020
2,"JIBIA O CALAMAR ROJO",1,2019
2,"JULIANA O TAWERA",15,2013
2,"JULIANA O TAWERA",28,2014
2,"JULIANA O TAWERA",22,2015
2,"JULIANA O TAWERA",15,2016
2,"JULIANA O TAWERA",22,2017
2,"JUREL",2,2018
2,"LAPA NEGRA",5,2012
2,"LOCO",341,2012
2,"LOCO",327,2013
2,"LOCO",399,2014
2,"LOCO",397,2015
2,"LOCO",462,2016
2,"LOCO",495,2017
2,"LOCO",649,2018
2,"LOCO",436,2019
2,"LOCO",285,2020
2,"LOCO",384,2021
2,"LUCHE",2,2019
2,"LUCHE",2,2020
2,"LUCHE",28,2021
2,"LUGA-ROJA",1532,2012
2,"LUGA-ROJA",1945,2013
2,"LUGA-ROJA",234,2014
2,"LUGA-ROJA",761,2015
2,"LUGA-ROJA",301,2016
2,"LUGA-ROJA",266,2017
2,"LUGA-ROJA",243,2018
2,"LUGA-ROJA",301,2019
2,"LUGA-ROJA",343,2020
2,"LUGA-ROJA",209,2021
2,"LUGA CUCHARA O CORTA",271,2012
2,"LUGA CUCHARA O CORTA",348,2013
2,"LUGA CUCHARA O CORTA",946,2014
2,"LUGA CUCHARA O CORTA",164,2015
2,"LUGA CUCHARA O CORTA",78,2016
2,"LUGA CUCHARA O CORTA",92,2017
2,"LUGA CUCHARA O CORTA",77,2018
2,"LUGA CUCHARA O CORTA",62,2019
2,"LUGA CUCHARA O CORTA",53,2020
2,"LUGA CUCHARA O CORTA",30,2021
2,"LUGA NEGRA O CRESPA",4516,2012
2,"LUGA NEGRA O CRESPA",3394,2013
2,"LUGA NEGRA O CRESPA",1198,2014
2,"LUGA NEGRA O CRESPA",4440,2015
2,"LUGA NEGRA O CRESPA",1854,2016
2,"LUGA NEGRA O CRESPA",835,2017
2,"LUGA NEGRA O CRESPA",2332,2018
2,"LUGA NEGRA O CRESPA",2349,2019
2,"LUGA NEGRA O CRESPA",2006,2020
2,"LUGA NEGRA O CRESPA",1879,2021
2,"LUGA NEGRA O CRESPA",4332,2015
2,"LUGA NEGRA O CRESPA",1833,2016
2,"LUGA NEGRA O CRESPA",498,2017
2,"LUGA NEGRA O CRESPA",2276,2018
2,"LUGA NEGRA O CRESPA",2279,2019
2,"LUGA NEGRA O CRESPA",1950,2020
2,"LUGA NEGRA O CRESPA",1777,2021
2,"MERLUZA DEL SUR O AUSTRAL",112,2012
2,"MERLUZA DEL SUR O AUSTRAL",141,2013
2,"MERLUZA DEL SUR O AUSTRAL",270,2016
2,"MERLUZA DEL SUR O AUSTRAL",200,2018
2,"MERLUZA DEL SUR O AUSTRAL",152,2019
2,"MERLUZA DEL SUR O AUSTRAL",60,2021
2,"NAVAJUELA",1,2014
2,"NAVAJUELA",3,2017
2,"NAVAJUELA",2,2019
2,"OSTRA CHILENA",79,2020
2,"PEJERREY DE MAR",39,2020
2,"PELILLO",9992,2014
2,"PELILLO",11563,2016
2,"PELILLO",19363,2017
2,"PELILLO",9705,2018
2,"PELILLO",19556,2019
2,"PELILLO",20401,2020
2,"PELILLO",20065,2021
2,"NAVAJUELA",2,2020
2,"NAVAJUELA",3,2021
2,"OSTRA CHILENA",11,2012
2,"PELILLO",20120,2021
2,"PEPINO DE MAR",67,2012
2,"PEPINO DE MAR",4,2013
2,"PEPINO DE MAR",5,2014
2,"PEPINO DE MAR",3,2015
2,"PEPINO DE MAR",77,2016
2,"OSTRA CHILENA",106,2016
2,"OSTRA CHILENA",166,2017
2,"OSTRA CHILENA",112,2018
2,"OSTRA CHILENA",148,2019
2,"OSTRA CHILENA",76,2020
2,"OSTRA CHILENA",109,2021
2,"PEJEGALLO",72,2012
2,"PEJEGALLO",36,2013
2,"PEJEGALLO",19,2014
2,"PEJEGALLO",33,2015
2,"PEJEGALLO",21,2016
2,"PEJEGALLO",115,2017
2,"PEJEGALLO",22,2018
2,"PEJEGALLO",37,2019
2,"PEJEGALLO",57,2020
2,"PEJEGALLO",29,2021
2,"PEJERREY DE MAR",9,2012
2,"PEJERREY DE MAR",13,2013
2,"PEJERREY DE MAR",7,2015
2,"PEJERREY DE MAR",18,2016
2,"PEJERREY DE MAR",11,2017
2,"PEJERREY DE MAR",14,2018
2,"PEJERREY DE MAR",14,2019
2,"PEJERREY DE MAR",34,2020
2,"PEJERREY DE MAR",33,2021
2,"PELILLO",8669,2012
2,"PELILLO",9814,2013
2,"PELILLO",10022,2014
2,"PELILLO",17560,2015
2,"PELILLO",11616,2016
2,"PELILLO",19497,2017
2,"PELILLO",9724,2018
2,"PELILLO",19571,2019
2,"PELILLO",20386,2020
2,"ERIZO",155,2013
2,"ERIZO",206,2019
2,"ERIZO",276,2020
2,"HUEPO O NAVAJA DE MAR",23,2018
2,"HUEPO O NAVAJA DE MAR",42,2019
2,"JAIBA MARMOLA",668,2020
2,"PEPINO DE MAR",48,2017
2,"PEPINO DE MAR",146,2018
2,"PEPINO DE MAR",41,2019
2,"PICOROCO",10,2020
2,"PICOROCO",6,2021
2,"PIURE",1,2012
