"rgn_id","year","fis","mar","total","w_fis"
1,2017,33,NA,33,1
1,2018,37,NA,37,1
1,2019,42,NA,42,1
1,2020,38,NA,38,1
1,2021,49,NA,49,1
2,2017,4665,16456.492,21121.492,0.220865079038924
2,2018,6379,7608.488,13987.488,0.456050435932456
2,2019,5719,23077.02,28796.02,0.198603834835509
2,2020,5171,11750.781,16921.781,0.305582491582889
2,2021,2854,19560.649,22414.649,0.127327445546883
3,2017,951,19.5,970.5,0.979907264296754
3,2018,1533,80.061,1613.061,0.950367035096627
3,2019,2488,27.869,2515.869,0.988922714179474
3,2020,2538,44.45,2582.45,0.982787662878275
3,2021,2066,90.196,2156.196,0.958168923418836
4,2017,15931,0.807,15931.807,0.999949346612095
4,2018,20842,1.762,20843.762,0.999915466315534
4,2019,7064,2.59,7066.59,0.999633486589713
4,2020,6771,102.7,6873.7,0.985058992973217
4,2021,5145,0,5145,1
5,2017,91161,NA,91161,1
5,2018,123343,NA,123343,1
5,2019,105117,NA,105117,1
5,2020,119100,NA,119100,1
5,2021,117657,NA,117657,1
6,2017,7001,147587.111,154588.111,0.0452880881635199
6,2018,1837,186495.643,188332.643,0.00975401805410865
6,2019,2634,190929.824,193563.824,0.0136079146690138
6,2020,4240,211537.424,215777.424,0.0196498777369777
6,2021,5757,207476.21,213233.21,0.0269986087064018
7,2017,817,23419.396,24236.396,0.0337096324057422
7,2018,1066,0.014,1066.014,0.999986866964224
7,2019,639,13955.607,14594.607,0.0437832961175316
7,2020,637,7833.983,8470.983,0.0751978843541535
7,2021,517,4863.518,5380.518,0.0960874027370599
8,2017,55417,77633.192,133050.192,0.416511988197657
8,2018,20441,103679.458,124120.458,0.164686791600463
8,2019,33304,106063.623,139367.623,0.238965114587626
8,2020,40232,103524.61,143756.61,0.279861913827823
8,2021,38916,101456.817,140372.817,0.277233162600135
9,2017,48908,1122.47,50030.47,0.977564272332441
9,2018,47710,1664.939,49374.939,0.966279674796155
9,2019,49959,1835.921,51794.921,0.964554034168717
9,2020,48015,744.967,48759.967,0.984721749298969
9,2021,95431,610.435,96041.435,0.993644045406027
10,2017,12,NA,12,1
10,2018,9,NA,9,1
10,2019,116,NA,116,1
10,2020,178,NA,178,1
10,2021,35,NA,35,1
11,2017,29,NA,29,1
11,2018,37,NA,37,1
11,2019,41,NA,41,1
11,2020,39,NA,39,1
11,2021,55,NA,55,1
13,2017,15,92.798,107.798,0.139149149334867
13,2018,2,101.541,103.541,0.0193160197409722
13,2019,2,80.937,82.937,0.0241146894630864
15,2017,976,NA,976,1
15,2018,625,NA,625,1
15,2019,209,NA,209,1
15,2020,410,NA,410,1
15,2021,495,NA,495,1
16,2017,16548,57735.601,74283.601,0.222767875779205
16,2018,13348,64067.474,77415.474,0.172420309665739
16,2019,14235,60242.852,74477.852,0.191130646463864
16,2020,8348,59228.97,67576.97,0.123533209612683
16,2021,8545,76491.127,85036.127,0.100486702551728
17,2017,2179,71361.999,73540.999,0.029629730757397
17,2018,2195,62902.715,65097.715,0.0337185414265309
17,2019,2142,89525.293,91667.293,0.023367113066162
17,2020,1506,31358.549,32864.549,0.0458244535776225
17,2021,1830,85515.286,87345.286,0.0209513310197416
18,2017,368,9.74,377.74,0.97421506856568
18,2018,258,1.724,259.724,0.993362184472748
18,2019,535,0.266,535.266,0.999503050819593
18,2020,153,1.561,154.561,0.989900427662864
18,2021,78,0.195,78.195,0.997506234413965
19,2017,642,NA,642,1
19,2018,503,NA,503,1
19,2019,291,NA,291,1
19,2020,324,NA,324,1
19,2021,304,NA,304,1
20,2017,1266,39822.02,41088.02,0.0308119008898458
20,2018,739,37813.321,38552.321,0.0191687551055616
20,2019,1159,42755.623,43914.623,0.0263921200006658
20,2020,263,30916.759,31179.759,0.00843495935937157
20,2021,286,57190.24,57476.24,0.0049759692004905
21,2017,413,201482.467,201895.467,0.00204561303994012
21,2018,834,156866.414,157700.414,0.0052885086275043
21,2019,1251,248411.436,249662.436,0.00501076581660847
21,2020,1805,208352.732,210157.732,0.00858878701641108
21,2021,1284,255688.819,256972.819,0.00499663740700918
22,2018,302,NA,302,1
22,2019,299,NA,299,1
22,2020,323,NA,323,1
22,2021,144,NA,144,1
23,2017,113,16637.462,16750.462,0.00674608258566241
23,2018,58,21217.211,21275.211,0.00272617742780553
23,2019,27,24261.116,24288.116,0.00111165476976477
23,2020,2,34355.413,34357.413,5.82116005067087e-05
23,2021,1,26001.358,26002.358,3.84580506121791e-05
24,2020,1,NA,1,1
25,2017,945,NA,945,1
25,2018,432,NA,432,1
25,2019,180,NA,180,1
25,2020,343,NA,343,1
25,2021,290,NA,290,1
26,2017,9436,NA,9436,1
26,2018,22408,NA,22408,1
26,2019,12329,NA,12329,1
26,2020,6163,NA,6163,1
26,2021,6759,NA,6759,1
27,2017,73,8.937,81.937,0.890928396206842
27,2018,62,24.087,86.087,0.72020165646381
27,2019,73,5.08,78.08,0.934938524590164
27,2020,38,16.493,54.493,0.697337272677225
27,2021,15,10.968,25.968,0.577634011090573
28,2017,61374,9015.774,70389.774,0.871916423541863
28,2018,32402,14355.845,46757.845,0.692974622761164
28,2019,50751,11257.851,62008.851,0.818447676122881
28,2020,63514,7274.186,70788.186,0.897240112919407
28,2021,69498,6479.688,75977.688,0.91471590975498
29,2017,433414,NA,433414,1
29,2018,339025,NA,339025,1
29,2019,447568,NA,447568,1
29,2020,412812,NA,412812,1
29,2021,497399,NA,497399,1
30,2017,56744,921.814,57665.814,0.984014549764268
30,2018,51700,2023.791,53723.791,0.962329706032845
30,2019,70591,1744.4,72335.4,0.975884559980314
30,2020,66148,1060.034,67208.034,0.984227570174125
30,2021,84316,1647.016,85963.016,0.980840411648656
31,2017,41,42662.82,42703.82,0.000960101461649098
31,2018,44,47877.053,47921.053,0.000918176818860804
31,2019,36,32432.379,32468.379,0.0011087710907896
31,2021,7,54109.8,54116.8,0.000129349850693315
32,2017,1,NA,1,1
33,2017,7736,39001.944,46737.944,0.165518620160099
33,2018,5413,45813.007,51226.007,0.105668981773262
33,2019,5163,44656.734,49819.734,0.103633632407592
33,2020,3869,58918.206,62787.206,0.061620834027875
33,2021,4743,42197.048,46940.048,0.101043782486119
34,2017,226,NA,226,1
34,2018,463,NA,463,1
34,2019,254,NA,254,1
34,2020,384,NA,384,1
34,2021,330,NA,330,1
35,2019,1,45.496,46.496,0.0215072264280798
35,2020,3,44.234,47.234,0.0635135707329466
36,2017,63,NA,63,1
36,2018,42,NA,42,1
36,2019,88,NA,88,1
36,2020,146,NA,146,1
36,2021,149,NA,149,1
37,2017,39,NA,39,1
37,2018,15,NA,15,1
37,2019,3,NA,3,1
37,2021,11,NA,11,1
38,2017,2859,12540.52,15399.52,0.185655137302981
38,2018,4149,12283.297,16432.297,0.252490567812887
38,2019,8251,9182.043,17433.043,0.473296601172842
38,2020,7446,30868.96,38314.96,0.194336624650006
38,2021,8774,11575.68,20349.68,0.431161571091044
39,2017,2151,18167.764,20318.764,0.10586273850122
39,2018,2409,76777.706,79186.706,0.030421773068828
39,2019,2285,43507.648,45792.648,0.0498988396565318
39,2020,1573,74209.527,75782.527,0.0207567636270561
39,2021,1634,46792.518,48426.518,0.0337418436733362
40,2017,69,NA,69,1
40,2018,80,NA,80,1
40,2019,23,NA,23,1
40,2020,14,NA,14,1
40,2021,14,NA,14,1
41,2017,149,NA,149,1
41,2018,271,NA,271,1
41,2019,495,NA,495,1
41,2020,473,NA,473,1
41,2021,373,NA,373,1
42,2017,336,NA,336,1
