"rgn_id","resilience_score"
1,1
2,0.09
3,0.15
4,0.26
5,0
6,0.41
7,0
8,0.11
9,0
10,0
11,0.86
12,0
13,0
14,1
15,0
16,0
17,0
18,1
19,1
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,1
29,0.91
30,0
31,0
32,0
33,0
34,0.67
35,0.33
36,0.29
37,0
38,0
39,0
40,0
41,0
42,0.22
43,1
44,1
45,1
46,1
47,0
49,0
50,1
51,0
53,0
54,0.65
55,0
56,0
57,0.13
58,0
59,0
60,0.13
61,0.69
62,0.67
63,0
64,1
65,0
66,0.83
67,0
69,0
70,0
71,0
73,0
74,0
75,0
76,0.48
77,0
78,0
79,1
80,0
83,0
85,0
87,0.25
88,0
89,0.58
91,0
92,0
93,0
94,0.75
95,0.09
97,0
99,0
100,0
101,1
102,0
103,0.75
