"rgn_id","resilience_score"
1,0.39
2,0.06
3,0.06
4,0.42
5,0.01
6,0.12
7,0.64
8,0.07
9,0.03
10,0.51
11,0.01
12,0.57
13,1
15,0.03
16,0.01
17,0.01
18,0.09
19,0.16
20,0.09
21,0.12
22,0.23
23,0
24,0.22
25,0.01
26,0.16
27,0.05
28,0.02
29,0.04
30,0.01
31,0
33,0.08
34,0.05
35,0
36,0.02
37,0
38,0.04
39,0.12
40,0.01
41,0
42,0.02
43,0.01
44,0.03
45,0.03
46,1
47,1
49,0.15
50,0.17
51,0.11
53,0
54,0.03
55,0.05
56,0.01
57,0.04
58,0.01
59,0.05
60,0.07
61,0.02
62,0.4
63,0.13
64,0.31
65,0.06
66,0.06
67,0.34
69,0.11
70,0.22
72,0.17
73,0.16
74,0.1
75,0.03
76,0.04
77,0
78,0
79,0
80,0.75
82,0
83,0.05
85,0.02
86,0.22
88,0.03
89,0.02
92,0
93,0.02
94,0.38
95,0.4
97,0.05
99,0.04
100,0.23
101,0.12
102,1
103,1
