"rgn_id","specie","status"
1,"Charadrius collaris","NT"
1,"Charadrius modestus","LC"
1,"Charadrius nivosus","VU"
1,"Chroicocephalus serranus","LC"
1,"Coscoroba coscoroba","LC"
1,"Cygnus melancoryphus","LC"
1,"Delphinus delphis","LC"
1,"Diomedea epomophora","VU"
1,"Epigonus crassicaudus","CR"
1,"Falco peregrinus","LC"
1,"Geranoaetus melanoleucus","LC"
1,"Haematopus palliatus","NT"
1,"Heterocarpus reedi","VU"
1,"Heteronetta atricapilla","LC"
1,"Ixobrychus involucris","LC"
1,"Larosterna inca","NT"
1,"Leucocarbo bougainvillii","NT"
1,"Leucophaeus modestus","VU"
1,"Leucophaeus pipixcan","LC"
1,"Lontra felina","EN"
1,"Macronectes giganteus","VU"
1,"Mesodesma donacium","EN"
1,"Mytilus chilensis","NT"
1,"Numenius phaeopus","LC"
1,"Otaria byronia","LC"
1,"Pandion haliaetus","LC"
1,"Pelecanoides garnotii","EN"
1,"Pelecanus thagus","NT"
1,"Phalacrocorax gaimardi","NT"
1,"Phoenicopterus chilensis","NT"
1,"Plegadis chihi","NT"
1,"Puffinus creatopus","EN"
1,"Puffinus griseus","NT"
1,"Spheniscus humboldti","VU"
1,"Sula variegata","LC"
1,"Thalassarche bulleri","NT"
1,"Thalassarche melanophris","LC"
1,"Thalassarche salvini","VU"
1,"Thalasseus elegans","NT"
1,"Tringa flavipes","LC"
2,"Ameghinomya antiqua","NT"
2,"Aulacomya atra","LC"
2,"Charadrius collaris","NT"
2,"Charadrius modestus","LC"
2,"Charadrius nivosus","VU"
2,"Chloephaga hybrida","VU"
2,"Coscoroba coscoroba","LC"
2,"Concholepas concholepas","EN"
2,"Cygnus melancoryphus","LC"
2,"Diomedea epomophora","VU"
2,"Diomedea exulans","VU"
2,"Ensis macha","VU"
2,"Enteroctopus megalocyathus","LC"
2,"Eubalaena australis","EN"
2,"Falco peregrinus","LC"
2,"Geranoaetus melanoleucus","LC"
2,"Haematopus palliatus","NT"
2,"Heteronetta atricapilla","LC"
2,"Ixobrychus involucris","LC"
2,"Lagenorhynchus australis","LC"
2,"Lagenorhynchus obscurus","LC"
2,"Leucocarbo bougainvillii","NT"
2,"Leucophaeus modestus","VU"
2,"Leucophaeus pipixcan","LC"
2,"Lontra felina","EN"
2,"Loxechinus albus","VU"
2,"Macronectes giganteus","VU"
2,"Mulinia edulis","VU"
2,"Mytilus chilensis","NT"
2,"Numenius phaeopus","LC"
2,"Ostrea chilensis","LC"
2,"Otaria byronia","LC"
2,"Pelecanus thagus","NT"
2,"Phalacrocorax gaimardi","NT"
2,"Phoenicopterus chilensis","NT"
2,"Plegadis chihi","NT"
2,"Puffinus creatopus","EN"
2,"Puffinus griseus","NT"
2,"Sarcopeltis skottsbergii","VU"
2,"Speculanas specularis","NT"
2,"Spheniscus humboldti","VU"
2,"Sula variegata","LC"
2,"Tachyeres patachonicus","LC"
2,"Tachyeres pteneres","NT"
2,"Tagelus dombeii","EN"
2,"Thalassarche melanophris","LC"
2,"Thalasseus elegans","NT"
2,"Tringa flavipes","LC"
2,"Zearaja chilensis","EN"
3,"Argopecten purpuratus","LC"
3,"Aulacomya atra","LC"
3,"Charadrius modestus","LC"
3,"Charadrius nivosus","VU"
3,"Chroicocephalus serranus","LC"
3,"Engraulis ringens","VU"
3,"Falco peregrinus","LC"
3,"Genypterus blacodes","EN"
3,"Geranoaetus melanoleucus","LC"
3,"Haematopus palliatus","NT"
3,"Larosterna inca","NT"
3,"Lepidochelys olivacea","VU"
3,"Leucocarbo bougainvillii","NT"
3,"Leucophaeus modestus","VU"
3,"Leucophaeus pipixcan","LC"
3,"Lontra felina","EN"
3,"Loxechinus albus","VU"
3,"Macronectes giganteus","VU"
3,"Macruronus magellanicus","CR"
3,"Megaptera novaeangliae","VU"
3,"Mytilus chilensis","NT"
3,"Numenius phaeopus","LC"
3,"Oceanodroma markhami","EN"
3,"Otaria byronia","LC"
3,"Pandion haliaetus","LC"
3,"Pelecanoides garnotii","EN"
3,"Pelecanus thagus","NT"
3,"Phalacrocorax gaimardi","NT"
3,"Phoenicopterus chilensis","NT"
3,"Pterodroma defilippiana","VU"
3,"Puffinus creatopus","EN"
3,"Puffinus griseus","NT"
3,"Spheniscus humboldti","VU"
3,"Sternula lorata","EN"
3,"Sula variegata","LC"
3,"Tagelus dombeii","EN"
3,"Thalassarche bulleri","NT"
3,"Thalassarche melanophris","LC"
3,"Thalassarche salvini","VU"
3,"Thalasseus elegans","NT"
3,"Tringa flavipes","LC"
4,"Charadrius collaris","NT"
4,"Charadrius modestus","LC"
4,"Chloephaga hybrida","VU"
4,"Coscoroba coscoroba","LC"
4,"Cygnus melancoryphus","LC"
4,"Diomedea epomophora","VU"
4,"Diomedea exulans","VU"
4,"Ensis macha","VU"
4,"Falco peregrinus","LC"
4,"Geranoaetus melanoleucus","LC"
4,"Haematopus palliatus","NT"
4,"Heteronetta atricapilla","LC"
4,"Ixobrychus involucris","LC"
4,"Larosterna inca","NT"
4,"Laterallus jamaicensis","NT"
4,"Leucocarbo bougainvillii","NT"
4,"Leucophaeus modestus","VU"
4,"Leucophaeus pipixcan","LC"
4,"Macronectes giganteus","VU"
4,"Mulinia edulis","VU"
4,"Mytilus chilensis","NT"
4,"Numenius phaeopus","LC"
4,"Pelecanus thagus","NT"
4,"Phalacrocorax gaimardi","NT"
4,"Phoenicopterus chilensis","NT"
4,"Plegadis chihi","NT"
4,"Pterodroma longirostris","EN"
4,"Puffinus creatopus","EN"
4,"Puffinus griseus","NT"
4,"Sula variegata","LC"
4,"Thalassarche bulleri","NT"
4,"Thalassarche melanophris","LC"
4,"Thalassarche salvini","VU"
4,"Thalasseus elegans","NT"
4,"Tringa flavipes","LC"
5,"Brama australis","EN"
5,"Charadrius collaris","NT"
5,"Charadrius modestus","LC"
5,"Charadrius nivosus","VU"
5,"Chelonia mydas","EN"
