"rgn_id","specie","trend"
1,"Charadrius collaris","Decreciendo"
1,"Charadrius modestus","Decreciendo"
1,"Charadrius nivosus","Decreciendo"
1,"Chroicocephalus serranus","Decreciendo"
1,"Coscoroba coscoroba","Decreciendo"
1,"Cygnus melancoryphus","Decreciendo"
1,"Delphinus delphis","Estable"
1,"Diomedea epomophora","Decreciendo"
1,"Epigonus crassicaudus","Decreciendo"
1,"Falco peregrinus","Estable"
1,"Geranoaetus melanoleucus","Estable"
1,"Haematopus palliatus","Estable"
1,"Heterocarpus reedi","Estable"
1,"Heteronetta atricapilla","Estable"
1,"Ixobrychus involucris","Creciendo"
1,"Larosterna inca","Estable"
1,"Leucocarbo bougainvillii","Estable"
1,"Leucophaeus modestus","Decreciendo"
1,"Leucophaeus pipixcan","Decreciendo"
1,"Lontra felina","Estable"
1,"Macronectes giganteus","Decreciendo"
1,"Mesodesma donacium","Decreciendo"
1,"Mytilus chilensis","Estable"
1,"Numenius phaeopus","Estable"
1,"Otaria byronia","Estable"
1,"Pandion haliaetus","Estable"
1,"Pelecanoides garnotii","Creciendo"
1,"Pelecanus thagus","Creciendo"
1,"Phalacrocorax gaimardi","Decreciendo"
1,"Phoenicopterus chilensis","Estable"
1,"Plegadis chihi","Decreciendo"
1,"Puffinus creatopus","Decreciendo"
1,"Puffinus griseus","Decreciendo"
1,"Spheniscus humboldti","Estable"
1,"Sula variegata","Decreciendo"
1,"Thalassarche bulleri","Estable"
1,"Thalassarche melanophris","Estable"
1,"Thalassarche salvini","Creciendo"
1,"Thalasseus elegans","Estable"
1,"Tringa flavipes","Estable"
2,"Ameghinomya antiqua","Estable"
2,"Aulacomya atra","Estable"
2,"Charadrius collaris","Decreciendo"
2,"Charadrius modestus","Decreciendo"
2,"Charadrius nivosus","Decreciendo"
2,"Chloephaga hybrida","Decreciendo"
2,"Coscoroba coscoroba","Decreciendo"
2,"Concholepas concholepas","Decreciendo"
2,"Cygnus melancoryphus","Decreciendo"
2,"Diomedea epomophora","Decreciendo"
2,"Diomedea exulans","Estable"
2,"Ensis macha","Estable"
2,"Enteroctopus megalocyathus","Decreciendo"
2,"Eubalaena australis","Decreciendo"
2,"Falco peregrinus","Estable"
2,"Geranoaetus melanoleucus","Estable"
2,"Haematopus palliatus","Estable"
2,"Heteronetta atricapilla","Estable"
2,"Ixobrychus involucris","Creciendo"
2,"Lagenorhynchus australis","Estable"
2,"Lagenorhynchus obscurus","Estable"
2,"Leucocarbo bougainvillii","Estable"
2,"Leucophaeus modestus","Decreciendo"
2,"Leucophaeus pipixcan","Decreciendo"
2,"Lontra felina","Estable"
2,"Loxechinus albus","Decreciendo"
2,"Macronectes giganteus","Decreciendo"
2,"Mulinia edulis","Estable"
2,"Mytilus chilensis","Estable"
2,"Numenius phaeopus","Estable"
2,"Ostrea chilensis","Decreciendo"
2,"Otaria byronia","Estable"
2,"Pelecanus thagus","Creciendo"
2,"Phalacrocorax gaimardi","Decreciendo"
2,"Phoenicopterus chilensis","Estable"
2,"Plegadis chihi","Decreciendo"
2,"Puffinus creatopus","Decreciendo"
2,"Puffinus griseus","Decreciendo"
2,"Sarcopeltis skottsbergii","Estable"
2,"Speculanas specularis","Decreciendo"
2,"Spheniscus humboldti","Estable"
2,"Sula variegata","Decreciendo"
2,"Tachyeres patachonicus","Estable"
2,"Tachyeres pteneres","Decreciendo"
2,"Tagelus dombeii","Decreciendo"
2,"Thalassarche melanophris","Estable"
2,"Thalasseus elegans","Estable"
2,"Tringa flavipes","Estable"
2,"Zearaja chilensis","Estable"
3,"Argopecten purpuratus","Estable"
3,"Aulacomya atra","Estable"
3,"Charadrius modestus","Decreciendo"
3,"Charadrius nivosus","Decreciendo"
3,"Chroicocephalus serranus","Decreciendo"
3,"Engraulis ringens","Creciendo"
3,"Falco peregrinus","Estable"
3,"Genypterus blacodes","Creciendo"
3,"Geranoaetus melanoleucus","Estable"
3,"Haematopus palliatus","Estable"
3,"Larosterna inca","Estable"
3,"Lepidochelys olivacea","Decreciendo"
3,"Leucocarbo bougainvillii","Estable"
3,"Leucophaeus modestus","Decreciendo"
3,"Leucophaeus pipixcan","Decreciendo"
3,"Lontra felina","Estable"
3,"Loxechinus albus","Decreciendo"
3,"Macronectes giganteus","Decreciendo"
3,"Macruronus magellanicus","Decreciendo"
3,"Megaptera novaeangliae","Creciendo"
3,"Mytilus chilensis","Estable"
3,"Numenius phaeopus","Estable"
3,"Oceanodroma markhami","Decreciendo"
3,"Otaria byronia","Estable"
3,"Pandion haliaetus","Estable"
3,"Pelecanoides garnotii","Creciendo"
3,"Pelecanus thagus","Creciendo"
3,"Phalacrocorax gaimardi","Decreciendo"
3,"Phoenicopterus chilensis","Estable"
3,"Pterodroma defilippiana","Decreciendo"
3,"Puffinus creatopus","Decreciendo"
