"rgn_id","pressure_score"
1,0.000167127
2,0.015473518
3,0.007623378
4,0.019446559
5,0.608751044
6,0.014826939
7,0.001640717
8,0.102836429
9,0.278091356
10,0.000170922
11,0.002659844
12,1.63e-06
13,3.25e-05
14,7.39e-07
15,0.001077943
16,0.009679615
17,0.001200656
18,0.004808892
19,0.001507261
20,0.000658134
21,0.002202206
22,0.000707169
23,5.1e-05
24,7.83e-06
25,0.001162654
26,0.015375528
28,0.195505109
29,0.930709476
30,0.360257819
31,0.000333236
32,2.3e-06
33,0.013602099
34,0.001691708
35,0.000553023
36,0.006490051
37,0
38,0.002426486
39,0.00862011
40,0.000232605
41,0.001781958
42,0.009832502
43,0.247989376
44,0.001990828
45,0.003014792
46,5.98e-06
47,2.51e-07
49,0.148643059
50,0.01487882
51,6.31e-05
53,0.001225971
54,0.003947644
55,0.404911019
56,0.001967547
57,0.015044995
58,0.291543786
59,0.007880792
60,0.000183462
61,0.009126423
62,0.000997845
63,0.002001913
64,0.009552824
65,0.000989962
66,0.001925623
67,0.001687673
69,0.000702284
70,0.008055366
71,1.57e-05
72,0.005849358
73,6.43e-05
74,9.96e-05
75,0.008510381
76,0.020170466
77,0.004271139
78,0.002735463
79,0.014763522
80,1.78e-06
81,0.000143227
82,3.3e-05
83,0.045995698
85,0.001810174
86,6.14e-05
87,3.6e-05
88,1
89,0.011266156
92,0.006777364
93,0.004754564
94,0.006304477
95,0.014575233
97,0.000404742
98,2.57e-06
99,0.024495975
100,0.006354386
101,0.001793408
102,1.15e-05
103,5.7e-05
