"rgn_id","Sector","year","gdp_usd"
1,"Alojamiento","2017",298957.024
1,"Pesca","2017",
1,"Turismo","2017",
2,"Acuicultura","2017",23449526.8816
2,"Alojamiento","2017",2277025.7264
2,"Pesca","2017",5943149.5504
2,"Transporte","2017",
2,"Turismo","2017",
3,"Acuicultura","2017",
3,"Alojamiento","2017",9952845.5552
3,"Pesca","2017",
3,"Transporte","2017",
3,"Turismo","2017",1671829.0576
4,"Acuicultura","2017",
4,"Alojamiento","2017",2575045.784
4,"Pesca","2017",971576.1584
4,"Transporte","2017",
4,"Turismo","2017",
5,"Acuicultura","2017",
5,"Alojamiento","2017",2430790.7248
5,"Pesca","2017",15507796.9776
5,"Transporte","2017",
5,"Turismo","2017",35132557.776
6,"Acuicultura","2017",17645690.8368
6,"Alojamiento","2017",2184215.6976
6,"Pesca","2017",1227586.4912
6,"Transporte","2017",0
6,"Turismo","2017",131557.456
7,"Acuicultura","2017",
7,"Alojamiento","2017",
7,"Pesca","2017",1734439.0048
7,"Transporte","2017",
7,"Turismo","2017",
8,"Acuicultura","2017",96418961.256
8,"Alojamiento","2017",0
8,"Pesca","2017",1170295.7616
8,"Transporte","2017",2013480.9968
8,"Turismo","2017",
9,"Acuicultura","2017",3840734.976
9,"Alojamiento","2017",1360804.7696
9,"Pesca","2017",27725762.4016
9,"Transporte","2017",
9,"Turismo","2017",
11,"Alojamiento","2017",
11,"Pesca","2017",
12,"Alojamiento","2017",0
12,"Pesca","2017",
12,"Turismo","2017",
14,"Alojamiento","2017",613990.3952
14,"Pesca","2017",
14,"Transporte","2017",
14,"Turismo","2017",
15,"Alojamiento","2017",0
15,"Pesca","2017",31768.736
15,"Turismo","2017",
16,"Acuicultura","2017",37597842.2624
16,"Alojamiento","2017",1800705.9984
16,"Pesca","2017",
16,"Transporte","2017",7471849.3472
16,"Turismo","2017",0
17,"Acuicultura","2017",
17,"Alojamiento","2017",1404661.0016
17,"Pesca","2017",
17,"Transporte","2017",
17,"Turismo","2017",
19,"Alojamiento","2017",
19,"Pesca","2017",
18,"Acuicultura","2017",
18,"Alojamiento","2017",862271.6544
18,"Pesca","2017",
18,"Turismo","2017",
20,"Acuicultura","2017",384020227.1936
20,"Alojamiento","2017",459623.832
20,"Pesca","2017",
20,"Transporte","2017",
20,"Turismo","2017",
21,"Acuicultura","2017",9481275.4016
21,"Alojamiento","2017",1615072.9024
21,"Pesca","2017",0
21,"Transporte","2017",
21,"Turismo","2017",
23,"Acuicultura","2017",1608653.9632
23,"Alojamiento","2017",40919.8944
23,"Pesca","2017",
23,"Transporte","2017",
23,"Turismo","2017",
24,"Alojamiento","2017",731080.1728
24,"Pesca","2017",
24,"Turismo","2017",
25,"Acuicultura","2017",
25,"Alojamiento","2017",0
25,"Pesca","2017",
25,"Transporte","2017",
25,"Turismo","2017",
26,"Acuicultura","2017",
26,"Alojamiento","2017",1593689.4768
26,"Pesca","2017",6906931.8928
26,"Transporte","2017",
26,"Turismo","2017",
27,"Acuicultura","2017",
27,"Alojamiento","2017",8824800.0544
27,"Pesca","2017",
27,"Transporte","2017",
27,"Turismo","2017",0
28,"Acuicultura","2017",7409676.8608
28,"Alojamiento","2017",4728486.8112
28,"Pesca","2017",75146778.8352
28,"Transporte","2017",
28,"Turismo","2017",
29,"Acuicultura","2017",
29,"Alojamiento","2017",383485.8704
29,"Pesca","2017",326113633.7152
29,"Transporte","2017",
29,"Turismo","2017",
30,"Acuicultura","2017",
30,"Alojamiento","2017",88400.352
30,"Pesca","2017",225908.7136
30,"Transporte","2017",
30,"Turismo","2017",
31,"Acuicultura","2017",0
31,"Alojamiento","2017",
31,"Pesca","2017",
31,"Transporte","2017",
32,"Alojamiento","2017",
32,"Pesca","2017",
32,"Turismo","2017",
33,"Acuicultura","2017",42883063.3584
33,"Alojamiento","2017",209195.2832
33,"Pesca","2017",717766.168
33,"Transporte","2017",0
33,"Turismo","2017",
34,"El Quisco","2017",964274.6544
34,"Alojamiento","2017",964274.6544
34,"Pesca","2017",
34,"Turismo","2017",
35,"Acuicultura","2017",
35,"Alojamiento","2017",316129.496
35,"Pesca","2017",
35,"Turismo","2017",
36,"Acuicultura","2017",
36,"Alojamiento","2017",0
36,"Pesca","2017",
36,"Transporte","2017",
36,"Turismo","2017",
37,"Acuicultura","2017",
37,"Alojamiento","2017",
37,"Pesca","2017",
37,"Transporte","2017",
37,"Turismo","2017",
38,"Acuicultura","2017",
38,"Alojamiento","2017",0
38,"Pesca","2017",
38,"Transporte","2017",
39,"Acuicultura","2017",2463299.0528
39,"Alojamiento","2017",168373.4016
39,"Pesca","2017",402362.3264
39,"Transporte","2017",
39,"Turismo","2017",
40,"Acuicultura","2017",
40,"Alojamiento","2017",
40,"Pesca","2017",
40,"Transporte","2017",
40,"Turismo","2017",
41,"Alojamiento","2017",
41,"Pesca","2017",
41,"Transporte","2017",
41,"Turismo","2017",
42,"Acuicultura","2017",
42,"Alojamiento","2017",449156.6944
42,"Pesca","2017",
42,"Transporte","2017",
42,"Turismo","2017",
43,"Acuicultura","2017",
43,"Alojamiento","2017",4271097.4912
43,"Pesca","2017",2705920.7472
43,"Transporte","2017",
43,"Turismo","2017",1843768.2368
44,"Acuicultura","2017",
44,"Alojamiento","2017",977663.7424
44,"Pesca","2017",
44,"Turismo","2017",
45,"Acuicultura","2017",
45,"Alojamiento","2017",
45,"Pesca","2017",
45,"Turismo","2017",
46,"Acuicultura","2017",
46,"Alojamiento","2017",4868396.0368
46,"Pesca","2017",
46,"Transporte","2017",
46,"Turismo","2017",4105038.6304
47,"Acuicultura","2017",
47,"Alojamiento","2017",400409.7136
47,"Pesca","2017",
47,"Transporte","2017",
47,"Turismo","2017",
48,"Alojamiento","2017",
49,"Acuicultura","2017",
49,"Alojamiento","2017",
49,"Pesca","2017",35767210.4384
49,"Transporte","2017",
49,"Turismo","2017",
50,"Alojamiento","2017",1210347.928
50,"Pesca","2017",
50,"Turismo","2017",
51,"Alojamiento","2017",
51,"Turismo","2017",
52,"Alojamiento","2017",
52,"Pesca","2017",
52,"Turismo","2017",
53,"Acuicultura","2017",
53,"Alojamiento","2017",
53,"Pesca","2017",
53,"Transporte","2017",
53,"Turismo","2017",
54,"Acuicultura","2017",
54,"Alojamiento","2017",2557906.5824
54,"Pesca","2017",579332.08
54,"Transporte","2017",
54,"Turismo","2017",
55,"Acuicultura","2017",
55,"Alojamiento","2017",
55,"Pesca","2017",58179519.112
55,"Transporte","2017",
55,"Turismo","2017",
57,"Acuicultura","2017",0
56,"Alojamiento","2017",996678.6752
56,"Pesca","2017",
56,"Transporte","2017",
56,"Turismo","2017",
57,"Acuicultura","2017",0
57,"Alojamiento","2017",
57,"Pesca","2017",962501.8816
57,"Transporte","2017",
57,"Turismo","2017",
58,"Acuicultura","2017",
58,"Alojamiento","2017",3227512.048
58,"Pesca","2017",
58,"Transporte","2017",
59,"Acuicultura","2017",0
59,"Alojamiento","2017",5485352.4432
59,"Pesca","2017",27282709.4768
59,"Transporte","2017",0
59,"Turismo","2017",2745484.648
60,"Acuicultura","2017",
60,"Alojamiento","2017",218636.4336
60,"Pesca","2017",
60,"Turismo","2017",
61,"Acuicultura","2017",
61,"Alojamiento","2017",131991.32
61,"Pesca","2017",5545293.1152
61,"Transporte","2017",
61,"Turismo","2017",
62,"Acuicultura","2017",
62,"Alojamiento","2017",
62,"Pesca","2017",
62,"Transporte","2017",
62,"Turismo","2017",
63,"Acuicultura","2017",
63,"Alojamiento","2017",
63,"Pesca","2017",
63,"Transporte","2017",
63,"Turismo","2017",
64,"Acuicultura","2017",
64,"Alojamiento","2017",525648.4912
64,"Pesca","2017",401764.808
64,"Transporte","2017",
64,"Turismo","2017",
65,"Acuicultura","2017",
65,"Alojamiento","2017",
65,"Pesca","2017",
65,"Transporte","2017",
66,"Acuicultura","2017",
66,"Alojamiento","2017",2309913.0672
66,"Pesca","2017",
66,"Transporte","2017",
66,"Turismo","2017",
67,"Acuicultura","2017",
67,"Alojamiento","2017",1222309.0864
67,"Pesca","2017",1766419.5024
67,"Transporte","2017",
67,"Turismo","2017",
68,"Alojamiento","2017",
69,"Acuicultura","2017",
69,"Alojamiento","2017",222775.9008
69,"Pesca","2017",
69,"Transporte","2017",
69,"Turismo","2017",
70,"Acuicultura","2017",5477181376.832
70,"Alojamiento","2017",5291693.5376
