"rgn_id","Sector","year","jobs"
1,"Alojamiento","2017",14
1,"Pesca","2017",2
2,"Acuicultura","2017",1600
2,"Alojamiento","2017",147
2,"Pesca","2017",274
2,"Transporte","2017",167
2,"Turismo","2017",14
3,"Acuicultura","2017",293
3,"Alojamiento","2017",276
3,"Pesca","2017",69
3,"Transporte","2017",148
3,"Turismo","2017",61
4,"Acuicultura","2017",6
4,"Alojamiento","2017",88
4,"Pesca","2017",71
4,"Transporte","2017",0
4,"Turismo","2017",0
5,"Acuicultura","2017",14
5,"Alojamiento","2017",192
5,"Pesca","2017",916
5,"Transporte","2017",131
5,"Turismo","2017",149
6,"Acuicultura","2017",1123
6,"Alojamiento","2017",131
6,"Pesca","2017",1166
6,"Transporte","2017",225
6,"Turismo","2017",40
7,"Acuicultura","2017",20
7,"Alojamiento","2017",28
7,"Pesca","2017",23
7,"Transporte","2017",0
7,"Turismo","2017",50
8,"Acuicultura","2017",1038
8,"Alojamiento","2017",26
8,"Pesca","2017",377
8,"Transporte","2017",107
8,"Turismo","2017",0
9,"Acuicultura","2017",168
9,"Alojamiento","2017",38
9,"Pesca","2017",828
9,"Transporte","2017",91
9,"Turismo","2017",16
11,"Alojamiento","2017",12
11,"Pesca","2017",1
12,"Alojamiento","2017",27
12,"Pesca","2017",9
12,"Turismo","2017",0
14,"Alojamiento","2017",22
14,"Pesca","2017",24
14,"Turismo","2017",22
15,"Alojamiento","2017",17
15,"Pesca","2017",1
15,"Turismo","2017",0
16,"Acuicultura","2017",2242
16,"Alojamiento","2017",137
16,"Pesca","2017",80
16,"Transporte","2017",532
16,"Turismo","2017",1
17,"Acuicultura","2017",6
17,"Alojamiento","2017",46
17,"Pesca","2017",6
17,"Transporte","2017",13
19,"Alojamiento","2017",14
19,"Pesca","2017",0
18,"Acuicultura","2017",22
18,"Alojamiento","2017",38
18,"Pesca","2017",29
18,"Turismo","2017",0
20,"Acuicultura","2017",3436
20,"Alojamiento","2017",29
20,"Pesca","2017",1062
20,"Transporte","2017",110
20,"Turismo","2017",2
21,"Acuicultura","2017",411
21,"Alojamiento","2017",61
21,"Pesca","2017",19
21,"Transporte","2017",16
21,"Turismo","2017",7
23,"Acuicultura","2017",112
23,"Alojamiento","2017",19
23,"Pesca","2017",2
23,"Transporte","2017",0
23,"Turismo","2017",19
24,"Alojamiento","2017",17
25,"Acuicultura","2017",4
25,"Alojamiento","2017",25
25,"Turismo","2017",0
26,"Acuicultura","2017",1
26,"Alojamiento","2017",62
26,"Pesca","2017",286
26,"Turismo","2017",16
27,"Acuicultura","2017",1
27,"Alojamiento","2017",340
27,"Pesca","2017",51
27,"Turismo","2017",7
28,"Acuicultura","2017",345
28,"Alojamiento","2017",266
28,"Pesca","2017",1618
28,"Transporte","2017",66
28,"Turismo","2017",25
29,"Acuicultura","2017",210
29,"Alojamiento","2017",34
29,"Pesca","2017",6527
29,"Transporte","2017",698
29,"Turismo","2017",0
30,"Acuicultura","2017",36
30,"Alojamiento","2017",7
30,"Pesca","2017",5
30,"Transporte","2017",28
31,"Acuicultura","2017",401
31,"Alojamiento","2017",2
31,"Pesca","2017",0
31,"Transporte","2017",6
32,"Alojamiento","2017",0
32,"Pesca","2017",1
33,"Acuicultura","2017",1857
33,"Alojamiento","2017",32
33,"Pesca","2017",98
33,"Transporte","2017",124
33,"Turismo","2017",1
34,"Alojamiento","2017",83
34,"Pesca","2017",26
34,"Turismo","2017",0
35,"Acuicultura","2017",0
35,"Alojamiento","2017",19
35,"Pesca","2017",2
35,"Turismo","2017",9
36,"Acuicultura","2017",35
36,"Alojamiento","2017",12
36,"Pesca","2017",4
36,"Transporte","2017",2
36,"Turismo","2017",8
37,"Alojamiento","2017",2
37,"Pesca","2017",1
37,"Transporte","2017",0
37,"Turismo","2017",1
38,"Acuicultura","2017",50
38,"Alojamiento","2017",33
38,"Pesca","2017",12
38,"Transporte","2017",13
39,"Acuicultura","2017",149
39,"Alojamiento","2017",24
39,"Pesca","2017",10
39,"Transporte","2017",4
39,"Turismo","2017",2
40,"Acuicultura","2017",32
40,"Alojamiento","2017",5
40,"Pesca","2017",184
40,"Transporte","2017",0
40,"Turismo","2017",10
41,"Alojamiento","2017",2
41,"Pesca","2017",2
41,"Turismo","2017",1
42,"Acuicultura","2017",16
42,"Alojamiento","2017",35
42,"Pesca","2017",3
42,"Turismo","2017",0
43,"Acuicultura","2017",568
43,"Alojamiento","2017",568
43,"Pesca","2017",300
43,"Transporte","2017",121
43,"Turismo","2017",74
44,"Acuicultura","2017",0
44,"Alojamiento","2017",57
44,"Pesca","2017",6
44,"Turismo","2017",0
45,"Acuicultura","2017",1
45,"Alojamiento","2017",5
45,"Pesca","2017",7
45,"Turismo","2017",18
46,"Acuicultura","2017",191
46,"Alojamiento","2017",321
46,"Pesca","2017",108
46,"Transporte","2017",0
46,"Turismo","2017",146
47,"Acuicultura","2017",238
