"rgn_id","sector","weight"
1,"Alojamiento",1
2,"Acuicultura",1
2,"Alojamiento",1
2,"Pesca",1
3,"Alojamiento",1
3,"Turismo",1
4,"Alojamiento",1
4,"Pesca",1
5,"Alojamiento",1
5,"Pesca",1
5,"Turismo",1
6,"Acuicultura",1
6,"Alojamiento",1
6,"Pesca",1
6,"Transporte",1
6,"Turismo",1
7,"Pesca",1
8,"Acuicultura",1
8,"Alojamiento",1
8,"Pesca",1
8,"Transporte",1
9,"Acuicultura",1
9,"Alojamiento",1
9,"Pesca",1
12,"Alojamiento",1
14,"Alojamiento",1
15,"Alojamiento",1
15,"Pesca",1
16,"Acuicultura",1
16,"Alojamiento",1
16,"Transporte",1
16,"Turismo",1
17,"Alojamiento",1
18,"Alojamiento",1
20,"Acuicultura",1
20,"Alojamiento",1
21,"Acuicultura",1
21,"Alojamiento",1
21,"Pesca",1
23,"Acuicultura",1
23,"Alojamiento",1
24,"Alojamiento",1
25,"Alojamiento",1
26,"Alojamiento",1
26,"Pesca",1
27,"Alojamiento",1
27,"Turismo",1
28,"Acuicultura",1
28,"Alojamiento",1
28,"Pesca",1
29,"Alojamiento",1
29,"Pesca",1
30,"Alojamiento",1
30,"Pesca",1
31,"Acuicultura",1
33,"Acuicultura",1
33,"Alojamiento",1
33,"Pesca",1
33,"Transporte",1
34,"Alojamiento",1
35,"Alojamiento",1
36,"Alojamiento",1
38,"Alojamiento",1
39,"Acuicultura",1
39,"Alojamiento",1
39,"Pesca",1
42,"Alojamiento",1
43,"Alojamiento",1
43,"Pesca",1
43,"Turismo",1
44,"Alojamiento",1
46,"Alojamiento",1
46,"Turismo",1
47,"Alojamiento",1
49,"Pesca",1
50,"Alojamiento",1
54,"Alojamiento",1
54,"Pesca",1
55,"Pesca",1
57,"Acuicultura",1
56,"Alojamiento",1
57,"Acuicultura",1
57,"Pesca",1
58,"Alojamiento",1
59,"Acuicultura",1
59,"Alojamiento",1
59,"Pesca",1
59,"Transporte",1
59,"Turismo",1
60,"Alojamiento",1
61,"Alojamiento",1
61,"Pesca",1
64,"Alojamiento",1
64,"Pesca",1
66,"Alojamiento",1
67,"Alojamiento",1
67,"Pesca",1
69,"Alojamiento",1
70,"Acuicultura",1
70,"Alojamiento",1
70,"Pesca",1
70,"Transporte",1
70,"Turismo",1
71,"Acuicultura",1
71,"Alojamiento",1
71,"Transporte",1
71,"Turismo",1
72,"Acuicultura",1
72,"Alojamiento",1
72,"Pesca",1
72,"Transporte",1
72,"Turismo",1
73,"Acuicultura",1
73,"Alojamiento",1
75,"Acuicultura",1
75,"Pesca",1
76,"Acuicultura",1
76,"Alojamiento",1
76,"Pesca",1
76,"Transporte",1
78,"Acuicultura",1
78,"Transporte",1
79,"Alojamiento",1
79,"Pesca",1
83,"Alojamiento",1
83,"Pesca",1
85,"Alojamiento",1
86,"Alojamiento",1
86,"Turismo",1
88,"Alojamiento",1
88,"Pesca",1
89,"Alojamiento",1
89,"Pesca",1
92,"Alojamiento",1
93,"Acuicultura",1
93,"Alojamiento",1
94,"Pesca",1
95,"Alojamiento",1
95,"Pesca",1
99,"Acuicultura",1
99,"Alojamiento",1
99,"Pesca",1
99,"Transporte",1
99,"Turismo",1
100,"Alojamiento",1
100,"Pesca",1
100,"Transporte",1
100,"Turismo",1
102,"Alojamiento",1
102,"Turismo",1
