"rgn_id","year","value_3"
1,2017,10.7
2,2017,5.9
3,2017,3.3
4,2017,60
5,2017,9.1
6,2017,0.4
7,2017,3.1
8,2017,3.2
9,2017,7.9
10,2017,0.8
11,2017,2.7
12,2017,75.1
13,2017,23.1
14,2017,6.5
15,2017,29.3
16,2017,0.6
17,2017,0.9
18,2017,6.8
19,2017,10.6
20,2017,1
21,2017,4.2
22,2017,9.4
23,2017,1.9
24,2017,5.2
25,2017,31
26,2017,5.1
27,2017,12.6
28,2017,12.3
29,2017,1.6
30,2017,8.6
31,2017,1.8
32,2017,25
33,2017,0.4
34,2017,7.1
35,2017,9.6
36,2017,34
37,2017,5
38,2017,1.6
39,2017,6.7
40,2017,9.7
41,2017,18.7
42,2017,11.7
43,2017,12.8
44,2017,16.3
45,2017,9.8
46,2017,8.5
47,2017,14.1
48,2017,11.9
49,2017,22.3
50,2017,2.8
51,2017,33.9
52,2017,18.1
53,2017,23.9
54,2017,9.8
55,2017,2.3
56,2017,73
57,2017,34.6
58,2017,3
59,2017,0
60,2017,32
61,2017,5.1
62,2017,22.1
63,2017,2.8
64,2017,16
65,2017,14
66,2017,5
67,2017,0.9
68,2017,0.1
69,2017,5.2
70,2017,15.2
71,2017,41.6
72,2017,0
73,2017,8.4
74,2017,32
75,2017,5.1
76,2017,0.3
77,2017,7.5
78,2017,14.5
79,2017,19.2
80,2017,10.4
81,2017,0.6
82,2017,44.5
83,2017,5.8
84,2017,3.9
85,2017,0
86,2017,0
87,2017,26.7
88,2017,15.8
89,2017,2.6
90,2017,98.8
91,2017,0
92,2017,99.8
93,2017,3.9
94,2017,98.1
95,2017,8.7
96,2017,0
97,2017,0
98,2017,0.1
99,2017,20.9
100,2017,20.9
101,2017,5.2
102,2017,2.6
103,2017,5.3
1,2018,10.7
2,2018,5.9
3,2018,3.3
4,2018,93.9
5,2018,9.1
6,2018,1.1
7,2018,3.1
8,2018,7.4
9,2018,7.9
10,2018,0.8
11,2018,2.7
12,2018,75.1
13,2018,23.1
14,2018,6.5
15,2018,29.3
16,2018,1.7
17,2018,1.6
18,2018,6.8
19,2018,10.6
20,2018,1
21,2018,5.1
22,2018,9.4
23,2018,1.9
24,2018,5.2
25,2018,31
26,2018,5.1
27,2018,12.6
28,2018,12.3
29,2018,1.6
30,2018,8.8
31,2018,1.8
32,2018,25
33,2018,0.4
34,2018,7.1
35,2018,9.6
36,2018,34.2
37,2018,5
38,2018,1.6
39,2018,6.7
40,2018,9.7
41,2018,18.7
42,2018,11.7
43,2018,12.8
44,2018,16.3
45,2018,9.8
46,2018,8.5
47,2018,14.1
48,2018,11.9
49,2018,22.3
50,2018,2.8
51,2018,33.9
52,2018,18.1
53,2018,24.1
54,2018,9.8
55,2018,2.3
56,2018,73
57,2018,34.6
58,2018,3
59,2018,0
60,2018,32
61,2018,5.1
62,2018,22.1
63,2018,2.8
64,2018,16
65,2018,14
66,2018,5
67,2018,0.9
68,2018,0.1
69,2018,5.2
70,2018,17.1
71,2018,41.6
72,2018,0
73,2018,8.4
74,2018,32
75,2018,5.1
76,2018,0.3
77,2018,7.5
78,2018,14.7
79,2018,19.2
80,2018,10.4
81,2018,0.6
82,2018,44.5
83,2018,5.8
84,2018,3.9
85,2018,0
86,2018,0
87,2018,26.7
88,2018,15.8
89,2018,2.6
90,2018,98.8
91,2018,36.1
92,2018,99.8
93,2018,3.9
94,2018,98.1
95,2018,8.7
96,2018,0
97,2018,8.6
98,2018,0.1
99,2018,20.9
100,2018,20.9
101,2018,5.2
102,2018,2.6
103,2018,5.3
1,2019,10.7
2,2019,7.4
3,2019,3.3
4,2019,93.9
5,2019,9.1
6,2019,1.4
7,2019,3.1
8,2019,7.7
9,2019,8
10,2019,0.8
11,2019,2.7
12,2019,75.1
13,2019,23.1
14,2019,6.5
15,2019,29.3
16,2019,83.5
17,2019,2.3
18,2019,6.8
19,2019,10.6
20,2019,1.7
21,2019,5.6
22,2019,13.3
23,2019,1.9
24,2019,5.2
25,2019,31
26,2019,5.1
27,2019,12.6
28,2019,12.5
29,2019,1.6
30,2019,8.8
31,2019,22
32,2019,25
33,2019,5.5
34,2019,7.1
35,2019,9.6
36,2019,34.2
37,2019,5
38,2019,1.8
39,2019,6.7
40,2019,9.7
41,2019,18.7
42,2019,11.7
43,2019,13
44,2019,16.3
45,2019,9.8
46,2019,8.5
47,2019,14.1
48,2019,11.9
49,2019,22.3
50,2019,2.8
51,2019,33.9
52,2019,18.1
53,2019,24.1
54,2019,9.8
55,2019,2.5
56,2019,73
57,2019,34.6
58,2019,3
59,2019,0
60,2019,32
61,2019,5.1
62,2019,22.1
63,2019,2.8
64,2019,16
65,2019,14
66,2019,5
67,2019,0.9
68,2019,25.6
69,2019,5.2
70,2019,17.4
71,2019,41.6
72,2019,0
73,2019,23
74,2019,32
75,2019,11.2
76,2019,3.8
77,2019,12.6
78,2019,22.1
79,2019,19.2
80,2019,10.4
81,2019,0.6
82,2019,44.5
83,2019,5.8
84,2019,3.9
85,2019,0
86,2019,0
87,2019,26.7
88,2019,15.8
89,2019,3.4
90,2019,98.8
91,2019,36.1
92,2019,99.8
93,2019,3.9
94,2019,98.1
95,2019,8.7
96,2019,0
97,2019,8.6
98,2019,2.1
99,2019,20.9
100,2019,20.9
101,2019,5.2
102,2019,2.6
103,2019,5.3
1,2020,10.7
2,2020,8.9
3,2020,3.3
4,2020,93.9
5,2020,9.1
6,2020,1.4
7,2020,16
8,2020,7.7
9,2020,8
10,2020,0.8
11,2020,2.7
12,2020,75.1
13,2020,27.3
14,2020,6.5
15,2020,29.3
16,2020,86.6
17,2020,2.3
18,2020,6.8
19,2020,10.6
20,2020,1.7
21,2020,5.7
22,2020,13.3
23,2020,1.9
24,2020,5.2
25,2020,31
26,2020,5.1
27,2020,12.6
28,2020,12.5
29,2020,1.6
30,2020,8.8
31,2020,22.1
32,2020,25
33,2020,5.5
34,2020,7.1
35,2020,9.6
36,2020,34.2
37,2020,5
38,2020,3.7
39,2020,6.7
40,2020,9.7
41,2020,18.7
42,2020,11.7
43,2020,13
44,2020,16.3
45,2020,9.9
46,2020,8.5
47,2020,14.1
48,2020,11.9
49,2020,22.3
50,2020,2.8
51,2020,33.9
52,2020,18.1
53,2020,24.1
54,2020,9.8
55,2020,2.5
56,2020,73
57,2020,34.6
58,2020,3
59,2020,0.2
60,2020,32
61,2020,5.1
62,2020,22.2
63,2020,2.8
64,2020,16
65,2020,14
66,2020,5
67,2020,0.9
68,2020,25.6
69,2020,5.2
70,2020,17.4
71,2020,41.6
72,2020,0
73,2020,23
74,2020,32
75,2020,11.2
76,2020,3.8
77,2020,12.6
78,2020,22.1
79,2020,19.2
80,2020,10.4
81,2020,0.6
82,2020,44.5
83,2020,5.8
84,2020,3.9
85,2020,0
86,2020,0
87,2020,26.7
88,2020,15.8
89,2020,3.7
90,2020,99.2
91,2020,36.1
92,2020,99.8
93,2020,3.9
94,2020,98.1
95,2020,8.7
96,2020,25.2
97,2020,8.6
98,2020,2.1
99,2020,20.9
100,2020,20.9
101,2020,5.2
102,2020,2.6
103,2020,5.3
1,2021,11.2
2,2021,10.4
3,2021,3.3
4,2021,93.9
5,2021,9.1
6,2021,1.4
7,2021,16
8,2021,7.7
9,2021,8
10,2021,0.8
11,2021,2.7
12,2021,75.1
13,2021,27.3
14,2021,6.5
15,2021,32.7
16,2021,86.8
17,2021,3.1
18,2021,6.8
19,2021,10.6
20,2021,1.7
21,2021,5.7
22,2021,13.3
23,2021,1.9
24,2021,5.2
25,2021,31
26,2021,5.1
27,2021,12.6
28,2021,12.5
29,2021,1.6
30,2021,20.5
31,2021,22.4
32,2021,25
33,2021,5.6
34,2021,7.1
35,2021,9.6
36,2021,34.2
37,2021,5
38,2021,3.7
39,2021,6.7
40,2021,9.7
41,2021,18.7
42,2021,11.7
43,2021,13
44,2021,16.3
45,2021,9.9
46,2021,8.5
47,2021,14.1
48,2021,11.9
49,2021,100
50,2021,2.8
51,2021,63.3
52,2021,18.1
53,2021,25
54,2021,9.8
55,2021,2.5
56,2021,73
57,2021,34.6
58,2021,3
59,2021,0.2
60,2021,32
61,2021,5.1
62,2021,22.2
63,2021,2.8
64,2021,16.8
65,2021,14
66,2021,5
67,2021,0.9
68,2021,25.6
69,2021,5.2
70,2021,17.4
71,2021,41.6
72,2021,0
73,2021,23
74,2021,32
75,2021,11.2
76,2021,3.8
77,2021,12.9
78,2021,22.1
79,2021,19.2
80,2021,10.4
81,2021,0.6
82,2021,44.5
83,2021,5.8
84,2021,3.9
85,2021,0
86,2021,0
87,2021,26.7
88,2021,15.8
89,2021,3.7
90,2021,99.2
91,2021,36.1
92,2021,99.8
93,2021,3.9
94,2021,98.1
95,2021,8.7
96,2021,25.2
97,2021,8.6
98,2021,2.1
99,2021,21.1
100,2021,20.9
101,2021,5.2
102,2021,2.6
103,2021,5.3
