"rgn_id","species_code","year","tonnes"
2,1,2014,1326
6,1,2014,162809977
7,1,2014,6619228
8,1,2014,99298748
16,1,2014,22685327
17,1,2014,26894662
20,1,2014,31156761
21,1,2014,200963336
23,1,2014,10563252
30,1,2014,1656530
31,1,2014,6060567
33,1,2014,58349587
38,1,2014,6665914
39,1,2014,73107315
47,1,2014,456931
57,1,2014,35193
59,1,2014,23451966
67,1,2014,0
70,1,2014,146987498
71,1,2014,3292322
72,1,2014,2841676
73,1,2014,20833673
74,1,2014,1834
75,1,2014,7346795
76,1,2014,286560339
77,1,2014,57927006
78,1,2014,49068260
81,1,2014,6401954
85,1,2014,69515
2,1,2015,15100353
6,1,2015,142711605
7,1,2015,9185541
8,1,2015,52141002
16,1,2015,11760149
17,1,2015,81802573
20,1,2015,42094410
21,1,2015,201918626
23,1,2015,3905295
30,1,2015,2092936
31,1,2015,8186170
33,1,2015,74205045
38,1,2015,13399824
39,1,2015,23639382
47,1,2015,1054610
57,1,2015,371210
59,1,2015,15232118
67,1,2015,0
70,1,2015,95232953
71,1,2015,2456745
72,1,2015,9553185
73,1,2015,10206890
74,1,2015,34855
75,1,2015,29192790
76,1,2015,136307278
77,1,2015,47859298
78,1,2015,26539063
81,1,2015,9453296
85,1,2015,50513
2,1,2016,180650
6,1,2016,171469888
7,1,2016,2253417
8,1,2016,19841478
16,1,2016,16167072
17,1,2016,38686076
20,1,2016,8608156
21,1,2016,159675802
23,1,2016,16520805
30,1,2016,8607933
31,1,2016,2293855
33,1,2016,21988981
38,1,2016,3515980
39,1,2016,60774018
47,1,2016,2111322
57,1,2016,130783
59,1,2016,14944960
67,1,2016,0
70,1,2016,86000337
71,1,2016,2517494
72,1,2016,20518634
73,1,2016,26860919
74,1,2016,128987
75,1,2016,4550435
76,1,2016,18067538
77,1,2016,13495004
78,1,2016,28618302
81,1,2016,9618000
85,1,2016,137531
2,1,2017,6233399
6,1,2017,147587111
7,1,2017,23419396
8,1,2017,37898588
16,1,2017,8081188
17,1,2017,67654569
20,1,2017,15425595
21,1,2017,201482467
23,1,2017,10205445
30,1,2017,914254
31,1,2017,23
33,1,2017,1818338
38,1,2017,12540520
39,1,2017,12363563
47,1,2017,1489549
57,1,2017,124767
59,1,2017,32165614
67,1,2017,0
70,1,2017,15398714
71,1,2017,3360947
72,1,2017,8142873
73,1,2017,17588631
74,1,2017,54672
75,1,2017,42628169
76,1,2017,35195105
77,1,2017,21931292
78,1,2017,29717797
81,1,2017,16894273
85,1,2017,114381
2,1,2018,195922
6,1,2018,186495643
7,1,2018,14
8,1,2018,52820098
16,1,2018,17894050
17,1,2018,56843133
20,1,2018,6569230
21,1,2018,156866414
23,1,2018,12848964
30,1,2018,2023191
31,1,2018,7365160
33,1,2018,11333864
38,1,2018,12283297
39,1,2018,63115036
47,1,2018,1616022
57,1,2018,300769
59,1,2018,15531953
67,1,2018,0
70,1,2018,52975044
71,1,2018,3701520
72,1,2018,40345397
73,1,2018,28125930
74,1,2018,17168
75,1,2018,6483149
76,1,2018,24420678
77,1,2018,43250116
78,1,2018,34169856
81,1,2018,12460304
85,1,2018,122426
2,1,2019,10200964
6,1,2019,190929824
7,1,2019,13955607
8,1,2019,51593703
16,1,2019,19608267
17,1,2019,85453933
20,1,2019,18834958
21,1,2019,248411436
23,1,2019,11969529
30,1,2019,1734715
31,1,2019,176073
33,1,2019,1441652
38,1,2019,9182043
39,1,2019,31741487
47,1,2019,1702819
57,1,2019,319862
59,1,2019,27474894
67,1,2019,125332
70,1,2019,16325110
71,1,2019,4081982
72,1,2019,7364291
73,1,2019,17752084
74,1,2019,148016
75,1,2019,36121552
76,1,2019,28243845
77,1,2019,16755642
78,1,2019,21628792
81,1,2019,50272460
85,1,2019,93850
2,1,2020,3146101
6,1,2020,211537424
7,1,2020,7833983
8,1,2020,59095274
16,1,2020,4709430
17,1,2020,24021984
20,1,2020,1249455
21,1,2020,208352732
23,1,2020,23973884
30,1,2020,1058770
31,1,2020,8393542
33,1,2020,12389190
38,1,2020,30868960
39,1,2020,61858492
47,1,2020,1554530
57,1,2020,656479
59,1,2020,75359743
67,1,2020,805536
70,1,2020,61366657
71,1,2020,4952792
72,1,2020,9238154
73,1,2020,18591882
74,1,2020,100140
75,1,2020,14474545
76,1,2020,37210397
77,1,2020,35427168
78,1,2020,44469261
81,1,2020,61184074
85,1,2020,41784
2,1,2021,8856117
6,1,2021,207476210
7,1,2021,4863518
8,1,2021,47388336
16,1,2021,17771813
17,1,2021,79425489
20,1,2021,17177423
21,1,2021,255688819
23,1,2021,13635217
30,1,2021,1643325
31,1,2021,12258
33,1,2021,1360891
38,1,2021,11575680
39,1,2021,32715055
47,1,2021,1448482
57,1,2021,582851
