"rgn_id","resilience_score"
1,0.875
2,0.375
3,0.5
4,0.875
5,0.25
6,0.25
7,0.25
8,0.375
9,0.125
10,0.25
11,0.25
12,0.875
13,1
14,0.875
15,0.875
16,0.375
17,0.375
18,0.125
19,0.875
20,0.375
21,0.25
22,0.125
23,0.375
24,0.125
25,0.875
26,0.875
27,0.125
28,0.25
29,0.875
30,0.875
31,0.375
32,0.875
33,0.375
34,0.875
35,0.875
36,0.125
37,0.375
38,0.25
39,0.375
40,0.875
41,0.375
42,0.125
43,0.375
44,0.25
45,0.875
46,0.25
47,0.875
48,0.25
49,0.875
50,0.875
51,0.25
52,0.875
53,0.375
54,0.25
55,0.875
56,0.875
57,0.375
58,0.5
59,0.25
60,0.25
61,0.25
62,0.875
63,0.25
64,0.875
65,0.875
66,0.25
67,0.25
68,0.25
69,0.875
70,0.375
71,0.375
72,0.25
73,0.375
74,0.375
75,0.375
76,0.375
77,0.375
78,0.375
79,0.875
80,0.375
81,0.25
82,1
83,0.875
84,0.25
85,0.875
86,0.875
87,0.875
88,0.875
89,0.5
90,1
91,0.25
92,0.875
93,0.5
94,1
95,0.875
96,0.25
97,0.25
98,0.125
99,0.875
100,0.875
101,0.875
102,0.875
103,0.875
