"rgn_id","producto","year","tonnes"
1,"Algas","2017",45
1,"Algas","2018",27
1,"Algas","2019",69
1,"Algas","2020",68
1,"Algas","2021",53
2,"Algas","2017",8883
2,"Algas","2018",8250
2,"Algas","2019",11688
2,"Algas","2020",13555
2,"Algas","2021",10429
3,"Algas","2017",22788.5
3,"Algas","2018",13407
3,"Algas","2019",17502
3,"Algas","2020",15992
3,"Algas","2021",16278
4,"Algas","2017",854
4,"Algas","2018",199
4,"Algas","2020",761
4,"Algas","2021",439
5,"Aceite","2017",298.5
5,"Aceite","2018",1017
5,"Aceite","2019",831
5,"Aceite","2020",1265
5,"Aceite","2021",2268
5,"Algas","2017",598.5
5,"Algas","2018",405
5,"Algas","2019",791
5,"Algas","2020",221
5,"Algas","2021",416
5,"Harina","2017",36130.5
5,"Harina","2018",38756
5,"Harina","2019",30671
5,"Harina","2020",35191
5,"Harina","2021",35922
6,"Aceite","2017",93
6,"Aceite","2018",0
6,"Aceite","2019",93
6,"Aceite","2020",199
6,"Aceite","2021",215
6,"Algas","2017",1266.5
6,"Algas","2018",948
6,"Algas","2019",1691
6,"Algas","2020",112
6,"Algas","2021",1051
6,"Harina","2017",92
6,"Harina","2018",92
6,"Harina","2019",186
6,"Harina","2020",382
6,"Harina","2021",453
8,"Aceite","2017",1114.16666666666
8,"Aceite","2018",0
8,"Aceite","2019",743
8,"Aceite","2020",1741
8,"Aceite","2021",710
8,"Algas","2017",2
8,"Algas","2018",0
8,"Algas","2019",1242
8,"Algas","2020",971
8,"Algas","2021",2337
8,"Harina","2017",539.5
8,"Harina","2018",421
8,"Harina","2019",1509
8,"Harina","2020",2924
8,"Harina","2021",1272
9,"Aceite","2017",813.5
9,"Aceite","2018",1264
9,"Aceite","2019",883
9,"Aceite","2020",544
9,"Aceite","2021",1784
9,"Algas","2017",54541
9,"Algas","2018",31435
9,"Algas","2019",45892
9,"Algas","2020",53251
9,"Algas","2021",49079
9,"Harina","2017",7322.5
9,"Harina","2018",9798
9,"Harina","2019",9713
9,"Harina","2020",8329
9,"Harina","2021",14664
10,"Algas","2017",191
10,"Algas","2018",131
10,"Algas","2019",504
10,"Algas","2020",221
10,"Algas","2021",414
11,"Algas","2017",8861
11,"Algas","2018",6329
11,"Algas","2019",9846
11,"Algas","2020",11593
11,"Algas","2021",9844
13,"Algas","2017",12
14,"Algas","2017",2
15,"Algas","2017",92
15,"Algas","2018",52
15,"Algas","2019",118
15,"Algas","2020",208
15,"Algas","2021",174
16,"Aceite","2017",0
16,"Aceite","2018",373
16,"Aceite","2019",0
16,"Aceite","2020",0
16,"Aceite","2021",0
16,"Algas","2017",5932
16,"Algas","2018",8478
16,"Algas","2019",7650
16,"Algas","2020",8307
16,"Algas","2021",9014
16,"Harina","2017",0
16,"Harina","2018",530
16,"Harina","2019",0
16,"Harina","2020",0
16,"Harina","2021",0
17,"Algas","2018",3
17,"Algas","2019",3
17,"Algas","2021",3
18,"Algas","2017",49210.5
18,"Algas","2018",33290
18,"Algas","2019",38063
18,"Algas","2020",37565
18,"Algas","2021",38603
19,"Algas","2017",2
19,"Algas","2020",9
19,"Algas","2021",12
20,"Algas","2017",318
20,"Algas","2018",233
20,"Algas","2019",198
22,"Algas","2018",9
22,"Algas","2019",25
24,"Algas","2020",4
24,"Algas","2021",5
25,"Algas","2018",2
25,"Algas","2020",16
26,"Algas","2017",8020
26,"Algas","2018",5915
26,"Algas","2019",6547
26,"Algas","2020",5478
26,"Algas","2021",4175
27,"Algas","2017",7462
27,"Algas","2018",4534
27,"Algas","2019",9883
27,"Algas","2020",10004
27,"Algas","2021",12466
28,"Aceite","2017",98.5
28,"Aceite","2018",363
28,"Aceite","2019",425
28,"Aceite","2020",823
28,"Aceite","2021",954
28,"Algas","2017",59316
28,"Algas","2018",51902
28,"Algas","2019",48897
28,"Algas","2020",57088
28,"Algas","2021",52571
28,"Harina","2017",2134
28,"Harina","2018",3574
28,"Harina","2019",6278
28,"Harina","2020",8485
28,"Harina","2021",9158
29,"Aceite","2017",27409.5
29,"Aceite","2018",29504
29,"Aceite","2019",40312
29,"Aceite","2020",38800
29,"Aceite","2021",44501
29,"Algas","2017",28372
29,"Algas","2018",20422
29,"Algas","2019",17246
29,"Algas","2020",15916
29,"Algas","2021",1354
29,"Harina","2017",86555
29,"Harina","2018",96249
29,"Harina","2019",106334
29,"Harina","2020",121482
29,"Harina","2021",125722
30,"Algas","2017",31
30,"Algas","2018",67
30,"Algas","2019",59
30,"Algas","2020",87
30,"Algas","2021",207
31,"Algas","2017",59
31,"Algas","2018",152
31,"Algas","2019",130
31,"Algas","2020",183
31,"Algas","2021",13
33,"Algas","2017",1457
33,"Algas","2018",2647
33,"Algas","2019",3354
33,"Algas","2020",1845
33,"Algas","2021",1464
34,"Algas","2017",382
34,"Algas","2018",327
34,"Algas","2019",774
34,"Algas","2020",727
34,"Algas","2021",640
35,"Algas","2017",1296
35,"Algas","2018",1011
35,"Algas","2019",690
35,"Algas","2020",640
35,"Algas","2021",447
36,"Algas","2017",15866
36,"Algas","2018",10552
36,"Algas","2019",19519
36,"Algas","2020",18600
36,"Algas","2021",20071
39,"Algas","2017",3
39,"Algas","2018",7
39,"Algas","2019",6
39,"Algas","2020",2
39,"Algas","2021",4
40,"Algas","2020",13
41,"Algas","2017",5774
41,"Algas","2018",1800
41,"Algas","2019",5381
41,"Algas","2020",4969
41,"Algas","2021",6199
42,"Algas","2017",78680
42,"Algas","2018",68993
42,"Algas","2019",88949
42,"Algas","2020",96648
42,"Algas","2021",100125
43,"Aceite","2017",5786.5
43,"Aceite","2018",8176
