"rgn_id","producto","year","tonnes_rel"
1,"Algas",2017,0.652173913043478
1,"Algas",2018,0.391304347826087
1,"Algas",2019,1
1,"Algas",2020,0.985507246376812
1,"Algas",2021,0.768115942028985
2,"Algas",2017,0.655330136481003
2,"Algas",2018,0.608631501291036
2,"Algas",2019,0.862264846919956
2,"Algas",2020,1
2,"Algas",2021,0.769383991147178
3,"Algas",2017,1
3,"Algas",2018,0.588323057682603
3,"Algas",2019,0.768018956930031
3,"Algas",2020,0.701757465388244
3,"Algas",2021,0.714307655176953
4,"Algas",2017,1
4,"Algas",2018,0.233021077283372
4,"Algas",2020,0.891100702576112
4,"Algas",2021,0.514051522248244
5,"Aceite",2017,0.131613756613757
5,"Aceite",2018,0.448412698412698
5,"Aceite",2019,0.366402116402116
5,"Aceite",2020,0.557760141093474
5,"Aceite",2021,1
5,"Algas",2017,0.756637168141593
5,"Algas",2018,0.512010113780025
5,"Algas",2019,1
5,"Algas",2020,0.279393173198483
5,"Algas",2021,0.525916561314791
5,"Harina",2017,0.93225565073795
5,"Harina",2018,1
5,"Harina",2019,0.791387140055733
5,"Harina",2020,0.908014242955929
5,"Harina",2021,0.926875838579833
6,"Aceite",2017,0.432558139534884
6,"Aceite",2018,0
6,"Aceite",2019,0.432558139534884
6,"Aceite",2020,0.925581395348837
6,"Aceite",2021,1
6,"Algas",2017,0.74896510940272
6,"Algas",2018,0.560615020697812
6,"Algas",2019,1
6,"Algas",2020,0.0662329982259018
6,"Algas",2021,0.621525724423418
6,"Harina",2017,0.203090507726269
6,"Harina",2018,0.203090507726269
6,"Harina",2019,0.410596026490066
6,"Harina",2020,0.84326710816777
6,"Harina",2021,1
8,"Aceite",2017,0.63995787861382
8,"Aceite",2018,0
8,"Aceite",2019,0.42676622630672
8,"Aceite",2020,1
8,"Aceite",2021,0.407811602527283
8,"Algas",2017,0.000855798031664527
8,"Algas",2018,0
8,"Algas",2019,0.531450577663671
8,"Algas",2020,0.415489944373128
8,"Algas",2021,1
8,"Harina",2017,0.184507523939808
8,"Harina",2018,0.143980848153215
8,"Harina",2019,0.516073871409029
8,"Harina",2020,1
8,"Harina",2021,0.435020519835841
9,"Aceite",2017,0.455997757847534
9,"Aceite",2018,0.708520179372197
9,"Aceite",2019,0.494955156950673
9,"Aceite",2020,0.304932735426009
9,"Aceite",2021,1
9,"Algas",2017,1
9,"Algas",2018,0.576355402357859
9,"Algas",2019,0.841422049467373
9,"Algas",2020,0.976348068425588
9,"Algas",2021,0.899855154837645
9,"Harina",2017,0.499352154937261
9,"Harina",2018,0.668166939443535
9,"Harina",2019,0.662370430987452
9,"Harina",2020,0.567989634478996
9,"Harina",2021,1
10,"Algas",2017,0.378968253968254
10,"Algas",2018,0.259920634920635
10,"Algas",2019,1
10,"Algas",2020,0.438492063492063
10,"Algas",2021,0.821428571428571
11,"Algas",2017,0.764340550332097
11,"Algas",2018,0.545932890537393
11,"Algas",2019,0.849305615457604
11,"Algas",2020,1
11,"Algas",2021,0.849133097558872
13,"Algas",2017,1
14,"Algas",2017,1
15,"Algas",2017,0.442307692307692
15,"Algas",2018,0.25
15,"Algas",2019,0.567307692307692
15,"Algas",2020,1
15,"Algas",2021,0.836538461538462
16,"Aceite",2017,0
16,"Aceite",2018,1
16,"Aceite",2019,0
16,"Aceite",2020,0
16,"Aceite",2021,0
16,"Algas",2017,0.658087419569559
16,"Algas",2018,0.940536942533836
16,"Algas",2019,0.848679831373419
16,"Algas",2020,0.921566452185489
16,"Algas",2021,1
16,"Harina",2017,0
16,"Harina",2018,1
16,"Harina",2019,0
16,"Harina",2020,0
16,"Harina",2021,0
17,"Algas",2018,1
17,"Algas",2019,1
17,"Algas",2021,1
18,"Algas",2017,1
18,"Algas",2018,0.67648164517735
18,"Algas",2019,0.773473140894728
18,"Algas",2020,0.763353349386818
18,"Algas",2021,0.784446408794871
19,"Algas",2017,0.166666666666667
19,"Algas",2020,0.75
19,"Algas",2021,1
20,"Algas",2017,1
20,"Algas",2018,0.732704402515723
20,"Algas",2019,0.622641509433962
22,"Algas",2018,0.36
22,"Algas",2019,1
24,"Algas",2020,0.8
24,"Algas",2021,1
25,"Algas",2018,0.125
25,"Algas",2020,1
26,"Algas",2017,1
26,"Algas",2018,0.737531172069825
26,"Algas",2019,0.816334164588529
26,"Algas",2020,0.683042394014963
26,"Algas",2021,0.520573566084788
27,"Algas",2017,0.598588159794641
27,"Algas",2018,0.363709289266806
27,"Algas",2019,0.792796406224932
27,"Algas",2020,0.802502807636772
27,"Algas",2021,1
28,"Aceite",2017,0.103249475890985
28,"Aceite",2018,0.380503144654088
28,"Aceite",2019,0.445492662473795
28,"Aceite",2020,0.862683438155136
28,"Aceite",2021,1
28,"Algas",2017,1
28,"Algas",2018,0.875008429428822
28,"Algas",2019,0.824347562209185
28,"Algas",2020,0.9624384651696
