"rgn_id","producto","year","score"
1,"Algas",2017,1
1,"Algas",2020,0.9
1,"Algas",2019,0.85
1,"Algas",2021,0.9
1,"Algas",2018,1
2,"Algas",2017,0.65
2,"Algas",2019,0.825
2,"Algas",2018,0.8
2,"Algas",2020,0.625
2,"Algas",2021,0.625
3,"Algas",2019,0.75
3,"Algas",2020,0.9
3,"Algas",2021,0.6
3,"Algas",2017,1
3,"Algas",2018,1
4,"Algas",2020,0.3
4,"Algas",2017,0.3
4,"Algas",2018,0.5
4,"Algas",2019,0.5
4,"Algas",2021,0.3
5,"Algas",2017,1
5,"Algas",2019,0.75
5,"Algas",2020,0.9
5,"Algas",2018,1
5,"Algas",2021,0.6
6,"Algas",2018,0.675
6,"Algas",2019,0.675
6,"Algas",2017,0.3
6,"Algas",2021,0.5
6,"Algas",2020,0.5
7,"Algas",2019,0.675
7,"Algas",2017,0.3
7,"Algas",2018,0.675
7,"Algas",2020,0.5
7,"Algas",2021,0.5
8,"Algas",2017,0.65
8,"Algas",2020,0.625
8,"Algas",2021,0.625
8,"Algas",2019,0.825
8,"Algas",2018,0.8
9,"Algas",2020,0.9
9,"Algas",2021,0.6
9,"Algas",2019,0.75
9,"Algas",2017,1
9,"Algas",2018,1
10,"Algas",2017,1
10,"Algas",2018,1
10,"Algas",2019,0.75
10,"Algas",2021,0.6
10,"Algas",2020,0.9
11,"Algas",2017,1
11,"Algas",2021,0.9
11,"Algas",2020,0.9
11,"Algas",2019,0.85
11,"Algas",2018,1
12,"Algas",2017,0.3
12,"Algas",2020,0.3
12,"Algas",2021,0.3
12,"Algas",2018,0.5
12,"Algas",2019,0.5
13,"Algas",2021,0.625
13,"Algas",2017,0.65
13,"Algas",2020,0.625
13,"Algas",2018,0.8
13,"Algas",2019,0.825
14,"Algas",2021,0.9
14,"Algas",2017,1
14,"Algas",2018,1
14,"Algas",2020,0.9
14,"Algas",2019,0.85
15,"Algas",2020,0.9
15,"Algas",2019,0.85
15,"Algas",2017,1
15,"Algas",2018,1
15,"Algas",2021,0.9
16,"Algas",2020,0.625
16,"Algas",2019,0.825
16,"Algas",2018,0.8
16,"Algas",2021,0.625
16,"Algas",2017,0.65
17,"Algas",2018,0.8
17,"Algas",2020,0.625
17,"Algas",2021,0.625
17,"Algas",2019,0.825
17,"Algas",2017,0.65
17,"Algas",2017,0.65
17,"Algas",2018,0.8
17,"Algas",2019,0.825
17,"Algas",2020,0.625
17,"Algas",2021,0.625
18,"Algas",2019,0.75
18,"Algas",2018,1
18,"Algas",2020,0.9
18,"Algas",2021,0.6
18,"Algas",2017,1
19,"Algas",2018,0.5
19,"Algas",2017,0.3
19,"Algas",2020,0.3
19,"Algas",2021,0.3
19,"Algas",2019,0.5
20,"Algas",2020,0.625
20,"Algas",2019,0.825
20,"Algas",2017,0.65
20,"Algas",2021,0.625
20,"Algas",2018,0.8
21,"Algas",2021,0.5
21,"Algas",2020,0.5
21,"Algas",2017,0.3
21,"Algas",2019,0.675
21,"Algas",2018,0.675
22,"Algas",2017,0.3
22,"Algas",2018,0.5
22,"Algas",2021,0.3
22,"Algas",2019,0.5
22,"Algas",2020,0.3
23,"Algas",2017,0.65
23,"Algas",2020,0.625
23,"Algas",2021,0.625
23,"Algas",2019,0.825
23,"Algas",2018,0.8
24,"Algas",2017,0.3
24,"Algas",2018,0.5
24,"Algas",2019,0.5
24,"Algas",2021,0.3
24,"Algas",2020,0.3
25,"Algas",2018,1
25,"Algas",2021,0.9
25,"Algas",2017,1
25,"Algas",2020,0.9
25,"Algas",2019,0.85
26,"Algas",2018,0.5
26,"Algas",2019,0.5
26,"Algas",2020,0.3
26,"Algas",2017,0.3
26,"Algas",2021,0.3
27,"Algas",2021,0.6
27,"Algas",2017,1
27,"Algas",2020,0.9
27,"Algas",2018,1
27,"Algas",2019,0.75
28,"Algas",2020,0.9
28,"Algas",2021,0.9
28,"Algas",2018,1
28,"Algas",2019,0.85
28,"Algas",2017,1
29,"Algas",2017,0.3
29,"Algas",2018,0.5
29,"Algas",2021,0.3
29,"Algas",2019,0.5
29,"Algas",2020,0.3
30,"Algas",2017,0.65
30,"Algas",2018,0.8
30,"Algas",2020,0.625
30,"Algas",2019,0.825
30,"Algas",2021,0.625
31,"Algas",2021,0.625
31,"Algas",2019,0.825
31,"Algas",2020,0.625
31,"Algas",2017,0.65
31,"Algas",2018,0.8
32,"Algas",2019,0.5
32,"Algas",2017,0.3
32,"Algas",2020,0.3
32,"Algas",2018,0.5
32,"Algas",2021,0.3
33,"Algas",2019,0.825
33,"Algas",2017,0.65
33,"Algas",2021,0.625
33,"Algas",2020,0.625
33,"Algas",2018,0.8
34,"Algas",2019,0.85
34,"Algas",2020,0.9
34,"Algas",2017,1
34,"Algas",2021,0.9
34,"Algas",2018,1
35,"Algas",2021,0.9
35,"Algas",2019,0.85
35,"Algas",2018,1
35,"Algas",2017,1
35,"Algas",2020,0.9
36,"Algas",2018,1
36,"Algas",2017,1
36,"Algas",2020,0.9
36,"Algas",2019,0.75
36,"Algas",2021,0.6
37,"Algas",2019,0.825
37,"Algas",2017,0.65
37,"Algas",2020,0.625
37,"Algas",2018,0.8
37,"Algas",2021,0.625
38,"Algas",2021,0.5
38,"Algas",2020,0.5
38,"Algas",2019,0.675
38,"Algas",2017,0.3
38,"Algas",2018,0.675
38,"Algas",2017,0.3
38,"Algas",2018,0.675
38,"Algas",2021,0.5
38,"Algas",2020,0.5
38,"Algas",2019,0.675
39,"Algas",2021,0.625
39,"Algas",2019,0.825
39,"Algas",2020,0.625
39,"Algas",2018,0.8
39,"Algas",2017,0.65
40,"Algas",2017,0.3
40,"Algas",2018,0.5
40,"Algas",2019,0.5
40,"Algas",2021,0.3
40,"Algas",2020,0.3
41,"Algas",2021,0.6
41,"Algas",2017,1
41,"Algas",2018,1
41,"Algas",2019,0.75
41,"Algas",2020,0.9
42,"Algas",2018,1
42,"Algas",2017,1
42,"Algas",2019,0.75
42,"Algas",2021,0.6
42,"Algas",2020,0.9
43,"Algas",2021,0.6
43,"Algas",2018,1
43,"Algas",2019,0.75
43,"Algas",2017,1
43,"Algas",2020,0.9
44,"Algas",2017,1
44,"Algas",2020,0.9
44,"Algas",2021,0.9
44,"Algas",2019,0.85
44,"Algas",2018,1
45,"Algas",2018,1
45,"Algas",2019,0.85
45,"Algas",2021,0.9
45,"Algas",2017,1
45,"Algas",2020,0.9
46,"Algas",2021,0.9
46,"Algas",2020,0.9
46,"Algas",2017,1
46,"Algas",2019,0.85
46,"Algas",2018,1
47,"Algas",2019,0.825
47,"Algas",2017,0.65
47,"Algas",2018,0.8
47,"Algas",2020,0.625
47,"Algas",2021,0.625
49,"Algas",2017,0.3
49,"Algas",2021,0.3
49,"Algas",2020,0.3
49,"Algas",2019,0.5
49,"Algas",2018,0.5
50,"Algas",2020,0.3
50,"Algas",2021,0.3
50,"Algas",2017,0.3
50,"Algas",2021,0.3
50,"Algas",2019,0.5
50,"Algas",2019,0.5
50,"Algas",2018,0.5
50,"Algas",2017,0.3
50,"Algas",2020,0.3
50,"Algas",2018,0.5
51,"Algas",2017,0.3
51,"Algas",2018,0.5
51,"Algas",2020,0.3
51,"Algas",2019,0.5
51,"Algas",2021,0.3
52,"Algas",2017,0.3
52,"Algas",2018,0.5
52,"Algas",2021,0.3
52,"Algas",2020,0.3
52,"Algas",2019,0.5
53,"Algas",2017,0.65
53,"Algas",2021,0.625
53,"Algas",2020,0.625
53,"Algas",2019,0.825
53,"Algas",2018,0.8
54,"Algas",2019,0.85
54,"Algas",2017,1
54,"Algas",2018,1
54,"Algas",2020,0.9
54,"Algas",2021,0.9
55,"Algas",2018,0.5
55,"Algas",2017,0.3
55,"Algas",2020,0.3
55,"Algas",2019,0.5
55,"Algas",2021,0.3
56,"Algas",2019,0.825
56,"Algas",2020,0.625
56,"Algas",2017,0.65
56,"Algas",2018,0.8
56,"Algas",2021,0.625
57,"Algas",2017,0.65
57,"Algas",2018,0.8
57,"Algas",2021,0.625
57,"Algas",2020,0.625
57,"Algas",2019,0.825
58,"Algas",2020,0.9
58,"Algas",2019,0.75
58,"Algas",2021,0.6
58,"Algas",2017,1
58,"Algas",2018,1
59,"Algas",2021,0.5
59,"Algas",2017,0.3
59,"Algas",2019,0.675
59,"Algas",2020,0.5
59,"Algas",2018,0.675
60,"Algas",2018,0.5
60,"Algas",2017,0.3
60,"Algas",2020,0.3
60,"Algas",2019,0.5
60,"Algas",2021,0.3
61,"Algas",2019,0.85
61,"Algas",2020,0.9
61,"Algas",2021,0.9
61,"Algas",2017,1
61,"Algas",2018,1
62,"Algas",2020,0.9
62,"Algas",2017,1
62,"Algas",2018,1
62,"Algas",2021,0.9
62,"Algas",2019,0.85
63,"Algas",2017,0.3
63,"Algas",2020,0.3
63,"Algas",2019,0.5
63,"Algas",2021,0.3
63,"Algas",2018,0.5
64,"Algas",2019,0.5
64,"Algas",2018,0.5
64,"Algas",2020,0.3
64,"Algas",2017,0.3
64,"Algas",2021,0.3
65,"Algas",2017,0.3
65,"Algas",2021,0.3
65,"Algas",2019,0.5
65,"Algas",2018,0.5
65,"Algas",2020,0.3
66,"Algas",2017,0.3
66,"Algas",2019,0.5
66,"Algas",2018,0.5
66,"Algas",2020,0.3
66,"Algas",2021,0.3
67,"Algas",2021,0.5
67,"Algas",2017,0.3
67,"Algas",2018,0.675
67,"Algas",2020,0.5
67,"Algas",2019,0.675
69,"Algas",2021,0.9
69,"Algas",2020,0.9
69,"Algas",2019,0.85
69,"Algas",2017,1
69,"Algas",2018,1
70,"Algas",2017,0.65
70,"Algas",2019,0.825
70,"Algas",2020,0.625
70,"Algas",2018,0.8
70,"Algas",2021,0.625
71,"Algas",2020,0.625
71,"Algas",2021,0.625
71,"Algas",2019,0.825
71,"Algas",2018,0.8
71,"Algas",2017,0.65
72,"Algas",2019,0.675
72,"Algas",2020,0.5
72,"Algas",2018,0.675
72,"Algas",2017,0.3
72,"Algas",2021,0.5
73,"Algas",2020,0.625
73,"Algas",2019,0.825
73,"Algas",2017,0.65
73,"Algas",2018,0.8
73,"Algas",2021,0.625
74,"Algas",2020,0.625
74,"Algas",2019,0.825
74,"Algas",2017,0.65
74,"Algas",2018,0.8
74,"Algas",2021,0.625
75,"Algas",2020,0.625
75,"Algas",2018,0.8
75,"Algas",2021,0.625
75,"Algas",2019,0.825
75,"Algas",2017,0.65
76,"Algas",2021,0.625
76,"Algas",2017,0.65
76,"Algas",2020,0.625
76,"Algas",2019,0.825
76,"Algas",2018,0.8
77,"Algas",2020,0.625
77,"Algas",2021,0.625
77,"Algas",2017,0.65
77,"Algas",2019,0.825
77,"Algas",2018,0.8
78,"Algas",2017,0.65
78,"Algas",2021,0.625
78,"Algas",2020,0.625
78,"Algas",2019,0.825
78,"Algas",2018,0.8
79,"Algas",2020,0.9
79,"Algas",2018,1
79,"Algas",2019,0.85
79,"Algas",2017,1
79,"Algas",2021,0.9
80,"Algas",2017,0.65
80,"Algas",2019,0.825
80,"Algas",2018,0.8
80,"Algas",2021,0.625
80,"Algas",2020,0.625
81,"Algas",2018,0.675
81,"Algas",2019,0.675
81,"Algas",2021,0.5
81,"Algas",2020,0.5
81,"Algas",2017,0.3
82,"Algas",2019,0.825
82,"Algas",2018,0.8
82,"Algas",2020,0.625
82,"Algas",2018,0.8
82,"Algas",2019,0.825
82,"Algas",2020,0.625
82,"Algas",2017,0.65
82,"Algas",2021,0.625
82,"Algas",2021,0.625
82,"Algas",2017,0.65
83,"Algas",2020,0.9
83,"Algas",2018,1
83,"Algas",2019,0.85
83,"Algas",2017,1
83,"Algas",2021,0.9
85,"Algas",2017,0.65
85,"Algas",2020,0.625
85,"Algas",2018,0.8
85,"Algas",2019,0.825
85,"Algas",2021,0.625
86,"Algas",2018,0.5
86,"Algas",2020,0.3
86,"Algas",2019,0.5
86,"Algas",2017,0.3
86,"Algas",2021,0.3
88,"Algas",2017,0.3
88,"Algas",2018,0.5
88,"Algas",2019,0.5
88,"Algas",2021,0.3
88,"Algas",2020,0.3
89,"Algas",2020,0.9
89,"Algas",2017,1
89,"Algas",2018,1
89,"Algas",2021,0.6
89,"Algas",2019,0.75
92,"Algas",2017,0.3
92,"Algas",2018,0.5
92,"Algas",2020,0.3
92,"Algas",2019,0.5
92,"Algas",2021,0.3
93,"Algas",2018,1
93,"Algas",2017,1
93,"Algas",2020,0.9
93,"Algas",2021,0.6
93,"Algas",2019,0.75
94,"Algas",2020,0.625
94,"Algas",2017,0.65
94,"Algas",2021,0.625
94,"Algas",2019,0.825
94,"Algas",2018,0.8
95,"Algas",2019,0.5
95,"Algas",2020,0.3
95,"Algas",2017,0.3
95,"Algas",2018,0.5
95,"Algas",2021,0.3
97,"Algas",2021,0.5
97,"Algas",2020,0.5
97,"Algas",2019,0.675
97,"Algas",2018,0.675
97,"Algas",2017,0.3
99,"Algas",2018,0.8
99,"Algas",2017,0.65
99,"Algas",2021,0.625
99,"Algas",2020,0.625
99,"Algas",2019,0.825
100,"Algas",2019,0.85
100,"Algas",2020,0.9
100,"Algas",2017,1
100,"Algas",2018,1
100,"Algas",2021,0.9
101,"Algas",2018,0.5
101,"Algas",2017,0.3
101,"Algas",2019,0.5
101,"Algas",2020,0.3
101,"Algas",2021,0.3
102,"Algas",2019,0.85
102,"Algas",2017,1
102,"Algas",2018,1
102,"Algas",2021,0.9
102,"Algas",2020,0.9
103,"Algas",2018,1
103,"Algas",2020,0.9
103,"Algas",2021,0.9
103,"Algas",2017,1
103,"Algas",2019,0.85
