"rgn_id","pressure_score"
1,0.125
2,0.625
3,0.5
4,0.125
5,0.75
6,0.75
7,0.75
8,0.625
9,0.875
10,0.75
11,0.75
12,0.125
13,0
14,0.125
15,0.125
16,0.625
17,0.625
18,0.875
19,0.125
20,0.625
21,0.75
22,0.875
23,0.625
24,0.875
25,0.125
26,0.125
27,0.875
28,0.75
29,0.125
30,0.125
31,0.625
32,0.125
33,0.625
34,0.125
35,0.125
36,0.875
37,0.625
38,0.75
39,0.625
40,0.125
41,0.625
42,0.875
43,0.625
44,0.75
45,0.125
46,0.75
47,0.125
48,0.75
49,0.125
50,0.125
51,0.75
52,0.125
53,0.625
54,0.75
55,0.125
56,0.125
57,0.625
58,0.5
59,0.75
60,0.75
61,0.75
62,0.125
63,0.75
64,0.125
65,0.125
66,0.75
67,0.75
68,0.75
69,0.125
70,0.625
71,0.625
72,0.75
73,0.625
74,0.625
75,0.625
76,0.625
77,0.625
78,0.625
79,0.125
80,0.625
81,0.75
82,0
83,0.125
84,0.75
85,0.125
86,0.125
87,0.125
88,0.125
89,0.5
90,0
91,0.75
92,0.125
93,0.5
94,0
95,0.125
96,0.75
97,0.75
98,0.875
99,0.125
100,0.125
101,0.125
102,0.125
103,0.125
