"rgn_id","resilience_score"
89,0
3,0
58,0
93,0
13,0.5
94,0.5
90,0.5
82,0.5
10,0
5,0
42,1
27,1
9,1
18,1
36,1
38,1
21,1
97,1
6,1
40,1
88,1
65,1
95,1
86,1
49,1
92,1
12,1
52,1
4,1
55,1
29,1
61,0.5
28,0.5
54,0.5
11,0.5
46,0.5
44,0.5
23,0
76,0
20,0
78,0
75,0
73,0
33,0
77,0
16,0
31,0
39,0
71,0
8,0
57,0
70,0
80,0
53,0
37,0
74,0
85,0
2,0
17,0
56,1
99,1
47,1
30,1
7,1
91,1
68,1
81,1
67,1
72,1
96,1
59,1
84,1
48,1
101,0
64,0
26,0
32,0
19,0
50,0
24,0
98,0
22,0
63,0
66,0
51,0
60,0
43,0.5
41,0.5
25,0
79,0
87,0
83,0
69,0
103,0
102,0
62,0
45,0
14,0
35,0
34,0
1,0
15,0
100,0
