"rgn_id","area_km2"
1,27
2,5006
3,349
4,1617
5,1142
6,144723
7,185215
8,4565
9,303
10,894
11,1193
12,57
13,60
14,95
15,311
16,2795
17,13048
18,153
19,462
20,2315
21,9181
22,766
23,684
24,137
25,125
26,1255
27,924
28,1727
29,405
30,1155
31,903
32,225
33,1864
34,167
35,222
36,1623
37,745
38,900
39,8427
40,241
41,2065
42,1627
43,3316
44,1302
45,602
46,72
47,578
48,2043
49,906
50,301
51,257
52,116
53,1703
54,1225
55,241
56,63
57,3162
58,2269
59,454769
60,40
61,2017
62,318
63,303
64,675
65,176
66,893
67,9725
68,8876
69,397
70,2613
71,2923
72,191595
73,1231
74,931
75,3194
76,12666
77,3667
78,2649
79,407
80,632
81,62021
82,448
83,162
84,13107
85,2198
86,191
87,788
88,626
89,3895
90,599
91,35834
92,82
93,2855
94,388
95,73
96,7868
97,15511
98,85
99,615
100,584
101,469
102,221
103,277
