"region_id","goal","dimension","score"
1,"SPP","trend",-0.0241935483870968
2,"SPP","trend",-0.143106457242583
3,"SPP","trend",-0.0855018587360595
4,"SPP","trend",-0.112068965517241
5,"SPP","trend",-0.092797783933518
6,"SPP","trend",-0.153731343283582
7,"SPP","trend",-0.149202733485194
8,"SPP","trend",-0.152091254752852
9,"SPP","trend",-0.119402985074627
10,"SPP","trend",-0.1
11,"SPP","trend",0
12,"SPP","trend",0.5
13,"SPP","trend",0
14,"SPP","trend",-0.0657894736842105
15,"SPP","trend",0.0833333333333333
16,"SPP","trend",-0.148148148148148
17,"SPP","trend",-0.16
18,"SPP","trend",-0.125
19,"SPP","trend",-0.0777777777777778
20,"SPP","trend",-0.144736842105263
21,"SPP","trend",-0.138392857142857
22,"SPP","trend",-0.115384615384615
23,"SPP","trend",-0.125
24,"SPP","trend",-0.25
25,"SPP","trend",-0.0104166666666667
26,"SPP","trend",-0.125
27,"SPP","trend",-0.2
28,"SPP","trend",-0.037037037037037
29,"SPP","trend",-0.134615384615385
30,"SPP","trend",-0.164705882352941
31,"SPP","trend",-0.193548387096774
33,"SPP","trend",-0.0694444444444444
34,"SPP","trend",0
35,"SPP","trend",-0.0735294117647059
36,"SPP","trend",0.0794392523364486
38,"SPP","trend",-0.129411764705882
39,"SPP","trend",-0.0880681818181818
43,"SPP","trend",0.0135135135135135
44,"SPP","trend",0
45,"SPP","trend",-0.0673076923076923
46,"SPP","trend",-0.0987654320987654
47,"SPP","trend",-0.0223880597014925
48,"SPP","trend",-0.0256410256410256
49,"SPP","trend",-0.0868544600938967
50,"SPP","trend",0
51,"SPP","trend",-0.142857142857143
52,"SPP","trend",-0.05
53,"SPP","trend",0
56,"SPP","trend",-0.5
57,"SPP","trend",-0.0227272727272727
58,"SPP","trend",-0.0649350649350649
59,"SPP","trend",-0.105263157894737
60,"SPP","trend",-0.0541237113402062
61,"SPP","trend",-0.0811965811965812
62,"SPP","trend",-0.234472049689441
63,"SPP","trend",-0.0161290322580645
64,"SPP","trend",-0.03125
65,"SPP","trend",-0.0185185185185185
66,"SPP","trend",-0.0625
67,"SPP","trend",-0.157894736842105
68,"SPP","trend",-0.106481481481481
69,"SPP","trend",-0.0961538461538462
70,"SPP","trend",-0.164
71,"SPP","trend",-0.233870967741935
72,"SPP","trend",-0.0641891891891892
73,"SPP","trend",-0.0625
75,"SPP","trend",-0.142247510668563
76,"SPP","trend",-0.19047619047619
77,"SPP","trend",0.1
78,"SPP","trend",-0.129770992366412
79,"SPP","trend",-0.123949579831933
80,"SPP","trend",-0.127906976744186
81,"SPP","trend",-0.114035087719298
82,"SPP","trend",-0.0106382978723404
83,"SPP","trend",-0.1875
84,"SPP","trend",-0.130434782608696
85,"SPP","trend",0
86,"SPP","trend",-0.0642201834862385
87,"SPP","trend",-0.1375
88,"SPP","trend",-0.131578947368421
89,"SPP","trend",-0.0588235294117647
90,"SPP","trend",-0.0172413793103448
91,"SPP","trend",-0.0333333333333333
92,"SPP","trend",-0.107142857142857
93,"SPP","trend",0.1
94,"SPP","trend",-0.178571428571429
95,"SPP","trend",-0.0681818181818182
96,"SPP","trend",-0.0641025641025641
97,"SPP","trend",-0.138888888888889
98,"SPP","trend",-0.0677966101694915
99,"SPP","trend",-0.25
100,"SPP","trend",-0.125
101,"SPP","trend",0
102,"SPP","trend",-0.155555555555556
103,"SPP","trend",-0.0108359133126935
105,"SPP","trend",-0.0213055303717135
107,"SPP","trend",-0.0571428571428571
