"rgn_id","year","factor"
1,2017,1
2,2017,0.5
3,2017,1
4,2017,0.5
5,2017,1
6,2017,0.5
7,2017,0.5
8,2017,0.25
9,2017,1
10,2017,0.25
11,2017,0.25
12,2017,0.25
13,2017,0.5
14,2017,0.25
15,2017,1
16,2017,0.5
17,2017,0.25
18,2017,0.25
19,2017,0.25
20,2017,0.25
21,2017,1
22,2017,0.25
23,2017,0.25
24,2017,0.25
25,2017,0.5
26,2017,0.5
27,2017,0.5
28,2017,1
29,2017,0.25
30,2017,0.25
31,2017,0.25
32,2017,0.25
33,2017,0.25
34,2017,0.25
35,2017,0.25
36,2017,0.75
37,2017,0.25
38,2017,0.25
39,2017,0.25
40,2017,0.5
41,2017,0.5
42,2017,0.25
43,2017,1
44,2017,1
45,2017,0.5
46,2017,0.5
47,2017,0.5
48,2017,0.1
49,2017,0.25
50,2017,0.5
51,2017,0.25
52,2017,0.1
53,2017,0.25
54,2017,1
55,2017,0.25
56,2017,0.25
57,2017,0.25
58,2017,0.5
59,2017,0.5
60,2017,0.5
61,2017,0.25
62,2017,0.25
63,2017,0.25
64,2017,0.5
65,2017,0.5
66,2017,0.5
67,2017,0.25
68,2017,0.25
69,2017,0.5
70,2017,0.5
71,2017,0.5
72,2017,1
73,2017,0.25
74,2017,0.25
75,2017,0.5
76,2017,0.5
77,2017,0.25
78,2017,0.25
79,2017,0.5
80,2017,0.25
81,2017,0.1
82,2017,0.5
83,2017,0.25
84,2017,0.25
85,2017,0.25
86,2017,0.25
87,2017,0.5
88,2017,1
89,2017,0.25
90,2017,0.25
91,2017,0.1
92,2017,0.25
93,2017,0.25
94,2017,0.5
95,2017,1
96,2017,0.5
97,2017,0.5
98,2017,0.1
99,2017,1
100,2017,1
101,2017,0.5
102,2017,0.5
103,2017,0.5
1,2018,1
2,2018,0.5
3,2018,1
4,2018,0.5
5,2018,1
6,2018,0.5
7,2018,0.5
8,2018,0.25
9,2018,1
10,2018,0.25
11,2018,0.25
12,2018,0.25
13,2018,0.5
14,2018,0.25
15,2018,1
16,2018,0.5
17,2018,0.25
18,2018,0.5
19,2018,0.25
20,2018,0.25
21,2018,1
22,2018,0.25
23,2018,0.25
24,2018,0.25
25,2018,0.5
26,2018,0.5
27,2018,0.5
28,2018,1
29,2018,0.25
30,2018,0.25
31,2018,0.25
32,2018,0.25
33,2018,0.25
34,2018,0.25
35,2018,0.25
36,2018,0.75
37,2018,0.25
38,2018,0.25
39,2018,0.25
40,2018,0.5
41,2018,0.5
42,2018,0.25
43,2018,1
44,2018,1
45,2018,0.5
46,2018,0.5
47,2018,0.5
48,2018,0.1
49,2018,0.25
50,2018,0.5
51,2018,0.25
52,2018,0.1
53,2018,0.25
54,2018,1
55,2018,0.25
56,2018,0.25
57,2018,0.25
58,2018,0.5
59,2018,0.5
60,2018,1
61,2018,0.25
62,2018,0.25
63,2018,0.25
64,2018,0.5
65,2018,0.5
66,2018,0.5
67,2018,0.25
68,2018,0.25
69,2018,0.5
70,2018,0.5
71,2018,0.5
72,2018,1
73,2018,0.25
74,2018,0.25
75,2018,0.5
76,2018,0.5
77,2018,0.25
78,2018,0.25
79,2018,0.5
80,2018,0.25
81,2018,0.1
82,2018,0.5
83,2018,0.25
84,2018,0.25
85,2018,0.25
86,2018,0.25
87,2018,0.5
88,2018,1
89,2018,0.25
90,2018,0.5
91,2018,0.1
92,2018,0.25
93,2018,0.25
94,2018,0.5
95,2018,1
96,2018,0.5
97,2018,0.5
98,2018,0.1
99,2018,1
100,2018,1
101,2018,0.5
102,2018,0.5
103,2018,0.5
1,2019,1
2,2019,0.5
3,2019,1
4,2019,0.5
5,2019,1
6,2019,0.5
7,2019,0.5
8,2019,0.25
9,2019,1
10,2019,0.25
11,2019,0.25
12,2019,0.25
13,2019,0.5
14,2019,0.25
15,2019,1
16,2019,0.5
17,2019,0.25
18,2019,0.5
19,2019,0.25
20,2019,0.25
21,2019,1
22,2019,0.25
23,2019,0.5
24,2019,0.25
25,2019,0.5
26,2019,1
27,2019,0.5
28,2019,1
29,2019,0.25
30,2019,0.25
31,2019,0.25
32,2019,0.25
33,2019,0.25
34,2019,0.25
35,2019,0.25
36,2019,0.75
37,2019,0.25
38,2019,0.25
39,2019,0.5
40,2019,0.5
41,2019,0.5
42,2019,0.5
43,2019,1
44,2019,1
45,2019,1
46,2019,0.5
47,2019,0.5
48,2019,0.1
49,2019,0.5
50,2019,0.5
51,2019,0.25
52,2019,0.25
53,2019,0.25
54,2019,1
55,2019,0.25
56,2019,0.25
57,2019,0.25
58,2019,0.5
59,2019,0.5
60,2019,1
61,2019,0.25
62,2019,0.25
63,2019,0.25
64,2019,0.5
65,2019,0.5
66,2019,0.5
67,2019,0.25
68,2019,0.25
69,2019,0.5
70,2019,0.5
71,2019,0.5
72,2019,1
73,2019,0.25
74,2019,0.25
75,2019,0.5
76,2019,0.5
77,2019,0.25
78,2019,0.25
79,2019,0.5
80,2019,0.25
81,2019,0.1
82,2019,0.5
83,2019,0.5
84,2019,0.25
85,2019,0.25
86,2019,0.25
87,2019,0.5
88,2019,1
89,2019,0.25
90,2019,0.5
91,2019,0.1
92,2019,0.25
93,2019,0.25
94,2019,0.5
95,2019,1
96,2019,0.5
97,2019,0.5
98,2019,0.1
99,2019,1
100,2019,1
101,2019,0.5
102,2019,0.5
103,2019,0.5
1,2020,1
2,2020,0.5
3,2020,1
4,2020,0.5
5,2020,1
6,2020,0.5
7,2020,0.5
8,2020,0.25
9,2020,1
10,2020,0.25
11,2020,0.25
12,2020,0.25
13,2020,0.5
14,2020,0.25
15,2020,1
16,2020,0.5
17,2020,0.25
18,2020,0.5
19,2020,0.25
20,2020,0.25
21,2020,1
22,2020,0.5
23,2020,0.5
24,2020,0.25
25,2020,0.5
26,2020,1
27,2020,0.5
28,2020,1
29,2020,0.25
30,2020,0.25
31,2020,0.25
32,2020,0.25
33,2020,0.25
34,2020,0.25
35,2020,0.25
36,2020,0.75
37,2020,0.25
38,2020,0.25
39,2020,0.5
40,2020,0.5
41,2020,0.5
42,2020,0.5
43,2020,1
44,2020,1
45,2020,1
46,2020,0.5
47,2020,0.5
48,2020,0.1
49,2020,0.5
50,2020,0.5
51,2020,0.25
52,2020,0.25
53,2020,0.25
54,2020,1
55,2020,0.25
56,2020,0.25
57,2020,0.5
58,2020,0.5
59,2020,0.5
60,2020,1
61,2020,0.25
62,2020,0.25
63,2020,0.25
64,2020,0.5
65,2020,0.5
66,2020,0.5
67,2020,0.25
68,2020,0.25
69,2020,0.5
70,2020,1
71,2020,0.5
72,2020,1
73,2020,0.25
74,2020,0.25
75,2020,0.5
76,2020,0.5
77,2020,0.25
78,2020,0.25
79,2020,0.5
80,2020,0.25
81,2020,0.1
82,2020,0.5
83,2020,0.5
84,2020,0.25
85,2020,0.25
86,2020,0.25
87,2020,0.5
88,2020,1
89,2020,0.25
90,2020,0.5
91,2020,0.1
92,2020,0.25
93,2020,0.25
94,2020,0.5
95,2020,1
96,2020,0.5
97,2020,0.5
98,2020,0.1
99,2020,1
100,2020,1
101,2020,0.5
102,2020,0.5
103,2020,0.5
1,2021,1
2,2021,0.5
3,2021,1
4,2021,0.5
5,2021,1
6,2021,1
7,2021,0.5
8,2021,0.25
9,2021,1
10,2021,0.25
11,2021,0.25
12,2021,0.25
13,2021,0.5
14,2021,0.25
15,2021,1
16,2021,0.5
17,2021,0.25
18,2021,1
19,2021,0.25
20,2021,0.25
21,2021,1
22,2021,0.5
23,2021,0.5
24,2021,0.25
25,2021,0.5
26,2021,1
27,2021,0.5
28,2021,1
29,2021,0.25
30,2021,0.25
31,2021,0.25
32,2021,0.25
33,2021,0.25
34,2021,0.25
35,2021,0.25
36,2021,0.75
37,2021,0.25
38,2021,0.25
39,2021,0.5
40,2021,0.5
41,2021,0.5
42,2021,0.5
43,2021,1
44,2021,1
45,2021,1
46,2021,0.5
47,2021,0.5
48,2021,0.1
49,2021,0.5
50,2021,0.5
51,2021,0.25
52,2021,0.25
53,2021,0.25
54,2021,1
55,2021,0.25
56,2021,0.25
57,2021,0.5
58,2021,0.5
59,2021,0.5
60,2021,1
61,2021,0.25
62,2021,0.25
63,2021,0.25
64,2021,0.5
65,2021,0.5
66,2021,0.5
67,2021,0.25
68,2021,0.25
69,2021,0.5
70,2021,1
71,2021,0.5
72,2021,1
73,2021,0.25
74,2021,0.25
75,2021,0.5
76,2021,0.5
77,2021,0.25
78,2021,0.25
79,2021,0.5
80,2021,0.25
81,2021,0.1
82,2021,0.5
83,2021,0.5
84,2021,0.25
85,2021,0.25
86,2021,0.25
87,2021,0.5
88,2021,1
