"rgn_id","year","ep"
1,2017,0.122
2,2017,0.049
3,2017,0.053
4,2017,0.023
5,2017,0.069
6,2017,0.052
7,2017,0.141
8,2017,0.015
9,2017,0.055
10,2017,0.005
11,2017,0.022
12,2017,0.026
13,2017,0.02
14,2017,0.057
15,2017,0.019
16,2017,0.086
17,2017,0.089
18,2017,0.051
19,2017,0.018
20,2017,0.015
21,2017,0.103
22,2017,0.065
23,2017,0.077
24,2017,0.015
25,2017,0.055
26,2017,0.031
27,2017,0.051
28,2017,0.06
29,2017,0.014
30,2017,0.025
31,2017,0.013
32,2017,0.019
33,2017,0.026
34,2017,0.098
35,2017,0.082
36,2017,0.032
37,2017,0.013
38,2017,0.041
39,2017,0.044
40,2017,0.019
41,2017,0.022
42,2017,0.059
43,2017,0.064
44,2017,0.134
45,2017,0.044
46,2017,0.08
47,2017,0.021
48,2017,0.038
49,2017,0.018
50,2017,0.109
51,2017,0.291
52,2017,0.021
53,2017,0.028
54,2017,0.104
55,2017,0.05
56,2017,0.049
57,2017,0.017
58,2017,0.102
59,2017,0.16
60,2017,0.533
61,2017,0.038
62,2017,0.105
63,2017,0.014
64,2017,0.097
65,2017,0.035
66,2017,0.194
67,2017,0.027
68,2017,0.138
69,2017,0.203
70,2017,0.031
71,2017,0.104
72,2017,0.09
73,2017,0.008
74,2017,0.014
75,2017,0.009
76,2017,0.056
77,2017,0.013
78,2017,0.027
79,2017,0.082
80,2017,0.006
81,2017,0.006
82,2017,0.028
83,2017,0.058
84,2017,0.127
85,2017,0.045
86,2017,0.056
87,2017,0.018
88,2017,0.048
89,2017,0.066
90,2017,0.012
91,2017,0.012
92,2017,0.013
93,2017,0.07
94,2017,0.039
95,2017,0.037
96,2017,0.528
97,2017,0
98,2017,0.026
99,2017,0.067
100,2017,0.051
101,2017,0.043
102,2017,0.061
103,2017,0.135
1,2018,0.13
2,2018,0.056
3,2018,0.061
4,2018,0.023
5,2018,0.085
6,2018,0.091
7,2018,0.202
8,2018,0.016
9,2018,0.088
10,2018,0.026
11,2018,0.027
12,2018,0.039
13,2018,0.018
14,2018,0.052
15,2018,0.056
16,2018,0.089
17,2018,0.164
18,2018,0.086
19,2018,0.025
20,2018,0.018
21,2018,0.111
22,2018,0.057
23,2018,0.068
24,2018,0.027
25,2018,0.071
26,2018,0.035
27,2018,0.053
28,2018,0.057
29,2018,0.021
30,2018,0.027
31,2018,0.005
32,2018,0.024
33,2018,0.044
34,2018,0.113
35,2018,0.088
36,2018,0.04
37,2018,0.023
38,2018,0.053
39,2018,0.077
40,2018,0.035
41,2018,0.069
42,2018,0.065
43,2018,0.083
44,2018,0.098
45,2018,0.046
46,2018,0.088
47,2018,0.023
48,2018,0.004
49,2018,0.015
50,2018,0.144
51,2018,0.228
52,2018,0.016
53,2018,0.043
54,2018,0.115
55,2018,0.042
56,2018,0.047
57,2018,0.038
58,2018,0.094
59,2018,0.301
60,2018,0.183
61,2018,0.046
62,2018,0.127
63,2018,0.018
64,2018,0.137
65,2018,0.043
66,2018,0.241
67,2018,0.039
68,2018,0.157
69,2018,0.188
70,2018,0.039
71,2018,0.172
72,2018,0.111
73,2018,0.013
74,2018,0.019
75,2018,0.013
76,2018,0.057
77,2018,0.015
78,2018,0.033
79,2018,0.079
80,2018,0.01
81,2018,0.007
82,2018,0.024
83,2018,0.061
84,2018,0.165
85,2018,0.022
86,2018,0.05
87,2018,0.018
88,2018,0.061
89,2018,0.07
90,2018,0.017
91,2018,0.087
92,2018,0.018
93,2018,0.091
94,2018,0.041
95,2018,0.042
96,2018,0.593
97,2018,0.032
98,2018,0.019
99,2018,0.086
100,2018,0.061
101,2018,0.092
102,2018,0.076
103,2018,0.157
1,2019,0.159
2,2019,0.058
3,2019,0.06
4,2019,0.025
5,2019,0.091
6,2019,0.08
7,2019,0.207
8,2019,0.02
9,2019,0.084
10,2019,0.039
11,2019,0.036
12,2019,0.046
13,2019,0.019
14,2019,0.076
15,2019,0.042
16,2019,0.087
17,2019,0.164
18,2019,0.06
19,2019,0.022
20,2019,0.018
21,2019,0.11
22,2019,0.069
23,2019,0.104
24,2019,0.024
25,2019,0.059
26,2019,0.036
27,2019,0.059
28,2019,0.057
29,2019,0.025
30,2019,0.02
31,2019,0.012
32,2019,0.022
33,2019,0.05
34,2019,0.124
35,2019,0.12
36,2019,0.048
37,2019,0.021
38,2019,0.061
39,2019,0.072
40,2019,0.025
41,2019,0.029
42,2019,0.077
43,2019,0.089
44,2019,0.082
45,2019,0.047
46,2019,0.087
47,2019,0.028
48,2019,0.009
49,2019,0.015
50,2019,0.187
51,2019,0.2
52,2019,0.025
53,2019,0.062
54,2019,0.125
55,2019,0.044
56,2019,0.052
57,2019,0.029
58,2019,0.111
59,2019,0.33
60,2019,0.168
61,2019,0.045
62,2019,0.157
63,2019,0.03
64,2019,0.188
65,2019,0.046
66,2019,0.252
67,2019,0.048
68,2019,0.156
69,2019,0.195
70,2019,0.038
71,2019,0.164
72,2019,0.115
73,2019,0.013
74,2019,0.024
75,2019,0.083
76,2019,0.046
77,2019,0.013
78,2019,0.026
79,2019,0.091
80,2019,0.011
81,2019,0.007
82,2019,0.08
83,2019,0.054
84,2019,0.16
85,2019,0.025
86,2019,0.065
87,2019,0.026
88,2019,0.061
89,2019,0.079
90,2019,0.016
91,2019,0.138
92,2019,0.022
93,2019,0.086
94,2019,0.057
95,2019,0.045
96,2019,0.336
97,2019,0.04
98,2019,0.015
99,2019,0.083
100,2019,0.061
101,2019,0.101
102,2019,0.078
103,2019,0.146
1,2020,0.138
2,2020,0.052
3,2020,0.052
4,2020,0.026
5,2020,0.071
6,2020,0.057
7,2020,0.178
8,2020,0.014
9,2020,0.093
10,2020,0.03
11,2020,0.157
12,2020,0.041
13,2020,0.014
14,2020,0.058
15,2020,0.037
16,2020,0.07
17,2020,0.124
18,2020,0.054
19,2020,0.03
20,2020,0.014
21,2020,0.108
22,2020,0.075
23,2020,0.117
24,2020,0.023
25,2020,0.065
26,2020,0.035
27,2020,0.052
28,2020,0.048
29,2020,0.02
30,2020,0.022
31,2020,0.012
32,2020,0.027
33,2020,0.046
34,2020,0.132
35,2020,0.1
36,2020,0.034
37,2020,0.017
38,2020,0.036
39,2020,0.068
40,2020,0.026
41,2020,0.074
42,2020,0.093
43,2020,0.075
44,2020,0.083
45,2020,0.053
46,2020,0.075
47,2020,0.02
48,2020,0.021
49,2020,0.007
50,2020,0.199
51,2020,0.035
52,2020,0.017
53,2020,0.061
54,2020,0.118
55,2020,0.042
56,2020,0.045
57,2020,0.025
58,2020,0.104
59,2020,0.237
60,2020,0.137
61,2020,0.036
62,2020,0.115
63,2020,0.019
64,2020,0.173
65,2020,0.039
66,2020,0.243
67,2020,0.042
68,2020,0.119
69,2020,0.198
70,2020,0.026
71,2020,0.101
72,2020,0.087
73,2020,0.018
74,2020,0.015
75,2020,0.05
76,2020,0.031
77,2020,0.017
78,2020,0.03
79,2020,0.076
80,2020,0.012
81,2020,0
82,2020,0.058
83,2020,0.046
84,2020,0.114
85,2020,0.019
86,2020,0.037
87,2020,0.023
88,2020,0.037
89,2020,0.074
90,2020,0.02
91,2020,0.106
92,2020,0.012
93,2020,0.091
94,2020,0.049
95,2020,0.044
96,2020,0.269
97,2020,0.044
98,2020,0.03
99,2020,0.068
100,2020,0.052
101,2020,0.047
102,2020,0.059
103,2020,0.154
1,2021,0.168
2,2021,0.05
3,2021,0.058
4,2021,0.032
5,2021,0.062
6,2021,0.059
7,2021,0.195
8,2021,0.028
9,2021,0.11
10,2021,0.058
11,2021,0.129
12,2021,0.037
13,2021,0.019
14,2021,0.076
15,2021,0.042
16,2021,0.062
17,2021,0.121
18,2021,0.062
19,2021,0.022
20,2021,0.013
21,2021,0.124
22,2021,0.109
23,2021,0.173
24,2021,0.023
25,2021,0.08
26,2021,0.037
27,2021,0.042
28,2021,0.051
29,2021,0.022
30,2021,0.029
31,2021,0.006
32,2021,0.026
33,2021,0.047
34,2021,0.128
35,2021,0.097
36,2021,0.048
37,2021,0.021
38,2021,0.052
39,2021,0.05
40,2021,0.034
41,2021,0.081
42,2021,0.076
43,2021,0.074
44,2021,0.125
45,2021,0.053
46,2021,0.081
47,2021,0.025
48,2021,0.047
49,2021,0.005
50,2021,0.155
51,2021,0.045
52,2021,0.031
53,2021,0.081
54,2021,0.121
55,2021,0.044
56,2021,0.039
57,2021,0.026
58,2021,0.091
59,2021,0.236
60,2021,0.148
61,2021,0.036
62,2021,0.135
63,2021,0.051
64,2021,0.165
65,2021,0.036
66,2021,0.231
67,2021,0.041
68,2021,0.141
69,2021,0.179
70,2021,0.027
71,2021,0.097
72,2021,0.078
73,2021,0.009
74,2021,0.021
75,2021,0.056
76,2021,0.032
77,2021,0.024
78,2021,0.033
79,2021,0.081
80,2021,0.014
81,2021,0
82,2021,0.074
83,2021,0.044
84,2021,0.134
85,2021,0.053
86,2021,0.046
87,2021,0.03
88,2021,0.033
89,2021,0.059
90,2021,0.034
91,2021,0.099
92,2021,0.013
93,2021,0.076
94,2021,0.068
95,2021,0.056
96,2021,0.178
97,2021,0.019
98,2021,0.026
99,2021,0.067
100,2021,0.046
101,2021,0.087
102,2021,0.063
103,2021,0.165
