goal,dimension,region_id,score
AO,future,0,28.73
AO,future,1,17.18
AO,future,2,14.53
AO,future,3,11.3
AO,future,4,14.47
AO,future,5,77.06
AO,future,6,34.63
AO,future,7,16
AO,future,8,37.78
AO,future,9,20.57
AO,future,10,39.85
AO,future,11,43.53
AO,future,12,30.98
AO,future,13,9.33
AO,future,14,1.21
AO,future,15,12.65
AO,future,16,57.19
AO,future,17,3.2
AO,future,18,11.16
AO,future,19,16.68
AO,future,20,25.06
AO,future,21,51.54
AO,future,22,11.09
AO,future,23,19.82
AO,future,24,71.23
AO,future,25,18.97
AO,future,26,26.82
AO,future,27,
AO,future,28,54.43
AO,future,29,83.62
AO,future,30,55.26
AO,future,31,3.7
AO,future,32,26.42
AO,future,33,12.98
AO,future,34,6.37
AO,future,35,2.9
AO,future,36,10.82
AO,future,37,
AO,future,38,73.98
AO,future,39,36.77
AO,future,40,30.5
AO,future,41,63.35
AO,future,42,18.93
AO,future,43,86.79
AO,future,44,47.68
AO,future,45,9.62
AO,future,46,0.95
AO,future,47,31.69
AO,future,48,
AO,future,49,51.7
AO,future,50,100
AO,future,51,7.15
AO,future,52,
AO,future,53,96.3
AO,future,54,19.42
AO,future,55,67.64
AO,future,56,56.39
AO,future,57,6.7
AO,future,58,56.02
AO,future,59,19.08
AO,future,60,4.85
AO,future,61,24.68
AO,future,62,20.79
AO,future,63,43.14
AO,future,64,48.85
AO,future,65,9.06
AO,future,66,18.16
AO,future,67,12.82
AO,future,68,
AO,future,69,22.84
AO,future,70,10.86
AO,future,71,5.3
AO,future,72,8.93
AO,future,73,70.56
AO,future,74,2.01
AO,future,75,48.96
AO,future,76,6.89
AO,future,77,12.4
AO,future,78,10.87
AO,future,79,16.93
AO,future,80,38.71
AO,future,81,22.93
AO,future,82,11.75
AO,future,83,12.79
AO,future,84,
AO,future,85,10.2
AO,future,86,8.83
AO,future,87,15.32
AO,future,88,69.54
AO,future,89,22.15
AO,future,90,
AO,future,91,
AO,future,92,21.75
AO,future,93,27.63
AO,future,94,79.9
AO,future,95,4.84
AO,future,96,
AO,future,97,67.77
AO,future,98,0
AO,future,99,5.41
AO,future,100,13.8
AO,future,101,82.11
AO,future,102,100
AO,future,103,10.16
AO,pressures,1,39.08
AO,pressures,2,33.85
AO,pressures,3,53.97
AO,pressures,4,48.02
AO,pressures,5,53.45
AO,pressures,6,51.85
AO,pressures,7,49.34
AO,pressures,8,49.76
AO,pressures,9,56.09
AO,pressures,10,57.2
AO,pressures,11,49.3
AO,pressures,12,37.95
AO,pressures,13,48.68
AO,pressures,14,46.41
AO,pressures,15,48.42
AO,pressures,16,50.48
AO,pressures,17,46.02
AO,pressures,18,52.04
AO,pressures,19,51.01
AO,pressures,20,47.16
AO,pressures,21,53.93
AO,pressures,22,53.98
AO,pressures,23,54.56
AO,pressures,24,56.44
AO,pressures,25,48.56
AO,pressures,26,48.39
AO,pressures,27,57.29
AO,pressures,28,60.81
AO,pressures,29,56.38
AO,pressures,30,55.72
AO,pressures,31,43.29
AO,pressures,32,48.37
AO,pressures,33,56.19
AO,pressures,34,46.46
AO,pressures,35,44.73
AO,pressures,36,53.21
AO,pressures,37,44.51
AO,pressures,38,49.95
AO,pressures,39,50.48
AO,pressures,40,42.53
AO,pressures,41,55.27
AO,pressures,42,52.99
AO,pressures,43,59.97
AO,pressures,44,54.18
AO,pressures,45,49.8
AO,pressures,46,73.36
AO,pressures,47,53.89
AO,pressures,48,52.36
AO,pressures,49,44.46
AO,pressures,50,45.6
AO,pressures,51,53.62
AO,pressures,52,41.55
AO,pressures,53,45.69
AO,pressures,54,53.14
AO,pressures,55,48.69
AO,pressures,56,52.18
AO,pressures,57,44.68
AO,pressures,58,56.11
AO,pressures,59,59.29
AO,pressures,60,52.24
AO,pressures,61,52.24
AO,pressures,62,47.63
AO,pressures,63,54.35
AO,pressures,64,45.66
AO,pressures,65,46.05
AO,pressures,66,54.43
AO,pressures,67,51.72
AO,pressures,68,55.84
AO,pressures,69,49.59
AO,pressures,70,57.62
AO,pressures,71,79.98
AO,pressures,72,51.65
AO,pressures,73,51
AO,pressures,74,42.66
AO,pressures,75,48.2
AO,pressures,76,47.92
AO,pressures,77,47.66
AO,pressures,78,50.16
AO,pressures,79,49.27
AO,pressures,80,44.34
AO,pressures,81,60.79
AO,pressures,82,61.64
AO,pressures,83,49.55
AO,pressures,84,56.49
AO,pressures,85,47.41
AO,pressures,86,46.76
AO,pressures,87,56.34
AO,pressures,88,59.06
AO,pressures,89,52.53
AO,pressures,90,58.45
AO,pressures,91,55.98
AO,pressures,92,43.99
AO,pressures,93,51.03
AO,pressures,94,51.62
AO,pressures,95,43.86
AO,pressures,96,59.52
AO,pressures,97,50.97
AO,pressures,98,54.65
AO,pressures,99,52.59
AO,pressures,100,49.32
AO,pressures,101,44.05
AO,pressures,102,64.11
AO,pressures,103,49.15
AO,resilience,1,40.3
AO,resilience,2,30.03
AO,resilience,3,27.38
AO,resilience,4,36.35
AO,resilience,5,38.19
AO,resilience,6,28.39
AO,resilience,7,20.01
AO,resilience,8,27.73
AO,resilience,9,31.82
AO,resilience,10,28.45
AO,resilience,11,34.42
AO,resilience,12,42.76
AO,resilience,13,40.06
AO,resilience,14,38.75
AO,resilience,15,32.05
AO,resilience,16,22.76
AO,resilience,17,24.54
AO,resilience,18,23.52
AO,resilience,19,28.98
AO,resilience,20,23.31
AO,resilience,21,25.67
AO,resilience,22,25.47
AO,resilience,23,24.94
AO,resilience,24,33.8
AO,resilience,25,31.35
AO,resilience,26,30.31
AO,resilience,27,23.16
AO,resilience,28,27.55
AO,resilience,29,36.06
AO,resilience,30,39.49
AO,resilience,31,33.25
AO,resilience,32,28.85
AO,resilience,33,23.51
AO,resilience,34,31.52
AO,resilience,35,34.14
AO,resilience,36,22.99
AO,resilience,37,25.1
AO,resilience,38,25.74
AO,resilience,39,22.96
AO,resilience,40,35.48
AO,resilience,41,21.09
AO,resilience,42,23.04
AO,resilience,43,23.64
AO,resilience,44,27.46
AO,resilience,45,32.01
AO,resilience,46,28.18
AO,resilience,47,38.98
AO,resilience,48,26.61
AO,resilience,49,36.14
AO,resilience,50,28.82
AO,resilience,51,27.81
AO,resilience,52,35.24
AO,resilience,53,23.36
AO,resilience,54,26.98
AO,resilience,55,33.9
AO,resilience,56,39.81
AO,resilience,57,22.26
AO,resilience,58,18.31
AO,resilience,59,18.61
AO,resilience,60,28.52
AO,resilience,61,26.31
AO,resilience,62,31.48
AO,resilience,63,28.15
AO,resilience,64,28.92
AO,resilience,65,35.9
AO,resilience,66,27.96
AO,resilience,67,18.11
AO,resilience,68,18.27
AO,resilience,69,31.98
AO,resilience,70,29.32
AO,resilience,71,26.58
AO,resilience,72,18.12
AO,resilience,73,26.36
AO,resilience,74,24.58
AO,resilience,75,23.13
AO,resilience,76,23.48
AO,resilience,77,22.92
AO,resilience,78,24.61
AO,resilience,79,32.02
AO,resilience,80,25.29
AO,resilience,81,19.15
AO,resilience,82,35.32
AO,resilience,83,30.59
AO,resilience,84,18.26
AO,resilience,85,22.59
AO,resilience,86,35.16
AO,resilience,87,31.42
AO,resilience,88,35.95
AO,resilience,89,18.52
AO,resilience,90,34.39
AO,resilience,91,18.52
AO,resilience,92,35.36
AO,resilience,93,20.43
AO,resilience,94,34.69
AO,resilience,95,35.25
AO,resilience,96,18.3
AO,resilience,97,26.87
AO,resilience,98,25.41
AO,resilience,99,38.47
AO,resilience,100,31.35
AO,resilience,101,28.99
AO,resilience,102,32.06
AO,resilience,103,30.23
AO,score,0,30.83
AO,score,1,23.9
AO,score,2,17.22
AO,score,3,16.57
AO,score,4,18.35
AO,score,5,62.32
AO,score,6,35.74
AO,score,7,23.39
AO,score,8,39.35
AO,score,9,26.78
AO,score,10,33.35
AO,score,11,46.74
AO,score,12,32.73
AO,score,13,13.26
AO,score,14,2.59
AO,score,15,17.96
AO,score,16,53.72
AO,score,17,6.29
AO,score,18,16.51
AO,score,19,22.24
AO,score,20,34.33
AO,score,21,42.11
AO,score,22,18.75
AO,score,23,27.92
AO,score,24,57.94
AO,score,25,27.08
AO,score,26,26.11
AO,score,27,
AO,score,28,48.97
AO,score,29,67.89
AO,score,30,44.72
AO,score,31,8.09
AO,score,32,32.46
AO,score,33,20.24
AO,score,34,11.13
AO,score,35,6.37
