"rgn_id","rgn_name","area_km2"
1,"Algarrobo",266.28630641
2,"Ancud",1546.44831328
3,"Antofagasta",3549.76418665
4,"Arauco",1018.9445564
5,"Arica",1177.63067312
6,"Aysen",16051.0366655
7,"Cabo de Hornos",25608.8067403
8,"Calbuco",1068.10641911
9,"Caldera",3101.30992397
10,"Camarones",1020.53314129
11,"Canela",1322.89388997
12,"Canete",684.880816038
13,"Carahue",1259.70083894
14,"Cartagena",98.0051061625
15,"Casablanca",332.632332709
16,"Castro",350.386255064
17,"Chaiten",4735.61300759
18,"Chanaral",1589.460684
19,"Chanco",514.075002346
20,"Chonchi",949.060092485
21,"Cisnes",13571.1856655
22,"Cobquecura",907.948802781
23,"Cochamo",151.287088878
24,"Coelemu",173.981460114
25,"Concon",108.363700312
26,"Constitucion",1404.19517814
27,"Copiapo",818.802140416
28,"Coquimbo",1517.42369058
29,"Coronel",1049.97249058
30,"Corral",626.907492129
31,"Curaco de Velez",80.5804673034
32,"Curepto",424.246653189
33,"Dalcahue",812.626900358
34,"El quisco",191.008950883
35,"El tabo",227.959244818
36,"Freirina",1966.13053485
37,"Fresia",618.740605822
38,"Guaitecas",3545.93099619
39,"Hualaihue",1186.8193497
40,"Hualpen",421.293809501
41,"Huara",2267.42864085
42,"Huasco",1705.89129833
43,"Iquique",3701.64721034
44,"La higuera",2111.4629977
45,"La ligua",639.395954306
46,"La serena",1087.56556723
47,"La union",579.772473261
48,"Laguna Blanca",161.79677494
49,"Lebu",1048.84616824
50,"Licanten",229.272332734
51,"Litueche",279.846847494
52,"Los alamos",148.463861672
53,"Los Muermos",627.857237115
54,"Los vilos",1249.49865138
55,"Lota",590.529016899
56,"Mariquina",728.562793845
57,"Maullin",887.795026857
58,"Mejillones",2403.70965571
59,"Natales",32015.4221575
60,"Navidad",495.566031862
61,"Ovalle",2226.13831912
62,"Papudo",274.454990081
63,"Paredones",355.961527027
64,"Pelluhue",804.201958714
65,"Penco",191.91372976
66,"Pichilemu",1000.15198731
67,"Porvenir",2614.04012401
68,"Primavera",2677.45171846
69,"Puchuncavi",420.06272174
70,"Puerto Montt",562.296980981
71,"Puerto Varas",8.37021450527
72,"Punta Arenas",21020.6989066
73,"Puqueldon",150.702331818
74,"Purranque",683.725762581
75,"Queilen",1104.1399181
76,"Quellon",7739.73445962
77,"Quemchi",1484.50906916
78,"Quinchao",811.341545435
79,"Quintero",415.616435147
80,"Rio Negro",486.143333159
81,"Rio Verde",4317.68945669
82,"Saavedra",536.51165178
83,"San antonio",173.550649188
84,"San Gregorio",1728.39776144
85,"San Juan de la Costa",1125.17568518
86,"San pedro de la paz",572.347031312
87,"Santo domingo",1021.10032946
88,"Talcahuano",344.744673604
89,"Taltal",4336.32958322
90,"Teodoro schmidt",736.089768434
91,"Timaukel",2750.66522945
92,"Tirua",2346.26168871
93,"Tocopilla",3213.22150349
94,"Tolten",367.587852501
95,"Tome",635.345742429
96,"Torres del Paine",146.3843792
97,"Tortel",14744.7438202
98,"Treguaco",84.6417065221
99,"Valdivia",646.885460502
100,"Valparaiso",384.155309626
101,"Vichuquen",534.804094165
102,"Vina del mar",339.144617072
103,"Zapallar",351.211150589
