"ESPECIE","L9","L10","COMUNA","year"
"ANCHOVETA","172973","0","ARICA",2018
"CABALLA","35","0","ARICA",2018
"JUREL","90","0","ARICA",2018
"ANCHOVETA","404449","-","IQUIQUE",2018
"CABALLA","34","-","IQUIQUE",2018
"JUREL","2578","-","IQUIQUE",2018
"ANCHOVETA","172003","-","MEJILLONES",2018
"CABALLA","1043","-","MEJILLONES",2018
"JUREL","7149","-","MEJILLONES",2018
"ANCHOVETA","26990","-","CALDERA",2018
"CABALLA","9502","-","CALDERA",2018
"JUREL","6259","-","CALDERA",2018
"ALBACORA O PEZ ESPADA / IVI HEHEU","-","-","COQUIMBO",2018
"ANCHOVETA","11744","-","COQUIMBO",2018
"AZULEJO","-","-","COQUIMBO",2018
"CABALLA","1302","-","COQUIMBO",2018
"JUREL","1515","-","COQUIMBO",2018
"MACHUELO O TRITRE","1182","-","COQUIMBO",2018
"MERLUZA COMUN","-","-","COQUIMBO",2018
"TIBURON O MARRAJO DENTUDO","-","-","COQUIMBO",2018
"JIBIA O CALAMAR ROJO","1","-","COQUIMBO",2018
"LOCO","-","-","COQUIMBO",2018
"MACHA","-","-","COQUIMBO",2018
"CAMARON NAILON","-","-","COQUIMBO",2018
"LANGOSTINO AMARILLO","-","-","COQUIMBO",2018
"LANGOSTINO COLORADO","-","-","COQUIMBO",2018
"CONGRIO NEGRO","-","-","LOS VILOS",2018
"MERLUZA COMUN","-","-","LOS VILOS",2018
"JIBIA O CALAMAR ROJO","-","-","LOS VILOS",2018
"LOCO","-","-","LOS VILOS",2018
"MACHA","-","-","LOS VILOS",2018
"CAMARON NAILON","-","-","LOS VILOS",2018
"LOCO","-","-","TONGOY",2018
"MACHA","-","-","TONGOY",2018
"ALBACORA O PEZ ESPADA / IVI HEHEU","-","-","QUINTERO",2018
"MACHUELO O TRITRE","-","-","QUINTERO",2018
"MERLUZA COMUN","-","-","QUINTERO",2018
"JIBIA O CALAMAR ROJO","-","-","QUINTERO",2018
"LOCO","-","-","QUINTERO",2018
"MACHA","-","-","QUINTERO",2018
"CAMARON NAILON","-","-","QUINTERO",2018
"LANGOSTINO AMARILLO","-","-","QUINTERO",2018
"LANGOSTINO COLORADO","-","-","QUINTERO",2018
"ALBACORA O PEZ ESPADA / IVI HEHEU","-","-","VALPARAISO",2018
"CABALLA","-","-","VALPARAISO",2018
"CONGRIO NEGRO","-","-","VALPARAISO",2018
"JUREL","-","-","VALPARAISO",2018
"MERLUZA COMUN","-","-","VALPARAISO",2018
"TIBURON O MARRAJO DENTUDO","-","-","VALPARAISO",2018
"JIBIA O CALAMAR ROJO","-","-","VALPARAISO",2018
"CAMARON NAILON","-","-","VALPARAISO",2018
"ANCHOVETA","1889","-","SAN ANTONIO",2018
"JUREL","36","-","SAN ANTONIO",2018
"MACHUELO O TRITRE","1601","-","SAN ANTONIO",2018
"MERLUZA COMUN","-","-","SAN ANTONIO",2018
"SARDINA COMUN","4703","-","SAN ANTONIO",2018
"JIBIA O CALAMAR ROJO","-","-","SAN ANTONIO",2018
"MERLUZA COMUN","-","-","PICHILEMU",2018
"REINETA","-","-","PICHILEMU",2018
"JIBIA O CALAMAR ROJO","-","-","PICHILEMU",2018
"MERLUZA COMUN","-","-","CONSTITUCION",2018
"REINETA","-","-","CONSTITUCION",2018
"JIBIA O CALAMAR ROJO","-","-","CONSTITUCION",2018
"CAMARON NAILON","-","-","TOME",2018
"LANGOSTINO AMARILLO","-","-","TOME",2018
"LANGOSTINO COLORADO","-","-","TOME",2018
"REINETA","-","-","CHILLAN",2018
"JIBIA O CALAMAR ROJO","-","-","CHILLAN",2018
"ANCHOVETA","40286","-","CORONEL",2018
"BACALADILLO O MOTE","11790","-","CORONEL",2018
"CABALLA","27924","-","CORONEL",2018
"JUREL","141450","-","CORONEL",2018
"MACHUELO O TRITRE","1911","-","CORONEL",2018
"MERLUZA COMUN","-","-","CORONEL",2018
"MERLUZA DE COLA","-","-","CORONEL",2018
"PAMPANITO","845","-","CORONEL",2018
"REINETA","-","-","CORONEL",2018
"SARDINA COMUN","221473","-","CORONEL",2018
"JIBIA O CALAMAR ROJO","2","-","CORONEL",2018
"LANGOSTINO AMARILLO","2","-","CORONEL",2018
"LANGOSTINO COLORADO","2","-","CORONEL",2018
"REINETA","-","-","LEBU",2018
"JIBIA O CALAMAR ROJO","-","-","LEBU",2018
"ANCHOVETA","6295","-","SAN VICENTE",2018
"BACALADILLO O MOTE","1485","-","SAN VICENTE",2018
"CABALLA","3807","-","SAN VICENTE",2018
"JUREL","24137","-","SAN VICENTE",2018
"MACHUELO O TRITRE","188","-","SAN VICENTE",2018
"PAMPANITO","13","-","SAN VICENTE",2018
"SARDINA COMUN","28950","-","SAN VICENTE",2018
"JIBIA O CALAMAR ROJO","2","-","SAN VICENTE",2018
"ANCHOVETA","7764","-","TALCAHUANO",2018
"BACALADILLO O MOTE","1624","-","TALCAHUANO",2018
"CABALLA","3001","-","TALCAHUANO",2018
"JUREL","10804","-","TALCAHUANO",2018
"MERLUZA COMUN","-","-","TALCAHUANO",2018
"MERLUZA DE COLA","-","-","TALCAHUANO",2018
"PAMPANITO","38","-","TALCAHUANO",2018
"REINETA","-","-","TALCAHUANO",2018
"SARDINA COMUN","37981","-","TALCAHUANO",2018
"JIBIA O CALAMAR ROJO","-","-","TALCAHUANO",2018
"LOCO","-","-","CORRAL",2018
"ANCHOVETA","4496","-","VALDIVIA",2018
"BACALADILLO O MOTE","34","-","VALDIVIA",2018
"BACALAO DE PROFUNDIDAD","-","-","VALDIVIA",2018
"MERLUZA DEL SUR O AUSTRAL","-","-","VALDIVIA",2018
"REINETA","-","-","VALDIVIA",2018
"SARDINA COMUN","46076","-","VALDIVIA",2018
"SIERRA","-","-","VALDIVIA",2018
"LOCO","-","-","VALDIVIA",2018
"CENTOLLA","-","-","VALDIVIA",2018
"JAIBA MARMOLA","-","-","VALDIVIA",2018
"MERLUZA DEL SUR O AUSTRAL","-","-","ANCUD",2018
"ALMEJA","-","-","ANCUD",2018
"CHORITO","-","-","ANCUD",2018
"JULIANA O TAWERA","-","-","ANCUD",2018
"LOCO","-","-","ANCUD",2018
"MACHA","-","-","ANCUD",2018
"PULPO DEL SUR","-","-","ANCUD",2018
"CENTOLLA","-","-","ANCUD",2018
"JAIBA MARMOLA","-","-","ANCUD",2018
"ERIZO","-","-","ANCUD",2018
"PIURE","-","-","ANCUD",2018
"ANCHOVETA","79","-","CALBUCO",2018
"BACALADILLO O MOTE","42","-","CALBUCO",2018
"SARDINA AUSTRAL","1923","-","CALBUCO",2018
"SARDINA COMUN","57","-","CALBUCO",2018
"CHORITO","-","-","CALBUCO",2018
"CULENGUE","-","-","CALBUCO",2018
"JULIANA O TAWERA","-","-","CALBUCO",2018
"LOCO","-","-","CALBUCO",2018
"PULPO DEL SUR","-","-","CALBUCO",2018
"CENTOLLA","-","-","CALBUCO",2018
"JAIBA MARMOLA","-","-","CALBUCO",2018
"ERIZO","-","-","CALBUCO",2018
"PIURE","-","-","CALBUCO",2018
"MERLUZA DEL SUR O AUSTRAL","-","-","CASTRO",2018
"REINETA","-","-","CASTRO",2018
"CHORITO","-","-","CASTRO",2018
"CHORO","-","-","CASTRO",2018
"JULIANA O TAWERA","-","-","CASTRO",2018
"MACHA","-","-","CASTRO",2018
"PULPO DEL SUR","-","-","CASTRO",2018
"CENTOLLA","-","-","CASTRO",2018
"JAIBA MARMOLA","-","-","CASTRO",2018
"ERIZO","-","-","CASTRO",2018
"ANCHOVETA","273","-","PUERTO MONTT",2018
"BACALADILLO O MOTE","163","-","PUERTO MONTT",2018
"BACALAO DE PROFUNDIDAD","-","-","PUERTO MONTT",2018
"MERLUZA DEL SUR O AUSTRAL","-","-","PUERTO MONTT",2018
"REINETA","-","-","PUERTO MONTT",2018
"SARDINA AUSTRAL","5383","-","PUERTO MONTT",2018
"SARDINA COMUN","699","-","PUERTO MONTT",2018
"SIERRA","-","-","PUERTO MONTT",2018
"ALMEJA","-","-","PUERTO MONTT",2018
"CHORITO","-","-","PUERTO MONTT",2018
"CHORO","-","-","PUERTO MONTT",2018
"CULENGUE","-","-","PUERTO MONTT",2018
"JULIANA O TAWERA","-","-","PUERTO MONTT",2018
"LOCO","-","-","PUERTO MONTT",2018
"MACHA","-","-","PUERTO MONTT",2018
"PULPO DEL SUR","-","-","PUERTO MONTT",2018
"CENTOLLA","-","-","PUERTO MONTT",2018
"JAIBA MARMOLA","-","-","PUERTO MONTT",2018
"ERIZO","-","-","PUERTO MONTT",2018
"PIURE","-","-","PUERTO MONTT",2018
"ALMEJA","-","-","QUELLON",2018
"PULPO DEL SUR","-","-","QUELLON",2018
"CENTOLLA","-","-","QUELLON",2018
"JAIBA MARMOLA","-","-","QUELLON",2018
"ERIZO","-","-","QUELLON",2018
"MERLUZA DEL SUR O AUSTRAL","-","-","AYSEN",2018
"SARDINA AUSTRAL","562","-","AYSEN",2018
"CENTOLLA","-","-","AYSEN",2018
"CENTOLLON","-","-","AYSEN",2018
"ERIZO","-","-","AYSEN",2018
"CENTOLLA","-","-","MELINKA",2018
"ERIZO","-","-","MELINKA",2018
"MERLUZA DEL SUR O AUSTRAL","0","0","PTO. NATALES",2018
"CENTOLLA","0","0","PTO. NATALES",2018
"CENTOLLON","0","0","PTO. NATALES",2018
"ERIZO","0","0","PTO. NATALES",2018
"CENTOLLA","-","-","PUERTO WILLIAMS",2018
"CENTOLLON","-","-","PUERTO WILLIAMS",2018
"MERLUZA DEL SUR O AUSTRAL","-","-","PUNTA ARENAS",2018
"CENTOLLA","-","-","PUNTA ARENAS",2018
"CENTOLLON","-","-","PUNTA ARENAS",2018
"ERIZO","-","-","PUNTA ARENAS",2018
"CENTOLLA","-","-","PORVENIR",2018
"CENTOLLON","-","-","PORVENIR",2018
"ANCHOVETA","132140","-","ARICA",2019
"CABALLA","3184","-","ARICA",2019
"JUREL","1896","-","ARICA",2019
"ANCHOVETA","285708","-","IQUIQUE",2019
"CABALLA","43664","-","IQUIQUE",2019
"JUREL","11945","-","IQUIQUE",2019
"ANCHOVETA","105280","-","MEJILLONES",2019
"CABALLA","8537","-","MEJILLONES",2019
"JUREL","715","-","MEJILLONES",2019
"ANCHOVETA","37078","-","CALDERA",2019
"CABALLA","3415","-","CALDERA",2019
"JUREL","5145","-","CALDERA",2019
"ALBACORA O PEZ ESPADA / IVI HEHEU","-","-","COQUIMBO",2019
"ANCHOVETA","23181","-","COQUIMBO",2019
"CABALLA","838","-","COQUIMBO",2019
"JUREL","4396","-","COQUIMBO",2019
"MACHUELO O TRITRE","403","-","COQUIMBO",2019
"MERLUZA COMUN","-","-","COQUIMBO",2019
"TIBURON O MARRAJO DENTUDO","-","-","COQUIMBO",2019
"JIBIA O CALAMAR ROJO","-","-","COQUIMBO",2019
"LOCO","-","-","COQUIMBO",2019
"MACHA","-","-","COQUIMBO",2019
"CAMARON NAILON","2","-","COQUIMBO",2019
"LANGOSTINO AMARILLO","-","-","COQUIMBO",2019
"LANGOSTINO COLORADO","-","-","COQUIMBO",2019
"ALBACORA O PEZ ESPADA / IVI HEHEU","-","-","LOS VILOS",2019
"CONGRIO NEGRO","-","-","LOS VILOS",2019
"MERLUZA COMUN","-","-","LOS VILOS",2019
"LOCO","-","-","LOS VILOS",2019
"MACHA","-","-","LOS VILOS",2019
"JIBIA O CALAMAR ROJO","-","-","TONGOY",2019
"LOCO","-","-","TONGOY",2019
"MACHA","-","-","TONGOY",2019
"ALBACORA O PEZ ESPADA / IVI HEHEU","-","-","QUINTERO",2019
"MACHUELO O TRITRE","-","-","QUINTERO",2019
"MERLUZA COMUN","-","-","QUINTERO",2019
"JIBIA O CALAMAR ROJO","-","-","QUINTERO",2019
"LOCO","-","-","QUINTERO",2019
"CAMARON NAILON","-","-","QUINTERO",2019
"LANGOSTINO AMARILLO","-","-","QUINTERO",2019
"LANGOSTINO COLORADO","-","-","QUINTERO",2019
"ALBACORA O PEZ ESPADA / IVI HEHEU","-","-","VALPARAISO",2019
"CABALLA","-","-","VALPARAISO",2019
"JUREL","-","-","VALPARAISO",2019
"MERLUZA COMUN","-","-","VALPARAISO",2019
"JIBIA O CALAMAR ROJO","-","-","VALPARAISO",2019
"MACHA","-","-","VALPARAISO",2019
"CAMARON NAILON","-","-","VALPARAISO",2019
"ALBACORA O PEZ ESPADA / IVI HEHEU","-","-","SAN ANTONIO",2019
