"","ESPECIE","pmm"
"1","ABALON JAPONES","TRUE"
"2","ABALON ROJO","TRUE"
"3","ACHA O HACHA","TRUE"
"4","AGUJILLA","TRUE"
"5","ALBACORA O PEZ ESPADA","TRUE"
"6","ALBACORA O PEZ ESPADA / IVI HEHEU","TRUE"
"7","ALFONSINO","TRUE"
"8","ALGA NO CLASIFICADA","FALSE"
"9","ALGAS MIXTAS","FALSE"
"10","ALMEJA","TRUE"
"11","ANCHOVETA","TRUE"
"12","ANCHOVETA BLANCA","TRUE"
"13","ANGELOTE","TRUE"
"14","ANGUILA","FALSE"
"15","ANGUILA BABOSA","TRUE"
"16","ANGUILA COMUN","TRUE"
"17","ANGUILA MORENA ALETA BAJA /KOREHA HA OKO","TRUE"
"18","APANADO","TRUE"
"19","APAÑADO","TRUE"
"20","ATUN ALETA AMARILLA","TRUE"
"21","ATUN ALETA AMARILLA / KAHI AVE AVE","TRUE"
"22","ATUN ALETA AZUL","TRUE"
"23","ATUN ALETA LARGA","TRUE"
"24","ATUN CHAUCHERA","TRUE"
"25","ATUN LANZON","TRUE"
"26","ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","TRUE"
"27","ATUN NEGRO","TRUE"
"28","ATUN OJOS GRANDES","TRUE"
"29","ATUN OJOS GRANDES / KAHI MATA TATA","TRUE"
"30","AYANQUE","TRUE"
"31","AZULEJO","TRUE"
"32","BABUNCO O BAUNCO","TRUE"
"33","BACALADILLO O MOTE","TRUE"
"34","BACALAO ANTARTICO","TRUE"
"35","BACALAO DE J,FERNANDEZ / KOPUKU HAHA ROA","TRUE"
"36","BACALAO DE J.FERNANDEZ","TRUE"
"37","BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","TRUE"
"38","BACALAO DE PROFUNDIDAD","TRUE"
"39","BACALAO I,PASCUA,ATUN ESCOFINA/KONSO","TRUE"
"40","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","TRUE"
"41","BAGRE","TRUE"
"42","BAGRE AGUA DULCE","TRUE"
"43","BARRACUDA O PETO / KANA KANA","TRUE"
"44","BARRILETE NEGRO","TRUE"
"45","BARRILETE NEGRO, MELVA O BOTELLITA","TRUE"
"46","BESUGO","TRUE"
"47","BILAGAY","TRUE"
"48","BLANQUILLO","TRUE"
"49","BONITO","TRUE"
"50","BRECA DE JUAN FERNANDEZ","TRUE"
"51","BRECA O BILAGAY","TRUE"
"52","BROTULA","TRUE"
"53","CABALLA","TRUE"
"54","CABINZA","TRUE"
"55","CABRILLA","TRUE"
"56","CABRILLA COMUN","TRUE"
"57","CABRILLA ESPANOLA","TRUE"
"58","CABRILLA ESPAÑOLA","TRUE"
"59","CABRILLA RUBIA","TRUE"
"60","CACHURRETA","TRUE"
"61","CALAMAR","TRUE"
"62","CALAMAR ANTARTICO","TRUE"
"63","CALAMAR ILLEX O POTA DEL ATLANTICO","TRUE"
"64","CAMARON DE RIO DEL NORTE","TRUE"
"65","CAMARON DE ROCA","TRUE"
"66","CAMARON DE TALUD","TRUE"
"67","CAMARON NAILON","TRUE"
"68","CAMARON NAVAJA","TRUE"
"69","CANGREJO DORADO DE J, FERNANDEZ","TRUE"
"70","CANGREJO DORADO DE J. FERNANDEZ","TRUE"
"71","CANGREJO O PANCHOTE","TRUE"
"72","CANQUE","TRUE"
"73","CARACOL LOCATE","TRUE"
"74","CARACOL PALO PALO","TRUE"
"75","CARACOL PICUYO","TRUE"
"76","CARACOL PIQUILHUE","TRUE"
"77","CARACOL REAL","TRUE"
"78","CARACOL RUBIO","TRUE"
"79","CARACOL TEGULA","TRUE"
"80","CARACOL TROPHON","TRUE"
"81","CARACOL TRUMULCO","TRUE"
"82","CAROLA","FALSE"
"83","CARPA","TRUE"
"84","CASTANETA","TRUE"
"85","CAZON","TRUE"
"86","CENTOLLA","TRUE"
"87","CENTOLLA DEL NORTE","TRUE"
"88","CENTOLLON","TRUE"
"89","CENTOLLON DEL NORTE","TRUE"
"90","CHANCHARRO","FALSE"
"91","CHANCHITO","FALSE"
"92","CHASCA","TRUE"
"93","CHASCON O HUIRO NEGRO","FALSE"
"94","CHASQUE O CHALACO","TRUE"
"95","CHICOREA DE MAR","TRUE"
"96","CHITON O APRETADOR","TRUE"
"97","CHOCHA","TRUE"
"98","CHOLGA","FALSE"
"99","CHORITO","TRUE"
"100","CHORO","TRUE"
"101","CIGALA / RAPE RAPE O RARAPE","TRUE"
"102","COCHAYUYO","FALSE"
"103","COCHINILLA","FALSE"
"104","COJINOBA DEL NORTE","TRUE"
"105","COJINOBA DEL NORTE / PIAFRI","TRUE"
"106","COJINOBA DEL SUR","TRUE"
"107","COJINOBA DEL SUR O AZUL","TRUE"
"108","COJINOBA MOTEADA","TRUE"
"109","COLORADO O SALMON JUAN FERNANDEZ U OJUDO","TRUE"
"110","CONGRIO COLORADO","TRUE"
"111","CONGRIO DE ISLA DE PASCUA / KOIRO","TRUE"
"112","CONGRIO DORADO","TRUE"
"113","CONGRIO NEGRO","TRUE"
"114","CONGRIO PLATEADO","TRUE"
"115","CORVINA","TRUE"
"116","CORVINA DE JUAN FERNANDEZ","TRUE"
"117","CRUSTACEO NO CLASIFICADO","FALSE"
"118","CUBICEPS","TRUE"
"119","CULENGUE","TRUE"
"120","DESECHO DE PESCADO","FALSE"
"121","DORADO","TRUE"
"122","DORADO DE ALTURA","TRUE"
"123","DORADO DE ALTURA / MAHI MAHI","TRUE"
"124","DRACO RAYADO","TRUE"
"125","EMPERADOR","TRUE"
"126","ENTEROMORPHA","FALSE"
"127","ERIZO","TRUE"
"128","ESTURION DE SIBERIA","TRUE"
"129","ESTURION OSETRA","TRUE"
"130","GAMBA","FALSE"
"131","GRANADERO GRANDE","TRUE"
"132","GRANIENTO","TRUE"
"133","HAEMATOCOCCUS","FALSE"
"134","HALIBUT O FLETAN","TRUE"
"135","HIRAME","TRUE"
"136","HUAIQUIL O CORVINILLA","TRUE"
"137","HUEPO O NAVAJA DE MAR","TRUE"
"138","HUIRO","FALSE"
"139","HUIRO NEGRO O CHASCON","FALSE"
"140","HUIRO PALO","FALSE"
"141","JAIBA","TRUE"
"142","JAIBA LIMON","TRUE"
"143","JAIBA MARMOLA","TRUE"
"144","JAIBA MORA","TRUE"
"145","JAIBA PACO","TRUE"
"146","JAIBA PANCHOTE O CANGREJO","TRUE"
"147","JAIBA PANCORA","TRUE"
"148","JAIBA PATUDA","TRUE"
"149","JAIBA PELUDA O PACHONA","TRUE"
"150","JAIBA REINA","TRUE"
"151","JAIBA REMADORA","TRUE"
"152","JERGUILLA","TRUE"
"153","JERGUILLA DE JUAN FERNANDEZ","TRUE"
"154","JIBIA O CALAMAR ROJO","TRUE"
"155","JULIANA O TAWERA","TRUE"
"156","JUREL","TRUE"
"157","JUREL / ATURE","TRUE"
"158","JUREL DE JUAN FERNANDEZ","TRUE"
"159","JUREL FINO","TRUE"
"160","KONSO","TRUE"
"161","LANGOSTA DE J. FERNANDEZ","TRUE"
"162","LANGOSTA DE I DE PASCUA","TRUE"
"163","LANGOSTA DE J,FERNANDEZ","TRUE"
"164",,
"165","LANGOSTA DE J.FERNANDEZ","TRUE"
"166","LANGOSTA ENANA","TRUE"
"167","LANGOSTA RAPA NUI / URA","TRUE"
"168","LANGOSTINO AMARILLO","TRUE"
"169","LANGOSTINO COLORADO","TRUE"
