"MACROZONA","ESPECIE","y"
"NORTE","ANCHOVETA",2021
"NORTE","JUREL",2021
"NORTE","CABALLA",2021
"CENTRO","MERLUZA COMUN",2021
"CENTRO","CAMARON NAILON",2021
"CENTRO","LANGOSTINO COLORADO",2021
"CENTRO","LANGOSTINO AMARILLO",2021
"CENTRO","ALBACORA O PEZ ESPADA / IVI HEHEU",2021
"CENTRO","PICHIBUENO",2021
"CENTRO","CONGRIO NEGRO",2021
"CENTRO Y SUR","JUREL",2021
"CENTRO Y SUR","MERLUZA COMUN",2021
"CENTRO Y SUR","CABALLA",2021
"CENTRO Y SUR","LANGOSTINO COLORADO",2021
"CENTRO Y SUR","MERLUZA DE COLA",2021
"CENTRO Y SUR","LANGOSTINO AMARILLO",2021
"CENTRO Y SUR","CAMARON NAILON",2021
"SUR","SARDINA COMUN",2017
"SUR","ANCHOVETA",2017
"SUR","BACALAO DE PROFUNDIDAD",2017
"SUR","BACALADILLO O MOTE",2017
"NORTE","ANCHOVETA",2017
"NORTE","JUREL",2017
"NORTE","CABALLA",2017
"CENTRO","CAMARON NAILON",2017
"CENTRO","LANGOSTINO AMARILLO",2017
"CENTRO","MERLUZA COMUN",2017
"CENTRO","JUREL",2017
"CENTRO","LANGOSTINO COLORADO",2017
"CENTRO","CABALLA",2017
"CENTRO","ALBACORA O PEZ ESPADA / IVI HEHEU",2017
"CENTRO","TIBURON O MARRAJO DENTUDO",2017
"CENTRO","AZULEJO",2017
"CENTRO","PEZ SOL",2017
"CENTRO","BLANQUILLO",2017
"CENTRO Y SUR","JUREL",2017
"CENTRO Y SUR","JIBIA O CALAMAR ROJO",2017
"CENTRO Y SUR","SARDINA COMUN",2017
"CENTRO Y SUR","CABALLA",2017
"CENTRO Y SUR","MERLUZA COMUN",2017
"CENTRO Y SUR","MERLUZA DE COLA",2017
"CENTRO Y SUR","ANCHOVETA",2017
"CENTRO Y SUR","LANGOSTINO COLORADO",2017
"CENTRO Y SUR","BACALADILLO O MOTE",2017
"CENTRO Y SUR","CAMARON NAILON",2017
