rgn_id;area
1;27
2;500,6
3;349
4;161,7
5;114,2
6;14472,3
7;18521,5
8;456,5
9;303
10;89,4
11;119,3
12;57
13;60
14;9,5
15;31,1
16;279,5
17;1304,8
18;153
19;46,2
20;231,5
21;9181
22;76,6
23;684
24;13,7
25;12,5
26;125,5
27;92,4
28;172,7
29;40,5
30;115,5
31;90,3
32;22,5
33;186,4
34;16,7
35;22,2
36;162,3
37;74,5
38;900
39;842,7
40;24,1
41;206,5
42;162,7
43;331,6
44;130,2
45;60,2
46;72
47;57,8
48;204,3
49;90,6
50;30,1
51;25,7
52;11,6
53;170,3
54;122,5
55;24,1
56;63
57;316,2
58;226,9
59;45476,9
60;40
61;201,7
62;31,8
63;30,3
64;67,5
65;17,6
66;89,3
67;972,5
68;887,6
69;39,7
70;261,3
71;292,3
72;19159,5
73;123,1
74;93,1
75;319,4
76;1266,6
77;366,7
78;264,9
79;40,7
80;63,2
81;6202,1
82;44,8
83;16,2
84;1310,7
85;219,8
86;19,1
87;78,8
88;62,6
89;389,5
90;59,9
91;3583,4
92;82
93;285,5
94;38,8
95;73
96;786,8
97;15511
98;8,5
99;61,5
100;58,4
101;46,9
102;22,1
103;27,7
