rgn_id;area
1;76,8
2;631,5
3;1006,7
4;414
5;333,6
6;8717,2
7;10641,7
8;703,6
9;870,7
10;263,7
11;341,2
12;168,5
13;185,8
14;26,3
15;91,2
16;243,5
17;1681
18;428,3
19;128,3
20;240,1
21;7148,4
22;232,2
23;150,5
24;39,2
25;23,2
26;381,9
27;222,5
28;483,8
29;117,7
30;212,3
31;80,6
32;88,1
33;216,9
34;51,8
35;64,8
36;490,4
37;115
38;1463,2
39;580,1
40;72,6
41;598,1
42;469,6
43;984,9
44;369,2
45;181,3
46;240,1
47;168,3
48;84,7
49;276,5
50;58,7
51;77,7
52;34,6
53;137,1
54;347,6
55;132,6
56;199
57;359,3
58;665,2
59;20946,4
60;126,3
61;578,3
62;75,8
63;89,5
64;214,5
65;134,7
66;261,5
67;675,8
68;802,3
69;129,5
70;349,5
71;8,4
72;10639,7
73;144
74;147
75;355,6
76;1673,3
77;597,8
78;660,9
79;110,8
80;99,3
81;3248,8
82;133,8
83;40,7
84;747,3
85;234,6
86;61,6
87;229,8
88;97,3
89;1154,2
90;184,1
91;1871,2
92;243,8
93;850,2
94;100,8
95;213
96;146,4
97;6496,6
98;19,9
99;165,8
100;127,5
101;137,1
102;104,3
103;91,5
