"rgn_id","spp","catch","year"
1,"HUIRO",18,2017
1,"HUIRO",5,2018
1,"HUIRO NEGRO O CHASCON",39,2012
1,"HUIRO NEGRO O CHASCON",23,2013
1,"HUIRO NEGRO O CHASCON",4,2014
1,"HUIRO NEGRO O CHASCON",26,2015
1,"HUIRO NEGRO O CHASCON",8,2016
1,"HUIRO NEGRO O CHASCON",13,2017
1,"HUIRO NEGRO O CHASCON",17,2018
1,"HUIRO NEGRO O CHASCON",39,2019
1,"HUIRO NEGRO O CHASCON",47,2020
1,"HUIRO NEGRO O CHASCON",28,2021
1,"HUIRO PALO",24,2012
1,"HUIRO PALO",187,2015
1,"HUIRO PALO",9,2016
1,"HUIRO PALO",14,2017
1,"HUIRO PALO",5,2018
1,"HUIRO PALO",30,2019
1,"HUIRO PALO",21,2020
1,"HUIRO PALO",25,2021
2,"HUIRO",673,2012
2,"HUIRO",120,2014
2,"HUIRO",170,2015
2,"HUIRO",5,2017
2,"HUIRO",2,2018
2,"HUIRO PALO",1666,2013
2,"HUIRO PALO",985,2014
2,"HUIRO PALO",762,2015
2,"HUIRO PALO",39,2016
2,"HUIRO PALO",5,2018
2,"HUIRO PALO",11,2021
3,"HUIRO",24,2012
3,"HUIRO",197,2013
3,"HUIRO",107,2014
3,"HUIRO",36,2015
3,"HUIRO",376,2016
3,"HUIRO",181,2017
3,"HUIRO",85,2018
3,"HUIRO",25,2019
3,"HUIRO",53,2020
3,"HUIRO",58,2021
3,"HUIRO NEGRO O CHASCON",32153,2012
3,"HUIRO NEGRO O CHASCON",21090,2013
3,"HUIRO NEGRO O CHASCON",38248,2014
3,"HUIRO NEGRO O CHASCON",7511,2015
3,"HUIRO NEGRO O CHASCON",23084,2016
3,"HUIRO NEGRO O CHASCON",11659,2017
3,"HUIRO NEGRO O CHASCON",2834,2018
3,"HUIRO NEGRO O CHASCON",7870,2019
3,"HUIRO NEGRO O CHASCON",7449,2020
3,"HUIRO NEGRO O CHASCON",8462,2021
3,"HUIRO PALO",158,2012
3,"HUIRO PALO",437,2013
3,"HUIRO PALO",2178,2014
3,"HUIRO PALO",584,2015
3,"HUIRO PALO",1514,2016
3,"HUIRO PALO",668,2017
3,"HUIRO PALO",841,2018
3,"HUIRO PALO",1780,2019
3,"HUIRO PALO",1418,2020
3,"HUIRO PALO",1198,2021
4,"HUIRO",24,2012
4,"HUIRO",1170,2013
4,"HUIRO",301,2014
4,"HUIRO",123,2016
4,"HUIRO",2,2018
4,"HUIRO",1,2021
4,"HUIRO NEGRO O CHASCON",2,2012
4,"HUIRO NEGRO O CHASCON",1710,2013
4,"HUIRO NEGRO O CHASCON",26,2014
4,"HUIRO NEGRO O CHASCON",632,2016
4,"HUIRO NEGRO O CHASCON",850,2017
4,"HUIRO NEGRO O CHASCON",197,2018
4,"HUIRO NEGRO O CHASCON",761,2020
4,"HUIRO NEGRO O CHASCON",438,2021
4,"HUIRO PALO",1296,2013
4,"HUIRO PALO",27,2014
4,"HUIRO PALO",105,2016
4,"HUIRO PALO",4,2017
5,"HUIRO",10,2013
5,"HUIRO",4,2014
5,"HUIRO",2,2016
5,"HUIRO",11,2017
5,"HUIRO NEGRO O CHASCON",60,2013
5,"HUIRO NEGRO O CHASCON",107,2014
5,"HUIRO NEGRO O CHASCON",5,2017
5,"HUIRO NEGRO O CHASCON",22,2018
5,"HUIRO PALO",8,2017
5,"HUIRO PALO",2,2018
5,"HUIRO PALO",12,2021
6,"HUIRO",1,2017
6,"HUIRO",2,2018
6,"HUIRO",1,2019
6,"HUIRO",1,2020
6,"HUIRO PALO",2,2013
8,"HUIRO",220,2012
8,"HUIRO",12,2013
8,"HUIRO",45,2014
8,"HUIRO",2,2017
9,"HUIRO",4079,2012
9,"HUIRO",6675,2013
9,"HUIRO",6803,2014
9,"HUIRO",10317,2015
9,"HUIRO",9723,2016
9,"HUIRO",8715,2017
9,"HUIRO",8198,2018
9,"HUIRO",8219,2019
9,"HUIRO",14229,2020
9,"HUIRO",8113,2021
9,"HUIRO NEGRO O CHASCON",20590,2012
9,"HUIRO NEGRO O CHASCON",56899,2013
9,"HUIRO NEGRO O CHASCON",17365,2014
9,"HUIRO NEGRO O CHASCON",25196,2015
9,"HUIRO NEGRO O CHASCON",21419,2016
9,"HUIRO NEGRO O CHASCON",29776,2017
9,"HUIRO NEGRO O CHASCON",9130,2018
9,"HUIRO NEGRO O CHASCON",21575,2019
9,"HUIRO NEGRO O CHASCON",21085,2020
9,"HUIRO NEGRO O CHASCON",22192,2021
9,"HUIRO PALO",413,2012
9,"HUIRO PALO",661,2013
9,"HUIRO PALO",3008,2014
9,"HUIRO PALO",4385,2015
9,"HUIRO PALO",2648,2016
9,"HUIRO PALO",4320,2017
9,"HUIRO PALO",1940,2018
9,"HUIRO PALO",1951,2019
9,"HUIRO PALO",3323,2020
9,"HUIRO PALO",3753,2021
10,"HUIRO",7,2013
10,"HUIRO",15,2014
10,"HUIRO",2,2016
10,"HUIRO",20,2017
10,"HUIRO",3,2018
10,"HUIRO NEGRO O CHASCON",7,2013
10,"HUIRO NEGRO O CHASCON",13,2015
10,"HUIRO NEGRO O CHASCON",94,2016
10,"HUIRO NEGRO O CHASCON",158,2017
10,"HUIRO NEGRO O CHASCON",116,2018
10,"HUIRO NEGRO O CHASCON",440,2019
10,"HUIRO NEGRO O CHASCON",138,2020
10,"HUIRO NEGRO O CHASCON",253,2021
10,"HUIRO PALO",13,2017
10,"HUIRO PALO",12,2018
10,"HUIRO PALO",64,2019
10,"HUIRO PALO",83,2020
10,"HUIRO PALO",161,2021
11,"HUIRO",141,2012
11,"HUIRO",235,2013
11,"HUIRO",260,2014
11,"HUIRO",412,2015
11,"HUIRO",504,2016
11,"HUIRO",371,2017
11,"HUIRO",268,2018
11,"HUIRO",295,2019
11,"HUIRO",665,2020
11,"HUIRO",836,2021
11,"HUIRO NEGRO O CHASCON",1507,2012
11,"HUIRO NEGRO O CHASCON",3185,2013
11,"HUIRO NEGRO O CHASCON",2314,2014
11,"HUIRO NEGRO O CHASCON",1269,2015
11,"HUIRO NEGRO O CHASCON",1636,2016
11,"HUIRO NEGRO O CHASCON",3324,2017
11,"HUIRO NEGRO O CHASCON",1454,2018
11,"HUIRO NEGRO O CHASCON",3581,2019
11,"HUIRO NEGRO O CHASCON",3191,2020
11,"HUIRO NEGRO O CHASCON",2422,2021
11,"HUIRO PALO",2398,2012
11,"HUIRO PALO",2909,2013
11,"HUIRO PALO",2214,2014
11,"HUIRO PALO",3865,2015
11,"HUIRO PALO",4048,2016
11,"HUIRO PALO",5166,2017
11,"HUIRO PALO",4607,2018
11,"HUIRO PALO",5970,2019
11,"HUIRO PALO",7737,2020
11,"HUIRO PALO",6586,2021
13,"HUIRO",1,2014
13,"HUIRO",12,2017
14,"HUIRO",42,2013
14,"HUIRO",22,2014
14,"HUIRO NEGRO O CHASCON",2,2012
14,"HUIRO NEGRO O CHASCON",8,2014
14,"HUIRO NEGRO O CHASCON",24,2015
14,"HUIRO NEGRO O CHASCON",21,2016
14,"HUIRO NEGRO O CHASCON",2,2017
14,"HUIRO PALO",1,2012
14,"HUIRO PALO",6,2015
14,"HUIRO PALO",8,2016
15,"HUIRO",8,2012
15,"HUIRO",74,2013
15,"HUIRO",22,2014
15,"HUIRO",13,2017
15,"HUIRO",18,2018
15,"HUIRO",58,2020
15,"HUIRO NEGRO O CHASCON",984,2012
15,"HUIRO NEGRO O CHASCON",109,2013
15,"HUIRO NEGRO O CHASCON",37,2014
15,"HUIRO NEGRO O CHASCON",51,2015
15,"HUIRO NEGRO O CHASCON",25,2016
15,"HUIRO NEGRO O CHASCON",27,2017
15,"HUIRO NEGRO O CHASCON",28,2018
15,"HUIRO NEGRO O CHASCON",89,2019
15,"HUIRO NEGRO O CHASCON",101,2020
15,"HUIRO NEGRO O CHASCON",65,2021
15,"HUIRO PALO",2,2012
15,"HUIRO PALO",37,2013
15,"HUIRO PALO",36,2014
15,"HUIRO PALO",203,2015
15,"HUIRO PALO",24,2016
15,"HUIRO PALO",52,2017
15,"HUIRO PALO",6,2018
15,"HUIRO PALO",29,2019
15,"HUIRO PALO",49,2020
15,"HUIRO PALO",109,2021
16,"HUIRO",246,2012
16,"HUIRO",465,2013
16,"HUIRO",462,2014
16,"HUIRO",2932,2015
16,"HUIRO",6606,2016
16,"HUIRO",5917,2017
16,"HUIRO",8478,2018
16,"HUIRO",7650,2019
16,"HUIRO",8307,2020
16,"HUIRO",9014,2021
16,"HUIRO NEGRO O CHASCON",15,2017
17,"HUIRO",7,2013
17,"HUIRO",1,2015
17,"HUIRO",15,2016
17,"HUIRO",3,2018
17,"HUIRO",2,2019
17,"HUIRO NEGRO O CHASCON",1,2019
17,"HUIRO NEGRO O CHASCON",1,2021
17,"HUIRO PALO",2,2021
18,"HUIRO",314,2012
18,"HUIRO",43,2013
18,"HUIRO",7,2014
18,"HUIRO",29,2015
18,"HUIRO",28,2017
18,"HUIRO",4,2018
18,"HUIRO",4,2019
18,"HUIRO",39,2020
18,"HUIRO NEGRO O CHASCON",23105,2012
18,"HUIRO NEGRO O CHASCON",37593,2013
18,"HUIRO NEGRO O CHASCON",8970,2014
18,"HUIRO NEGRO O CHASCON",8250,2015
18,"HUIRO NEGRO O CHASCON",8236,2016
18,"HUIRO NEGRO O CHASCON",19932,2017
18,"HUIRO NEGRO O CHASCON",4939,2018
18,"HUIRO NEGRO O CHASCON",12170,2019
18,"HUIRO NEGRO O CHASCON",12495,2020
18,"HUIRO NEGRO O CHASCON",13646,2021
18,"HUIRO PALO",1171,2012
18,"HUIRO PALO",346,2013
18,"HUIRO PALO",2496,2014
18,"HUIRO PALO",860,2015
18,"HUIRO PALO",1247,2016
18,"HUIRO PALO",1005,2017
18,"HUIRO PALO",510,2018
18,"HUIRO PALO",1401,2019
18,"HUIRO PALO",1146,2020
18,"HUIRO PALO",1286,2021
19,"HUIRO",18,2013
19,"HUIRO NEGRO O CHASCON",4,2013
19,"HUIRO NEGRO O CHASCON",2,2015
19,"HUIRO NEGRO O CHASCON",8,2016
19,"HUIRO NEGRO O CHASCON",2,2017
19,"HUIRO NEGRO O CHASCON",9,2020
19,"HUIRO NEGRO O CHASCON",12,2021
20,"HUIRO",651,2012
20,"HUIRO",283,2013
20,"HUIRO",83,2015
20,"HUIRO",140,2016
20,"HUIRO",318,2017
20,"HUIRO",233,2018
20,"HUIRO",198,2019
22,"HUIRO",9,2015
22,"HUIRO NEGRO O CHASCON",5,2016
22,"HUIRO PALO",27,2015
22,"HUIRO PALO",9,2018
22,"HUIRO PALO",25,2019
24,"HUIRO",2,2015
24,"HUIRO NEGRO O CHASCON",1,2016
24,"HUIRO NEGRO O CHASCON",4,2020
24,"HUIRO NEGRO O CHASCON",1,2021
24,"HUIRO PALO",4,2021
25,"HUIRO",1,2012
25,"HUIRO NEGRO O CHASCON",22,2012
25,"HUIRO NEGRO O CHASCON",2,2018
25,"HUIRO NEGRO O CHASCON",16,2020
25,"HUIRO PALO",8,2012
26,"HUIRO",7,2012
26,"HUIRO",13,2013
26,"HUIRO",2,2014
26,"HUIRO",12,2015
26,"HUIRO",40,2016
26,"HUIRO",64,2017
26,"HUIRO",2,2018
26,"HUIRO",107,2020
26,"HUIRO NEGRO O CHASCON",4,2012
26,"HUIRO NEGRO O CHASCON",19,2014
26,"HUIRO NEGRO O CHASCON",5,2015
26,"HUIRO NEGRO O CHASCON",392,2016
26,"HUIRO NEGRO O CHASCON",683,2017
26,"HUIRO NEGRO O CHASCON",163,2018
26,"HUIRO NEGRO O CHASCON",564,2019
26,"HUIRO NEGRO O CHASCON",855,2020
26,"HUIRO NEGRO O CHASCON",1024,2021
26,"HUIRO PALO",110,2017
26,"HUIRO PALO",14,2019
26,"HUIRO PALO",37,2020
26,"HUIRO PALO",8,2021
27,"HUIRO",254,2012
27,"HUIRO",191,2013
27,"HUIRO",1343,2014
27,"HUIRO",276,2015
27,"HUIRO",185,2016
27,"HUIRO",109,2017
27,"HUIRO",78,2018
27,"HUIRO",371,2019
27,"HUIRO",418,2020
27,"HUIRO",297,2021
27,"HUIRO NEGRO O CHASCON",7658,2012
27,"HUIRO NEGRO O CHASCON",14885,2013
27,"HUIRO NEGRO O CHASCON",7474,2014
27,"HUIRO NEGRO O CHASCON",6963,2015
27,"HUIRO NEGRO O CHASCON",4339,2016
27,"HUIRO NEGRO O CHASCON",6361,2017
27,"HUIRO NEGRO O CHASCON",1910,2018
27,"HUIRO NEGRO O CHASCON",6442,2019
27,"HUIRO NEGRO O CHASCON",7417,2020
27,"HUIRO NEGRO O CHASCON",6981,2021
27,"HUIRO PALO",68,2012
27,"HUIRO PALO",839,2013
27,"HUIRO PALO",1108,2014
27,"HUIRO PALO",2817,2015
27,"HUIRO PALO",1152,2016
27,"HUIRO PALO",992,2017
27,"HUIRO PALO",2546,2018
27,"HUIRO PALO",3070,2019
27,"HUIRO PALO",2169,2020
27,"HUIRO PALO",5188,2021
28,"ALGAS MIXTAS",12,2018
28,"HUIRO",737,2012
28,"HUIRO",979,2013
28,"HUIRO",462,2014
28,"HUIRO",272,2015
28,"HUIRO",218,2016
28,"HUIRO",188,2017
28,"HUIRO",246,2018
28,"HUIRO",55,2019
28,"HUIRO",171,2020
28,"HUIRO",332,2021
28,"HUIRO NEGRO O CHASCON",2657,2012
28,"HUIRO NEGRO O CHASCON",4522,2013
28,"HUIRO NEGRO O CHASCON",2507,2014
28,"HUIRO NEGRO O CHASCON",867,2015
28,"HUIRO NEGRO O CHASCON",862,2016
28,"HUIRO NEGRO O CHASCON",6528,2017
28,"HUIRO NEGRO O CHASCON",1534,2018
28,"HUIRO NEGRO O CHASCON",3014,2019
28,"HUIRO NEGRO O CHASCON",2689,2020
28,"HUIRO NEGRO O CHASCON",2588,2021
28,"HUIRO PALO",1444,2012
28,"HUIRO PALO",2239,2013
28,"HUIRO PALO",3908,2014
28,"HUIRO PALO",2347,2015
28,"HUIRO PALO",1446,2016
28,"HUIRO PALO",4616,2017
28,"HUIRO PALO",1406,2018
28,"HUIRO PALO",1407,2019
28,"HUIRO PALO",1704,2020
28,"HUIRO PALO",1335,2021
29,"HUIRO",568,2013
29,"HUIRO",3,2016
29,"HUIRO NEGRO O CHASCON",26,2020
29,"HUIRO NEGRO O CHASCON",8,2021
29,"HUIRO PALO",10,2013
29,"HUIRO PALO",37,2014
30,"HUIRO",177,2012
30,"HUIRO",146,2013
30,"HUIRO",108,2014
30,"HUIRO",52,2015
30,"HUIRO",64,2016
30,"HUIRO",30,2017
30,"HUIRO",66,2018
30,"HUIRO",59,2019
30,"HUIRO",57,2020
30,"HUIRO",97,2021
30,"HUIRO NEGRO O CHASCON",11,2012
30,"HUIRO NEGRO O CHASCON",53,2013
30,"HUIRO NEGRO O CHASCON",41,2014
30,"HUIRO NEGRO O CHASCON",11,2015
30,"HUIRO PALO",13,2013
30,"HUIRO PALO",18,2014
30,"HUIRO PALO",1,2017
30,"HUIRO PALO",1,2018
30,"HUIRO PALO",30,2020
30,"HUIRO PALO",109,2021
31,"HUIRO",3091,2012
31,"HUIRO",3413,2013
31,"HUIRO",1309,2014
31,"HUIRO",209,2015
31,"HUIRO",408,2016
31,"HUIRO",59,2017
31,"HUIRO",152,2018
31,"HUIRO",130,2019
31,"HUIRO",183,2020
31,"HUIRO",13,2021
31,"HUIRO NEGRO O CHASCON",66,2014
33,"HUIRO",1799,2012
33,"HUIRO",2565,2013
33,"HUIRO",874,2014
33,"HUIRO",2363,2015
33,"HUIRO",2165,2016
33,"HUIRO",1457,2017
33,"HUIRO",2646,2018
33,"HUIRO",3354,2019
33,"HUIRO",1845,2020
33,"HUIRO",1464,2021
33,"HUIRO NEGRO O CHASCON",1,2018
34,"HUIRO",6,2012
34,"HUIRO",9,2013
34,"HUIRO",5,2014
34,"HUIRO",18,2016
34,"HUIRO",10,2017
34,"HUIRO",15,2018
34,"HUIRO",19,2019
34,"HUIRO",28,2020
34,"HUIRO",5,2021
34,"HUIRO NEGRO O CHASCON",550,2012
34,"HUIRO NEGRO O CHASCON",716,2013
34,"HUIRO NEGRO O CHASCON",371,2014
34,"HUIRO NEGRO O CHASCON",910,2015
34,"HUIRO NEGRO O CHASCON",285,2016
34,"HUIRO NEGRO O CHASCON",240,2017
34,"HUIRO NEGRO O CHASCON",174,2018
34,"HUIRO NEGRO O CHASCON",559,2019
34,"HUIRO NEGRO O CHASCON",526,2020
34,"HUIRO NEGRO O CHASCON",366,2021
34,"HUIRO PALO",112,2012
34,"HUIRO PALO",102,2013
34,"HUIRO PALO",41,2014
34,"HUIRO PALO",658,2015
34,"HUIRO PALO",73,2016
34,"HUIRO PALO",132,2017
34,"HUIRO PALO",138,2018
34,"HUIRO PALO",196,2019
34,"HUIRO PALO",173,2020
34,"HUIRO PALO",269,2021
35,"HUIRO",64,2012
35,"HUIRO",16,2013
35,"HUIRO",103,2014
35,"HUIRO",299,2015
35,"HUIRO",624,2016
35,"HUIRO",984,2017
35,"HUIRO",834,2018
35,"HUIRO",483,2019
35,"HUIRO",343,2020
35,"HUIRO",216,2021
35,"HUIRO NEGRO O CHASCON",272,2012
35,"HUIRO NEGRO O CHASCON",402,2013
35,"HUIRO NEGRO O CHASCON",321,2014
35,"HUIRO NEGRO O CHASCON",220,2015
35,"HUIRO NEGRO O CHASCON",210,2016
35,"HUIRO NEGRO O CHASCON",231,2017
35,"HUIRO NEGRO O CHASCON",89,2018
35,"HUIRO NEGRO O CHASCON",131,2019
35,"HUIRO NEGRO O CHASCON",180,2020
35,"HUIRO NEGRO O CHASCON",163,2021
35,"HUIRO PALO",53,2012
35,"HUIRO PALO",98,2013
35,"HUIRO PALO",101,2014
35,"HUIRO PALO",102,2015
35,"HUIRO PALO",89,2016
35,"HUIRO PALO",81,2017
35,"HUIRO PALO",88,2018
35,"HUIRO PALO",76,2019
35,"HUIRO PALO",117,2020
35,"HUIRO PALO",68,2021
36,"HUIRO",269,2012
36,"HUIRO",312,2013
36,"HUIRO",51,2014
36,"HUIRO",7,2015
36,"HUIRO",39,2016
36,"HUIRO",129,2017
36,"HUIRO",96,2018
36,"HUIRO",32,2019
36,"HUIRO",121,2020
36,"HUIRO",90,2021
36,"HUIRO NEGRO O CHASCON",30799,2012
36,"HUIRO NEGRO O CHASCON",37851,2013
36,"HUIRO NEGRO O CHASCON",14616,2014
36,"HUIRO NEGRO O CHASCON",13099,2015
36,"HUIRO NEGRO O CHASCON",8090,2016
36,"HUIRO NEGRO O CHASCON",9072,2017
36,"HUIRO NEGRO O CHASCON",4582,2018
36,"HUIRO NEGRO O CHASCON",11529,2019
36,"HUIRO NEGRO O CHASCON",11161,2020
36,"HUIRO NEGRO O CHASCON",10931,2021
36,"HUIRO PALO",9621,2012
36,"HUIRO PALO",3813,2013
36,"HUIRO PALO",13171,2014
36,"HUIRO PALO",10983,2015
36,"HUIRO PALO",7788,2016
36,"HUIRO PALO",6665,2017
36,"HUIRO PALO",5874,2018
36,"HUIRO PALO",7958,2019
36,"HUIRO PALO",7318,2020
36,"HUIRO PALO",9050,2021
39,"HUIRO",32,2012
39,"HUIRO",3,2017
39,"HUIRO",7,2018
39,"HUIRO",6,2019
39,"HUIRO",2,2020
39,"HUIRO",4,2021
39,"HUIRO PALO",152,2014
40,"HUIRO",4,2014
40,"HUIRO NEGRO O CHASCON",44,2013
40,"HUIRO NEGRO O CHASCON",8,2014
40,"HUIRO NEGRO O CHASCON",12,2015
40,"HUIRO NEGRO O CHASCON",7,2016
40,"HUIRO NEGRO O CHASCON",13,2020
40,"HUIRO PALO",32,2013
40,"HUIRO PALO",12,2014
40,"HUIRO PALO",192,2015
40,"HUIRO PALO",1,2016
41,"HUIRO",19,2012
41,"HUIRO",31,2013
41,"HUIRO",5,2014
41,"HUIRO",41,2015
41,"HUIRO",2,2016
41,"HUIRO",3,2017
41,"HUIRO",1,2021
41,"HUIRO NEGRO O CHASCON",8522,2012
41,"HUIRO NEGRO O CHASCON",6128,2013
41,"HUIRO NEGRO O CHASCON",3823,2014
41,"HUIRO NEGRO O CHASCON",3165,2015
41,"HUIRO NEGRO O CHASCON",1710,2016
41,"HUIRO NEGRO O CHASCON",5694,2017
41,"HUIRO NEGRO O CHASCON",1754,2018
41,"HUIRO NEGRO O CHASCON",5034,2019
41,"HUIRO NEGRO O CHASCON",4608,2020
41,"HUIRO NEGRO O CHASCON",5704,2021
41,"HUIRO PALO",264,2012
41,"HUIRO PALO",85,2013
41,"HUIRO PALO",91,2014
41,"HUIRO PALO",359,2015
41,"HUIRO PALO",107,2016
41,"HUIRO PALO",77,2017
41,"HUIRO PALO",46,2018
41,"HUIRO PALO",347,2019
41,"HUIRO PALO",361,2020
41,"HUIRO PALO",494,2021
42,"HUIRO",461,2012
42,"HUIRO",657,2013
42,"HUIRO",1152,2014
42,"HUIRO",951,2015
42,"HUIRO",1115,2016
42,"HUIRO",1005,2017
42,"HUIRO",620,2018
42,"HUIRO",1494,2019
42,"HUIRO",1549,2020
42,"HUIRO",1178,2021
42,"HUIRO NEGRO O CHASCON",45514,2012
42,"HUIRO NEGRO O CHASCON",42854,2013
42,"HUIRO NEGRO O CHASCON",18594,2014
42,"HUIRO NEGRO O CHASCON",17619,2015
42,"HUIRO NEGRO O CHASCON",12764,2016
42,"HUIRO NEGRO O CHASCON",20942,2017
42,"HUIRO NEGRO O CHASCON",9251,2018
42,"HUIRO NEGRO O CHASCON",23202,2019
42,"HUIRO NEGRO O CHASCON",22415,2020
42,"HUIRO NEGRO O CHASCON",24902,2021
42,"HUIRO PALO",4466,2012
42,"HUIRO PALO",1775,2013
42,"HUIRO PALO",2457,2014
42,"HUIRO PALO",6490,2015
42,"HUIRO PALO",2141,2016
42,"HUIRO PALO",3983,2017
42,"HUIRO PALO",1978,2018
42,"HUIRO PALO",4621,2019
42,"HUIRO PALO",5812,2020
42,"HUIRO PALO",5625,2021
43,"HUIRO",489,2012
43,"HUIRO",703,2013
43,"HUIRO",256,2014
43,"HUIRO",103,2015
43,"HUIRO",334,2016
43,"HUIRO",338,2017
43,"HUIRO",459,2018
43,"HUIRO",413,2019
43,"HUIRO",1336,2020
43,"HUIRO",1066,2021
43,"HUIRO NEGRO O CHASCON",7396,2012
43,"HUIRO NEGRO O CHASCON",13870,2013
43,"HUIRO NEGRO O CHASCON",12209,2014
43,"HUIRO NEGRO O CHASCON",5297,2015
43,"HUIRO NEGRO O CHASCON",5945,2016
43,"HUIRO NEGRO O CHASCON",10337,2017
43,"HUIRO NEGRO O CHASCON",4233,2018
43,"HUIRO NEGRO O CHASCON",15831,2019
43,"HUIRO NEGRO O CHASCON",15498,2020
43,"HUIRO NEGRO O CHASCON",18643,2021
43,"HUIRO PALO",508,2012
43,"HUIRO PALO",867,2013
43,"HUIRO PALO",434,2014
43,"HUIRO PALO",438,2015
43,"HUIRO PALO",503,2016
43,"HUIRO PALO",375,2017
43,"HUIRO PALO",236,2018
43,"HUIRO PALO",1178,2019
43,"HUIRO PALO",1357,2020
43,"HUIRO PALO",2353,2021
