"","rgn_id","rgn_name","SPP","REGION"
"1",1,"Algarrobo","PEJEGALLO","Valparaiso"
"2",1,"Algarrobo","SIERRA","Valparaiso"
"3",1,"Algarrobo","MERLUZA COMUN","Valparaiso"
"4",1,"Algarrobo","CONGRIO COLORADO","Valparaiso"
"5",1,"Algarrobo","LENGUADO","Valparaiso"
"6",1,"Algarrobo","VIEJA O MULATA","Valparaiso"
"7",1,"Algarrobo","CONGRIO NEGRO","Valparaiso"
"8",1,"Algarrobo","JAIBA MORA","Valparaiso"
"9",1,"Algarrobo","COJINOBA DEL NORTE / PIAFRI","Valparaiso"
"10",1,"Algarrobo","LAPA NEGRA","Valparaiso"
"11",1,"Algarrobo","CORVINA","Valparaiso"
"12",1,"Algarrobo","ROLLIZO","Valparaiso"
"13",1,"Algarrobo","TOLLO","Valparaiso"
"14",1,"Algarrobo","PIURE","Valparaiso"
"15",1,"Algarrobo","CABRILLA COMUN","Valparaiso"
"16",1,"Algarrobo","CABRILLA ESPAÑOLA","Valparaiso"
"17",1,"Algarrobo","BRECA O BILAGAY","Valparaiso"
"18",1,"Algarrobo","ALMEJA","Valparaiso"
"19",1,"Algarrobo","CARACOL TEGULA","Valparaiso"
"20",1,"Algarrobo","ERIZO","Valparaiso"
"21",1,"Algarrobo","BLANQUILLO","Valparaiso"
"22",1,"Algarrobo","JUREL","Valparaiso"
"23",1,"Algarrobo","VIDRIOLA, PALOMETA, DORADO O TOREMO","Valparaiso"
"24",1,"Algarrobo","JAIBA LIMON","Valparaiso"
"25",1,"Algarrobo","JAIBA PELUDA O PACHONA","Valparaiso"
"26",1,"Algarrobo","CONGRIO DORADO","Valparaiso"
"27",1,"Algarrobo","JERGUILLA","Valparaiso"
"28",1,"Algarrobo","JIBIA O CALAMAR ROJO","Valparaiso"
"29",1,"Algarrobo","REINETA","Valparaiso"
"30",1,"Algarrobo","MACHUELO O TRITRE","Valparaiso"
"31",1,"Algarrobo","PICOROCO","Valparaiso"
"32",1,"Algarrobo","ROBALO","Valparaiso"
"33",1,"Algarrobo","CABINZA","Valparaiso"
"34",1,"Algarrobo","LENGUADO DE OJOS CHICOS","Valparaiso"
"35",2,"Ancud","ROLLIZO","Los Lagos"
"36",2,"Ancud","MERLUZA DEL SUR O AUSTRAL","Los Lagos"
"37",2,"Ancud","JAIBA MARMOLA","Los Lagos"
"38",2,"Ancud","ALMEJA","Los Lagos"
"39",2,"Ancud","OSTRA CHILENA","Los Lagos"
"40",2,"Ancud","JAIBA PELUDA O PACHONA","Los Lagos"
"41",2,"Ancud","CONGRIO COLORADO","Los Lagos"
"42",2,"Ancud","ERIZO","Los Lagos"
"43",2,"Ancud","PICOROCO","Los Lagos"
"44",2,"Ancud","PULPO DEL SUR","Los Lagos"
"45",2,"Ancud","PEPINO DE MAR","Los Lagos"
"46",2,"Ancud","CORVINA","Los Lagos"
"47",2,"Ancud","JAIBA PANCHOTE O CANGREJO","Los Lagos"
"48",2,"Ancud","CENTOLLA","Los Lagos"
"49",2,"Ancud","CONGRIO DORADO","Los Lagos"
"50",2,"Ancud","PEJEGALLO","Los Lagos"
"51",2,"Ancud","LUGA NEGRA O CRESPA","Los Lagos"
"52",2,"Ancud","CHANCHARRO","Los Lagos"
"53",2,"Ancud","HUEPO O NAVAJA DE MAR","Los Lagos"
"54",2,"Ancud","CULENGUE","Los Lagos"
"55",2,"Ancud","CHORITO","Los Lagos"
"56",2,"Ancud","BACALAO DE PROFUNDIDAD","Los Lagos"
"57",2,"Ancud","CHORO","Los Lagos"
"58",2,"Ancud","CHOLGA","Los Lagos"
"59",2,"Ancud","PEJERREY DE MAR","Los Lagos"
"60",2,"Ancud","TOLLO","Los Lagos"
"61",2,"Ancud","LUGA-ROJA","Los Lagos"
"62",2,"Ancud","NAVAJUELA","Los Lagos"
"63",2,"Ancud","ROBALO","Los Lagos"
"64",2,"Ancud","REINETA","Los Lagos"
"65",2,"Ancud","JAIBA REINA","Los Lagos"
"66",2,"Ancud","PELILLO","Los Lagos"
"67",2,"Ancud","SIERRA","Los Lagos"
"68",2,"Ancud","CONGRIO NEGRO","Los Lagos"
"69",2,"Ancud","RAYA VOLANTIN","Los Lagos"
"70",2,"Ancud","TUMBAO","Los Lagos"
"71",2,"Ancud","CARACOL PALO PALO","Los Lagos"
"72",2,"Ancud","TAQUILLA","Los Lagos"
"73",2,"Ancud","CARACOL PICUYO","Los Lagos"
"74",2,"Ancud","JAIBA MORA","Los Lagos"
"75",2,"Ancud","HUIRO","Los Lagos"
"76",2,"Ancud","PIURE","Los Lagos"
"77",2,"Ancud","TIBURON FUME, GRIS O GATA DE MAR","Los Lagos"
"78",2,"Ancud","RAYA ESPINOSA","Los Lagos"
"79",2,"Ancud","COCHAYUYO","Los Lagos"
"80",2,"Ancud","JUREL","Los Lagos"
"81",2,"Ancud","CHICOREA DE MAR","Los Lagos"
"82",2,"Ancud","PEJESAPO","Los Lagos"
"83",2,"Ancud","CAROLA","Los Lagos"
"84",2,"Ancud","LAPA NEGRA","Los Lagos"
"85",2,"Ancud","JAIBA REMADORA","Los Lagos"
"86",2,"Ancud","MERLUZA COMUN","Los Lagos"
"87",2,"Ancud","ANGUILA COMUN","Los Lagos"
"88",2,"Ancud","HUIRO PALO","Los Lagos"
"89",2,"Ancud","CARACOL TEGULA","Los Lagos"
"90",2,"Ancud","LUCHE","Los Lagos"
"91",2,"Ancud","LENGUADO","Los Lagos"
"92",2,"Ancud","COJINOBA DEL SUR O AZUL","Los Lagos"
"93",2,"Ancud","JAIBA PANCORA","Los Lagos"
"94",2,"Ancud","ANGUILA BABOSA","Los Lagos"
"95",2,"Ancud","CARACOL RUBIO","Los Lagos"
"96",2,"Ancud","JIBIA O CALAMAR ROJO","Los Lagos"
"97",2,"Ancud","CONGRIO PLATEADO","Los Lagos"
"98",2,"Ancud","LAPA BONETE","Los Lagos"
"99",2,"Ancud","CABRILLA ESPAÑOLA","Los Lagos"
"100",3,"Antofagasta","PULPO DEL NORTE","Antofagasta"
"101",3,"Antofagasta","CABRILLA COMUN","Antofagasta"
"102",3,"Antofagasta","CONGRIO COLORADO","Antofagasta"
"103",3,"Antofagasta","SARDINA ESPAÑOLA","Antofagasta"
"104",3,"Antofagasta","VIDRIOLA, PALOMETA, DORADO O TOREMO","Antofagasta"
"105",3,"Antofagasta","LAPA NEGRA","Antofagasta"
"106",3,"Antofagasta","CONGRIO NEGRO","Antofagasta"
"107",3,"Antofagasta","ALMEJA","Antofagasta"
"108",3,"Antofagasta","PEZ SOL","Antofagasta"
"109",3,"Antofagasta","PEJEPERRO","Antofagasta"
"110",3,"Antofagasta","CHORO","Antofagasta"
"111",3,"Antofagasta","BLANQUILLO","Antofagasta"
"112",3,"Antofagasta","ALBACORA O PEZ ESPADA / IVI HEHEU","Antofagasta"
"113",3,"Antofagasta","JAIBA MORA","Antofagasta"
"114",3,"Antofagasta","COJINOBA DEL NORTE / PIAFRI","Antofagasta"
"115",3,"Antofagasta","BONITO","Antofagasta"
"116",3,"Antofagasta","ERIZO","Antofagasta"
"117",3,"Antofagasta","TIBURON O MARRAJO DENTUDO","Antofagasta"
"118",3,"Antofagasta","TOLLO","Antofagasta"
"119",3,"Antofagasta","CARACOL LOCATE","Antofagasta"
"120",3,"Antofagasta","DORADO DE ALTURA / MAHI MAHI","Antofagasta"
"121",3,"Antofagasta","BACALAO DE PROFUNDIDAD","Antofagasta"
"122",3,"Antofagasta","LENGUADO","Antofagasta"
"123",3,"Antofagasta","PIURE","Antofagasta"
